review_title,review_body,review_author,review_rating,review_date,review_helpful_votes
I love these,It's the best for the price,Tres,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on May 4, 2021",
Love it,Just fine as un android.,Stella Matingou,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on July 11, 2022",
Just what I need.,"I live this product. Fast, easy to use and good for on the go. I needed something smaller for work, so this was perfect.",Emily G Wall,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on July 6, 2020",
Awesome,Exactly what I wanted!! 🤗,Najia Sanders,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on January 12, 2021",
Perfect for carrying around and being able to work at the samw time!,Perfect for your professional needs.,Kyle,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on May 8, 2021",
A Decent Beginner For Younger Kids,"This Acer Chromebook (TheSpin 311 Convertible) has a long-lasting battery, which is an absolute necessity for younger kids. However, it comes loaded with junk, some of which isn't usable or is outdated. We've been using it for a few days and, of course, the kids love the touch screen, and taking photos. Although, there's little comparison to a regular PC that my10-year-old grandson is using. And it's different enough to be confusing. It is, after all, a Chromebook.",Bill,3.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on April 8, 2022",One person found this helpful
Be careful who you order from,"The item they ship is not what is described or shown.  They are aware of this.  However, they will not notify you they are not shipping what you think you are buying.  This does not have a touch screen and does not fold back as shown.  I would give no stars if possible",Jackie Lutman,1.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on April 12, 2022",One person found this helpful
Lasted 1 year,"Lasted for 1 year, then one day it just wouldn't turn back on.  Tried replacing the battery, with no luck.",Matthew,2.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on November 10, 2021",
Fine for internet but only 1 usb and NO SD card slot.,This review is for the Acer Chromebook Spin 311 4GB/30GB. it looks pretty.  It's fine for light use like internet browsing or bill paying or shopping.  But at this price point I consider it a fail with only one usb and no micro sd card slot.  Considering that the price should be around $80.  It has bluetooth so would be great to load music on it and play that through bluetooth speakers.  To bad you can't.,BTM,3.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on April 30, 2022",One person found this helpful
Very bad,Will never buy this did not met my demand at all very bad that’s all I can say,Chidima O.,1.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on June 7, 2021",
An older device at this point but still pretty usable for the price,"So first thing, since I know some people will be wondering: this device CAN NOT be flashed to run Windows or Linux, at least at this time.  It is not possible.  Was one of the main reasons I got it, since I did not know that at the time, but I will make do, ChromeOS is workable nowadays.  If you want a Chromebook to flash to Ubuntu or Windows or something, there are websites that break down which can and which can't.",Scarey,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on June 8, 2022",11 people found this helpful
Stopped Charging in less than two months,"In less than two months my Acer stopped working, it gradually stopped charging and I  wonder what is wrong. This Acer is heavier than the similar Samsung that I bought thre years ago, but the Samsung chrome has never been troubling. It is the one I reverted to.",Jonathan Musere,2.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on October 2, 2022",One person found this helpful
Check warranty info with Acer.,"I received my Acer 311 today, unfortunately it has that crack seen on the photos where the shutdown mode is.",🍯,3.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on July 12, 2022",One person found this helpful
Very good laptop for a middle school graders,My daughter gifts,Zulmarie Ortiz,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on October 23, 2021",
Great tablet,"Flexible, convenient, great tablet.",William S.,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on October 16, 2021",
Nice little chromebook,"Enjoying this little chromebook! It's compact, functional, light, and has done everything I've asked of it over the past few weeks.",KBitt,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on August 23, 2022",One person found this helpful
La ACER perfecta para mi,"Me gusta todo. Su tamaño, el diseño ( la puedo usar como laptop y también como tableta). La quise comprar porque la laptop que tengo en par de horas ya esta la batería descargada y ahora tengo más tiempo de carga y muchas más velocidad para realizar mis tareas. Estoy encantado con la acer. Espero que me dure mucho tiempo. La recomiendo al 100%.",JLPADRO49,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on February 14, 2022",One person found this helpful
Muy Buena,A mi me encanto la uso para estudiar y aveces ocio y todo super super bien,Flowers,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on August 6, 2021",
Excelente eleccion para el regreso a clases! mis Hijos estan felices!,Excelente eleccion para el regreso a clases! mis Hijos estan felices!,Norelis,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on August 30, 2021",
Just got and love ❤ it,Wow it works really fast and very easy to set up. I just received today so I will give updates,Lorrie Tschaenn,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on October 18, 2021",
"Great for students, easy to set up!",Light weight. I like that you can positioned it at different angles. Front size is small but it can be adjusted. It's price was fair. Very pleased.,Anglwing,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on August 14, 2022",2 people found this helpful
Really Good!,I ordered it for my daughter for her to take online classes from camp and school. We are very happy with this chromebook. it is also touch screen and can be folded like a book so easier for her to use when reading books. We are able to install all needed apps to complete her work.,Genius,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on June 25, 2020",124 people found this helpful
Good product not worth the money,The product does what it says. Only thing is has a very cheap finish.,Preethesh Ashokakumar,4.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on December 20, 2020",
defective and not easy to return,"I would not recommend buying this from Amazon.  We have had this computer for less than a month, it has been dead for 2 days and the battery will not take a charge/power up.  We contacted Acer and we would have to send it back for a ""repair"" that could take up to 2 weeks.  This is my son's school computer.  Such a hassle and Acer customer service isn't great.",Alexis Santangelo,1.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on September 16, 2022",2 people found this helpful
Good for simple tasks.,"I like the touch screen, screen quality is fine, battery life as well.",lys,4.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on May 11, 2021",
Terrible Seller!!!! Sent me Laptop with giant black mark on top!!! Never sent replacement!!!,"Not a bad laptop, just a BAD SELLER!!!!!! First off,  the product was supposed to be used, like new;however, I received a laptop with a giant black mark on the top of it, along with a bunch of scratches all over the front and back! I put in for a replacement and after a week had the seller cancel it! He didn’t message me or anything! Once I realized I put in for a replacement again and even messaged the seller and after a few days had the seller cancel again! Terrible customer service! Also realized that the screen was clicked out of place so be careful! I’m extremely upset I went with this seller, never again! The laptop itself j would definitely recommend, it has amazing screen display and coloring, as well as volume, but the touch screen seems to be not the greatest. Other than that I do like it besides being sent a damaged product. Battery life seems to be pretty good too",Darron M.,1.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on January 3, 2022",
Buy with confidence.  Stellar value!,"Fantastic all around 2 in 1 laptop!  Smaller screen than my ancient dysfunctional laptop but a far better replacement.  It isn't built for serious gaming though, and the screen could be bigger given the wide margin between the display and the edge of the laptop.  I imagine Acer did that on purpose to make the display more rugged and less prone to damage.  If that's the case, I have zero complaints.",Erin,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on July 13, 2020",3 people found this helpful
A great buy!,We purchased this for my step-daughter and she loves it. We added YouTubeTV app so she can enjoy streaming TV in her bedroom and it works GREAT!  We're very happy with this Chromebook. It does everything that we need it to do.,Mary-Lynn Noonan-Toschi,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on July 13, 2021",
great,"battery is great. the chromebook works mostly like a laptop and kinda like an android. screen quality is kinda low but not bad, touch screen is nice and doesnt lag with any touch. love it",sk,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on September 14, 2021",
SOLVED MY PROBLEMS WITH PREVIOUS 10.1 TABLET,"Automatically solved the movie rights problem associated with the WidevineCdn component associated with my previously purchased tablet when viewing videos. No problem with logging into Hulu; it recognized me as an existing user, which didn't happen with previously purchased tablet.  Connects to my 10 year old LP Tone headset. Fits in my Flippy tablet holder. Screen resolution seems fine to me. Easy to type on keyboard.  Battery lasts a long time.  Easy to fold up into a single surface tablet. Very solid feeling.  The only improvement could be the sound quality.  But solved when I use my own headphones. Glad I did my homework and purchased this tablet.",Bonnie M.,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on December 23, 2021",One person found this helpful
Love it.,My daughter loves it. She is 12. She uses it for her school work. Money well spent.,D B,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on January 27, 2022",
No complaints here!,"So far. So good. Bought it for my 8yo, but end up using it for myself! Love the touch screen features. Zero lag. My only complaint is, the screen saver that came on it seems to be something another user would put? So I’m thinking this might be a used computer?",Joangel ,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on December 30, 2021",
No Customer Service,Shame on Fry Electronics for never responding to my concern about my Chromebook not working after 8 months.,Gina Smith,3.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on June 2, 2022",
"Smooth setup, neat.","Setup easy, practical, works great.",Michael Stephenson,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on March 19, 2022",
Yay,I love it I've never had a laptop or a tablet this is a two-in-one I've actually been addicted to it since I got it and the deliverer dropped it at my door and sent me a picture saying it was there,Danni harding,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on March 16, 2021",
Fits the need for a cheap laptop/tablet,I like that this product was easy to sign in for and works without much intervention.  I set up a few apps and am enjoying the exposure to the Android/Google world.,JGB,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on October 8, 2021",2 people found this helpful
Not really a laptop,I wanted a laptop computer and basically got an overglorified tablet. Its a great device just not what i wanted,Chelsea Esbenshade,3.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on December 4, 2021",
Dogs do good!,I like the size and easy use of the chrome,Judith Barger,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on August 31, 2021",One person found this helpful
Only missing 1 obvious thing,Wish it had a Caps Lock and a Num Lock,Kat K.,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on August 20, 2022",One person found this helpful
Excellent,"Lightweight, easy to operate and set up, excellent battery life.",angel,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on August 22, 2022",4 people found this helpful
Very versatile and great price!,I love this chromebook! I csn use it as a tablet or a laptop! The touch screen is a great feature. I take courses on line with it and do alot of emailing and zoom.,Missy,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on March 2, 2021",One person found this helpful
Acer Chromebook,My old Ipad finally ran out of gas and I replaced it with this Acer Chromebook.  Couldn't be happier  does everything the ipad did and then some.,Gene Hansen,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on May 21, 2021",
Not really a laptop,I wanted a laptop computer and basically got an overglorified tablet. Its a great device just not what i wanted,Chelsea Esbenshade,3.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on December 4, 2021",
Super high-quality!,"Love the fact that this device can flip over making it a tablet, the price for renewed was amazing, $130, no need to buy a new one, you can add insurance if you don't feel comfortable. Perfect for a teacher/student scenerio. I will buy another one for business meetings. The size and weight makes it perfectnfor any setting. Please remember this is not a ""computer"" that has hard drive space and a strong processor. This device is mainly for internet applications, Google Classroom, Office 360,  cloud-based programs. Do not copy photos or downlaod anything large and this device will be effective and efficient.",Robert Rodriguez,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on April 19, 2022",One person found this helpful
price,great,Amazon Customer,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on June 21, 2022",
Too slow,"You get what you paid for. I thought I liked it originally, but the more I use it, the more I realize how slow the laptop is compared to my Macbook Air 2015. Granted, the Macbook Air costs 4x more, but I came to a point where the Chromebook just felt unusable and more like a starter laptop for my 9-year old kid.",J Chung,3.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on February 3, 2021",
Two thumbs up,This is a nice lightweight Chromebook and it works great. I have a very strong internet signal so I am not having some of the problems I read about. Its fast. Set up took 5 minutes.,No Flies on Frank,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on February 27, 2021",
Gave as a gift.,The user of this chromebook has told me that it works GREAT!  Loves all the features and uses it at least 5 days evry week--at length..,mrodof48,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on June 4, 2021",
Great prices,This is a Christmas present for 2021 so hopefully there will be no issues once my son opens it. I will update with an review after Christmas,Tabitha K.,4.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on July 5, 2021",
Ease of use,Figuring out how to use it has been difficult.  Instructions are non existent and my intuitiveness is failing me. I can’t even figure out how to add and app or it’s icon,Amazon Customer,3.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on July 16, 2021",
Rapido y eficiente,Todo perfecto,Gustavo Vega,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on June 27, 2021",
A great value for the money,The screen size is small but it’s for a 10 year old so it’s okay.,Dannie Davis,4.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on December 30, 2020",
Awesome product,Great chromebook with a great price,Louise T. Keohane,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on November 27, 2021",
Bought for Grand Kids,"Our daughter asked us to help with the needed school supplies this year, and this specific laptop.  So, bring good g-parents we jumped right on it.",Brent,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on September 2, 2022",One person found this helpful
Great!!,"I haven’t used it for long but when I did it was easy to set up, light weight and I love that it’s touch screen, and can be reversed to a tablet.",Audrey Elder,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on April 25, 2021",
Glad I went with this !,"I searched forever looking at chrome books for my 11 year old I wasn’t really sure what to buy, I finally decided to go with this one and I am glad that I did ! I didn’t want to spend a fortune but wanted something that was going to last and work well for him! This is so easy to use and he loves it haven’t came across anything we didn’t like yet!",Megan orr,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on July 18, 2020",One person found this helpful
This is great chromebbok,I am used to having bigger screen and was worried if it will not work for me. I got it and made some adjustments and I can see really well on it,Star,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on April 3, 2021",One person found this helpful
Good to have!,"This is my second chromebook, both are the Acer brand.  I really enjoy the security, the ease of use, and the touchscreen.  I keep it next to my recliner and grab it several times a day to check the news, do some research, some shopping, or read up on email etc.  So glad I decided to give the chromebook a try.",Mandy,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on August 15, 2022",
GREAT AMAZON DEALS BUY,"So I gave the stars simply because the chromebook arrived DOA (dead on arrival) and that ticks me off when I buy high end or high dollar electronics!! Other than that it arrived on time, NIB (new in box) but had to charge before we could play around with it!",Deborah Asuen,3.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on June 27, 2021",One person found this helpful
Like it more than expected,I expected to like this just fine but I really like it more than I expected to. And huge kudos to the seller. Shipping was even faster than it was estimated to be.,SamsWorld,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on January 17, 2022",
4th Chromebook!,"Love the Chromebook! Touchscreen is great. Only negative is that the speakers are not very loud but you can use Bluetooth to connect another, louder speaker d so it's not a big deal for me. Very affordable!",oh melpomene,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on September 20, 2022",2 people found this helpful
The best for the money,The best for the money. Chromebooks are easy to use and intuitive.,Amazon Customer,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on August 29, 2021",
Great Buy,This is a very nice computer for the price I have had no complaints and it has given me 0 trouble I really like all the functions on this computer it can be turned into a tablet also and it has a touch screen you really can't go wrong with this computer,Rose,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on July 8, 2022",
Probably Not The Best....,"Just got my computer today and started doing my thing, quickly noticed a small crack at the top which if it’s a brand new computer it really shouldn’t have that, so far no other things have come up but I will be in contact.",Vanessa,3.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on May 29, 2021",
Excellent,I've been using it for job searches and virtual interviews.,Ryan Murray,4.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on May 16, 2021",
Great device,"This is a fantastic device.  We got it for my son for digital learning.  It’s easy to use, fast, and has great features.  The price is amazing too!  I would highly recommend this chrome book.",Adam T,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on July 17, 2020",
A birthday 🎂 gift  🎁 for my grandchild,She needed a new laptop for college .,cathy,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on August 23, 2021",
Chromebook satisfaction,"This is a replacement of a Chromebook from 2017, my only complaint is printing. This one does not go directly to print I wants you to save and not being savvy with electronics this is unsatisfactory for me. Other than that I love the device",Beverly Burgess,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on August 3, 2022",3 people found this helpful
Highly recommend,"I purchased two of these, one for each of my boys and I'm extremely happy with them. Boys are hard on things and they have held up well. They work extremely well for the remote learning and college classes as well as their high School classes. Very impressed. Think I will buy one for myself now.",Sarah Eisenhuth,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on January 12, 2021",
Don't buy!,I have always bought acer in the past and never had a problem. This model unfortunately is the worst! I've only had it for 2 months and it continues to have glitches! After only owning the product for a month the screen blacked out! I had a presentation at work that day and it wouldn't do anything! The power button wasn't working and it stayed black for a few hours! Finally...the power button worked and I had a normal screen again! So frustrating! Ruined my presentation! From time to time the screen and the keys just freeze up! I have to turn off the power and turn it back on a few times. I contacted Acer and they want me to send my computer to them but doesn't offer a replacement while I'm they are working on it. I need my computer on a daily basis for my work! I would never buy this model again!! Its cheap for a reason!!,michele,2.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on May 21, 2022",4 people found this helpful
A man st have,Highly recommend this chrome laptop. Very portable and it’s so light and delightful to carry. Easy to navigate - a must have,Maria,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on September 28, 2021",
Didn't come with 1 year of Cloud Space?,"Update:  Did a little searching on my own and found Chrome Perks.  100 GB still available, but no longer to people who have taken advantage of it in the past with a previous Chromebook purchase.  Not happy about it, but it appears to be Google's greed that is the problem.  That said I think that the description on Amazon should be amended to not promise 100 gb of cloud storage.  I would be willing to bet most Chromebook buyers have already used the perk in the past.",Kimmysue,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on June 26, 2021",One person found this helpful
replacement for my dead Acer.,Love it and I am still getting used to it.  I don't like games etc on the computer I use for books and personal business so I bought  one like this as my old one died.  Works very well.,Pierce513,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on February 19, 2022",
Nice,Perfect for me price was good,Just another customer,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on May 21, 2022",
Chrome book,I love it so far. Use it every single day. I guess I’m just a little confused because here it says the product is the Acer spin chrome book 311-2h-c629 or whatever but I definitely received the 311-3h-k23x,Bree,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on August 22, 2021",3 people found this helpful
Very good,"This tablet laptop is so nice.  Good quality, so far the battery life is very good.",Zany Rainy,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on August 26, 2021",One person found this helpful
This was a great gift to myself!,"I purchased this about a year ago and I still use it. It works like new, I caught it on sale and the touchscreen is so useful! It came exactly like I had hoped.",The_Empress,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on April 22, 2022",2 people found this helpful
Does everything I wanted to do,I bought this to replace an old windows laptop. Was a little reluctant I love using my phone but I didn't know if the Chromebook would do the things that I wanted it to do. But I was pleasantly surprised I can play videos use my Amazon prime Netflix browse the web basically anything that I can do on my phone. I would recommend this to anybody it is the perfect replacement for an old windows that did not stream correctly could not handle bandwidth any and all of the above. There's only two things I'm not thrilled about the quality of the video is very good not high def but not garbage either. The only thing that I really have an issue with is I wanted to use a computer and or Chromebook but I did not want to have all the links to my Google account and when I did set it up I set it up to sync which was a mistake. Other than that I would definitely look to buy another Chromebook of any type in the future.,eric,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on April 5, 2022",One person found this helpful
So easy to use,"It's very self explanatory. Touch screen, keyboard, it's fast loading. I bought it for shopping on the internet and it's great for that purpose.",Melissa Rogers,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on October 24, 2021",
PERSONAL DATA STOLEN FROM US,"I am heartbroken and furious right now. Shortly after receiving this Acer Chromebook, I inserted a USB drive into the USB port/hub to view my daughters baby photos with her. First of all the USB port is extremely stiff and it takes a bit of pressure to insert a USB disk into it, much more difficult than I am used to. After inserting the flash drive, the Chromebook gave a notification like ""Woah, be careful"" or something like that. I thought that this was strange. After closing out and ejecting drive, very similar to Windows but never with these issues, I reinserted the USB drive again to show my daughter more of her baby pictures and to our shock, they were all completely gone. Every file and image was removed as well as our tax returns with Social Security numbers. We are so sad right now as we try to fix this. We have not had any luck so far. My husband just purchased this Acer Chromebook for me less than 2 weeks ago. We always kept our photos and important files on a USB drive and we never ran into problems like this with Microsoft Windows XP, 7, 8 and 10. We would simply close out the window, safely eject the usb drive and reinsert it back into the hub later. In this case, this system never presented me with a startup tutorial or  a How To Guide like Microsoft always did so I was never able to backup any files because I didn't know how.",Prime Member,1.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on June 23, 2022",11 people found this helpful
Awesome laptop/tablet,My first laptop or tablet I've had.  I had no knowledge of either and this was so easy to get used to.  Called the tech support number who helped me to get going and I'm off to the races.  Love this Chromebook!!  It is so nice and battery holds 10 hours.  Totally satisfied!  Putting the 2 in 1 works amazing,Elana,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on January 19, 2021",
Waste of money,I bought this for my 6 year old for school because they went virtual for 2020-2021 school year. I only had this maybe three months and it completely stopped working. Wouldn’t turn on anymore. So I wasted almost $300. Never will purchase from this company again!!,maria,1.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on April 8, 2022",One person found this helpful
My daughter loves it,I got it as a birthday gift for my 8 years old and she loves it 90 days later no issue what so ever,Faroug Abdalal,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on February 9, 2021",
Nice!,"Exactly what I wanted, a smaller size laptop.  I got a bargain on it and am Really impressed with it. I’m not used to android but I’m getting there.  I mostly watch movies and it never has disappointed. Keeps charge plus charges up rapidly. Overall I love it!!",Vicki Deveny,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on March 16, 2022",One person found this helpful
My husband loves it!,I ordered this as a Christmas gift for my husband.  The first one I received had a badly damaged screen.,Terry,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on March 7, 2022",
Great product,Got this for home schooling works great and she can play games after homework! Last all day.,Shannon,4.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on September 9, 2020",One person found this helpful
Great laptop,Love this laptop. I'm getting to know my way around the Chromebook OS and find it pretty easy. Never have a problem with battery. Touch pad and screen are smooth and responsive. The only issue so far is a flickering issue while streaming and opened Amazon app. The Amazon app flickered badly.,Surprised at price hike,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on May 20, 2021",
simple to use...,it easy to use and does everything i need.  great for the money,ronda ,4.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on October 17, 2020",
Faulty Devise,"For the first week everything was fine. It was a two-in-one device that I could use for both school and work. However, it just turned off 10 days after it arrived and refused to  turn on again. We sent it back to the ACER company (it told us to send it back to ACER inside the package) we had to pay for shipping but they fixed it. When it returned  the  message inside the box said it was just below 1% and had to be charged for a while before turning on again. I was happy to see that the problem was minor, or at least it seemed minor. One week after the computer was sent  back to me, it stopped working for the second time in 25 days. After 24 hours of non-stop charging nothing has changed. It might just be that they sent me a faulty devise, but I still payed 300$ for something that I was only able to use for a total 20 days.",Tommy Hair,2.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on May 14, 2021",3 people found this helpful
Failure to load Apps,Could not install apps from the play store,S. NELSON,2.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on August 13, 2022",One person found this helpful
Best bang for the buck!,My favorite chrome book.,Nathan,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on January 22, 2022",
This is by no means a gaming laptop but good for basic needs,It works good for what I needed it for which was to pay bills more easily,gordon,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on July 10, 2021",
Amazing chromebook,It’s a really good computer for me to use everyday and the battery life is good too. I definitely recommend buying.,Olivia,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on May 22, 2022",
Broke after 6 months of use,"Worked great for 6 months, then just stopped working for no apparent reason.  Never dropped it or exposed it to water.  Always kept in a soft carrying case when not in use.",L. Monterastelli,2.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on February 24, 2022",
Very friend to work with.,"Like the different ways that you can use , many ways",james butler,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on August 7, 2021",
Supero mis expectativas,"Me encanto el tamaño, duracion de la bateria y no es pesada. Justo lo que necesitaba para mi hijo.",Lissette M Cedeño,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on April 9, 2022",
Works great for school,"My daughter is very happy with this chromebook. I only purchased a new chromebook for her because her previous one is no longer going to get updates because it's ""too old"".",Chevonne Llamas,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on January 17, 2021",
Don't get it,"First one we got was defective. Sent it back for one that worked and it lasted a year, but not without problem.",LS2018,1.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on June 9, 2022",5 people found this helpful
Perfect for traveling,"Perfect thickness for carrying around. It is also touch screen and can be folded like a book, so perfect to do work and online schooling.",Mariana_2017,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on April 14, 2021",
They don't screw down the battery,"I loved the chromebook, but the battery is not screwed down. So, eventually your cable just gets bent to much form it flopping around, and no longer charges.",kjjfr,1.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on September 1, 2022",2 people found this helpful
Battery life give it 9/10 better than our last chromebook,Great battery life. Light weight. Live ut,Michelle,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on August 17, 2022",One person found this helpful
Bad advertising,Wow the advertisement was all wrong.I just got it in the mail today and there is no touch screen or the 4 different modes you can adjust it to.Very disappointing,Jordon,2.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on March 17, 2022",
FIRE HAZARD - READ,"I have been a technology professional for 25 years, and have built high end video and audio recording computers. I now work as a cybersecurity leader. So I'm not new to computers or technology. This was bought for use by my son at school. It has had general light usage for school work. It has now started to overheat where it is hot enough to burn the skin of a child. The picture included shows where the plastic has began to melt on the case. This is extremely unsafe and a FIRE HAZARD. I tried to open a claim with Acer, but they said its out of warranty even though I bought it 3 months ago here on Amazon. This tells me the seller her eon Amazon must not be authorized and is selling these THIRD PARTY an NOT NEW AS STATED.  Acer has not contacted me back. This product is a danger and should be recalled and refunded/replaced!",KY Mike,1.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on October 26, 2021",35 people found this helpful
Perfect for Virtual School,My child works in Canvas for her virtual school platform and this works well for her.  It was well worth the money and this is the third Acer Chromebook we have in the family.  We love them all!,Jessica,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on November 2, 2020",2 people found this helpful
So easy to use!,Love being able to use either touch screen or key board. Both screen quality & battery life are impressive.  Great purchase!,SKW,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on June 17, 2021",2 people found this helpful
Got what I wanted for a great price,This Chromebook is the best purchase I made for myself in the past year. My HP Chromebook gave out on me and doesn't do half the things this one does. It's more sleek and lightweight. Also it's convertible and has good screen quality. Folds like a tablet and easy to connect the WiFi.,Roshelle,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on March 6, 2022",
Easy to use,"I have had other Chromebooks.  I wanted something simple to use.  This was a gift for a senior relative.  It is perfect for Facebook, Email, newspapers, and locating information.",Judy Tinney,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on February 16, 2021",
Different operating system,"I like the fact that it is difficult, not impossible to get malware, and can be easily cleaned if you know where to go. I had a continual popup and discovered that although the operating system didn't have a virus/adware/malware, the browser did. Once I figured this out I cleared browser history and it was gone. I do not really like the Chrome operating system, but I suppose I will get used to it. Really like the near non-existent virus/malware. No need for anti-virus. Everything is run in a sandbox.",Brian Donegan,4.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on May 6, 2021",One person found this helpful
