,review_body
1352,"very nice for simple things. every few days it ask for restart.. it does what i need it to. windows is nice.. email set up nice.. Again for simple things emails keep track of writing, maybe if you need a online shopping .. maybe certain things a person might not want to do their phone.."
1353,"I bought this for use with my Samsung smart TV, not expecting much more than consistent and trouble free Internet access with reasonable speed. The first thing I did was to switch from Windows 10-S to to regular Windows 10 (Home) and uninstall apps that were not relevant to my usage. I also downloaded a few apps. I was surprised to find that it is quite a nice little netbook for routine computer tasks and excellent for travel: very compact, light, pretty decent screen, lovely clean design, excellent keyboard."
1354,"Honestly, it works amazing! The only problem I have is the storage and the touchpad really. The people who say that it’s too slow are probably just fake reviews to be honest. It loads pretty slow for the first 2 hours but then after the updates are done, its a pretty fast load-up time. So far, I’ve played Minecraft (with resolution down), and it worked great!"
1355,Touch pad and mouse and keyboard all reacts slow to input... sort of like it keeps having to process the input before it can react to it.  I know it is a cheaper computer but it should not be slow to a mouse click.
1356,Was working fine although we didn't really use it that much...then the screen went black & nothing. Plugged it into multiple outlets to see if that was the issue but nada. We bought in May 2021 & it's only October 2021. DON'T BUY!
1357,Computer does not turn on with one push of the on button. Sometimes it takes 20 pushes. This problem occurred after 30 days once the return policy expired . My loss. I am buying another computer.  Stay away from this computer. Don't BUY!!!
1358,There should have been return labels. I didn't even have a phone number or an email address to contact the seller. It worked for a week and then wouldn't even come on after that. I had to buy ANOTHER computer from Walmart. I WANT MY MONEY BACK NOW!!!
1359,"This laptop can be a perfect option for everyone who is looking for a powerful laptop but at the same time light weighted to be easy to carry. The laptop has a simple and chic packaging, the sizing is perfect, not so big and not small. It’s very powerful especially compared to some gaming laptops with thousands of dollars price. I absolutely love how thin it is so I can easily carry it everywhere."
1360,"I ordered this for selling items online.  I have a couple sites that I sell homemade items on.  This laptop is slow, and doesn't seem to have the capability to handle some things as well as a higher end laptop would.  I ordered this, thinking it was like a normal laptop, but its not. Its much more restricted.  If you are looking for a laptop for a senior citizen or a young teen, this is a good one to get, but if you want to do certain things on it, you might look for something with more capability."
1361,"I don't understand as to how in 2022 laptops like this are still being sold. Even for simple web browsing, it's very laggy and freezes often, how are we still using this processor? It's awful and it heats up tremendously while doing simple tasks. I don't see how anyone other than seniors who need a computer for personal needs can use this, while even for them it might be hard because of the lack of power the processor has."
1362,"Really good purchase. I was a little unsure at first with it being on Amazon, but this little thing is great. It's good for people who mainly do school and writing like me. Also good for gaming. 10/10!"
1363,"For light weight yes does it do most school applications yes. Grade 1st, 2nd,3rd,4th 5th yes,,, light business application yes now the mouse pad is disappointing it’s  functioning ok you have to teach your self it’s not functioning as the more expensive lap tops  it’s ok for the beginner"
1364,"These type of computers don’t make much sense to me, they are literally only meant to have a usable life of about 1 year for the 64gig and about 2 years for the 128gig. The reason this is, is because the storage is soldered to the motherboard. To give you an example, this is like buying a car with a full tank of gas at a low price but the gas tank being sealed to where you couldn’t add no more gas. I’ll explain in more detail why they have a short use life and why this laptop has potential."
1365,"it went black. dont turn on. ik its good brand, and easier to sit anywhere. all issues I have had with laptops. save your headaches and buy desktop. I'm going seek refund"
1366,"I purchased this laptop, then returned it for the same thinking the first was damaged. The second had the same audio issue during teleconference meetings. I called Ausus for tech support and they alluded that every platform I use was the problem versus the laptop. I have a smaller Asus laptop that I'm currently using and have no issues using it on all the platforms, it's just small and inconvenient to work using it all day."
1367,Biggest waste of money ever! Straight out of the box it's SLOW! I uploaded some photos and they won't even load. I can't even open up the Internet without it taking 5 minutes to load with no additional programs downloaded. Don't make my mistake. This thing belongs in the garbage. My first gateway computer in 1995 was faster than this!
1368,"I got this laptop to watch Youtube videos. That is all I got it for.  This laptop had an issue playing the videos. The Celeron processor could not handle it.  The video would stop.  Sometimes the video would stop and the audio would continue.  Overall, just a frustrating experience.  I am returning the laptop. I am getting a laptop with a better, faster processor."
1369,"This is a nice basic computer. It's not good for gaming or graphic design, but it would be great for a student who needs basic word processing, Internet, streaming, and maybe some low graphic games. It's got very basic components, but it's nicely built and lightweight.  It has a nice, sharp screen for watching movies or doing homework.  I would recommend it for someone who doesn't have advance computing needs."
1370,I’m not sure if this is for gaming but I use it for school and it works well. Light weight and love the updated features. Had an asus before and this is a great brand.
1371,"I bought this to be my ""printer and light work"" laptop since I can't use my work laptop with non-company printers (I work remotely).  I learned very quickly that 4GB of RAM will NOT get anything done that you need.  I saw it had a USB-C connection, one of the main factors of the purchase, but learned it does not have DP over USB-C capabilities.  I can't hook it up to my work station, nor can do anything with the 4GB of RAM.  So I returned it."
1372,"I got this during Prime Days, so it wasn’t very expensive. I wasn’t expecting much, but it has exceeded my expectations. It works great and it does exactly what I need it to do."
1373,"I have had this same laptop (although in Windows 10) and I've loved its ease of use.  However, after spilling hot tea on it, it was fried..  So, I a ordered a new one (but with Windows 11)."
1374,"Only one complaint so far but other than that it's 5 stars across the board. The complaint is I just got it, installed 1 app (steam) and the laptop already sounds like a airplane taking off. It settled down a bit but I can hear air flowing so it's not quiet. I haven't tested it even with game to see if it can run games well enough to play so I think it will serve my purpose to full decent games on low."
1375,"It is a decent machine. The only thing that keeps it from being a very good machine is the highly annoying fact that it restarts itself, without any warning, once or twice a day. I can get no help from Acer, or Microsoft about this issue. Acer suggested that it was a Windows issue, but were no help in resolving it. Microsoft simply won't answer my requests for help."
1376,"Do not buy this laptop if you want to add two external monitors. This computer does not connect to any docking stations I have (which I use for various other computers. The USB-C port is of no use. This computer has been nothing but a hassle for me. I bought it because of the price, but have had to buy a number of adapters to get it to work with my monitors. I may have to return this laptop."
1377,"It has a plug for my external monitor, a plug for ext. speakers, a USB c for my DVD drive, USB for my ext. keyboard & mouse and two other USB plugs and Windows 11."
1378,"I've had it for about 2 months & it does the job as far as what a computer should do. The sound is very low, static filled & just overall sound bad. I haven't had the camera freeze I was experiencing in the beginning as often but it still shouldn't happen. The speed & connectivity is good so far. I would've invested a little more into something that sounds much better but at the time I needed the comp I didn't have the extra $."
1379,I used an Acer laptop all during college and for years after.  So when I needed a new computer I instantly wanted to go back to the Acer brand.  From day 1 this laptop was awful quality.  It keeps restarting randomly and I lost important work and got disconnected from several Zoom meetings.
1380,This is the fastest loading computer I've experienced.  It's quiet and the backlit keyboard really helps because my den is rather dark and that's where I use the computer daily.
1381,"Everything is good, but the screen is glary and the buyer needs is required to use or create Microsoft office account to login for first-time use. Not a touch screen, just a clear reminder."
1382,"First laptop I've ever had with the speakers on the bottom. Yupp, you read that right, the bottom. Makes the sound very dull and muted. Would love a touch screen or atleast the screen to be edge to edge and without the thick black edges. Boo. Key board is great and the computer is lightning fast. Not great for games tho, but school and movies it will do fine with."
1383,This laptop has fantastic reviews. I researched thoroughly before choosing one and was so happy to receive this. The first few days were fine. I use it for my school work and to play The Sims 4. I have an endless amount of CC and Mods and the laptop speed did not slow.
1384,"This rating is not based on Acer's quality which I really think is very good.  This computer is almost identical to my other one, differs only in that hard drive is smaller and it has Windows 11 instead of Windows 10.  And therein lies the problem.  This computer's performance is noticeably slower than my almost identical WIndows 10 machine. From what I have read ""Windows 11 is optimized for Intel's new processors"".  It really shows.  I am considering installing 10 on this one."
1385,I have always had an acer laptop. Upgraded through the years. I bought this laptop in July. I started a small business and started working from home. I’ve had more problems with this thing than I can count! The internet quit connecting. My son installed the new driver in it. Worked one time. We’ve had to install a new driver multiple times to get this laptop to work. I’m now having to purchase a different laptop and hope it doesn’t happen with a new one. Very disappointed and will not purchase an Acer again!
1386,"Pésima computadora.  Tengo 2 hijas y para sus clases compré 2 en total.  Nunca he tenido problemas con compras de computadoras hasta ahora.  Soy ingeniero electrónico, así que sé muy bien de lo que estoy hablando y definitivamente las dos computadoras tienen problemas.  Son 2 fallas que detecto:"
1387,"Bought this computer when my Lenovo Yoga 2 (which was 8 years old) suddenly died on me.  I don't do much heavy lifting with my computer, mostly just Microsoft Office and web browsing so I figured this computer would meet my needs.  Unfortunately, there are a couple of things I can't look past."
1388,"Very nice  price quality, it is not sooooo Good, but it works very well for the price i recomendado for my friends .muy buena relación precio calidad,no es la octava maravilla pero por el precio esta bien,la recomiendo ampliamente a mis amigos"
1389,I’m not a gamer but this laptop does allow me to work efficiently. I’m a realtor and work mostly from home. I don’t download games or pictures to my laptop.  I deal with several different websites for work. We do a lot of documents and photos with Dropbox. The laptop is small and perfect for travel. I work long hours so it stays charged about 7 hrs. Good enough for my work and $500 worth the price. Would recommend this laptop and purchase again.
1390,You will not go wrong w this device. Add an 8gig ddr4 sodimm 2400mhz yourself to it and youre good to go. Back lid opens easily. And do remove Windows S. It doesnt fly and isnt for gaming but will do everything else quite well.
1391,The screen quality is really good. I don't use my machine for gaming so I won't know. But I like the back light on the keyboard. I haven't used it on battery yet
1392,"Not very computer savvy, so I was somewhat hesitant to buy it, but I already owned an Acer desktop and loved it  so I went with Acer again for a laptop. Very easy to set up and use. 15” screen is good too. Overall, very happy!"
1393,"I've been on hold for an hour and a half from their customer ignore number. these people don't help you, they actually ghost you. there is no support for anything as far as i can tell, since they ignoring me without even knowing my question. i think you better talk in chinese to get help, because there is no american help. i am sending an Acer computer back for the second time in a month because they can't support their feeble product. i cant do this again, i do not want an ascer."
1394,"I picked this particular laptop for my new one because it is supposed to have a backlit keyboard. I had an Acer before and it was a good computer. I work at lot at night in poor light so a backlit keyboard would be a  really good feature. But, unfortunately, the back light does not work at all. I looked up instructions and they don't work."
1395,"Although I’m more than proficient in computer use I’m not extremely tech savvy when it comes to computer specs, so this review won’t be about those. This review is about my experience with this laptop as an everyday laptop user."
1396,"I'm an engineer who has been using company-provided laptops, bought to my spec, for many years.  This time I was spending my own money, to buy one for my daughter for school, so I wanted a solid school-appropriate laptop that wasn't some crippleware nightmare.  This really fits the bill."
1397,"We got this for general use (surfing, movies, games, music, etc.) and overall it's a nice laptop and works well for our purposes. Setup took some time with updates and setting up options but it was simple and walked you through it step by step."
1398,"I can't believe the quality and performance to price ratio here. These are my go to for cheap laptops for clients who have employees that need to access online applications, email, web and other SaaS instances. They are fast, and have held their speed great. Even with a $99 upgrade to Windows Pro its hard to find a better deal for the quality and hardware."
1399,"I don't know who designed to install the speakers underneath the laptop, but that was beyond stupid. The sound quality is horrible, especially if you don't have it sitting on an elevated surface. Other than that I'm happy with it, but if you plan to listen to a lot of music without a headset, look elsewhere."
1400,"I have been searching for a good quality laptop, and this is my first foray back into a windows laptop. First off, this thing is big, it had a beautiful 1080 HD screen, back-lit keyboard and just feels like a super solid build."
1401,"A laptop that is suited for basic tasks like online browsing, remote meetings, work activities, social networking , watching videos and occasional gaming because of the Ryzen processor with the Radeon graphics card along with the high speed Wi-Fi 6 which provide quick response and fast and reliable internet connectivity. The 8 GB of memory and 256 GB SSD can be expanded and included with the laptop is a kit to add an additional 2 1/2 inch SSD or hard drive."
1402,"after a month of using this laptop and was initially satisfied, i received the blue screen of death. ive tried running the recovery and diagnostics to figure out what was the issue. being inclined on computers i tested everything and even tried reinstalling windows. still, i continued to get the BSOD. eventually i found out that either the gpu or psu was going out. i guess you get what you paid for."
1403,"My daughter has been very into playing The Sims and that is what we bought this for. It works perfectly. It’s nice and big and we had no problems downloading the game and expansion packs, which I was a little nervous about."
1404,"Buena relacion precio calidad, si lo que buscas es un portatil para trabajar con programas multimedia relativamente exigentes y quizas jugar algun que otro juego esta es tu mejor opcion"
1405,"I give it 5 stars because I can't imagine getting better bang for the buck. This is a $400 laptop that punches like a $1500 laptop, which is what it replaced. I am a dad, not a gamer, so I use it for dad stuff. Office 365, MS Teams, WebEx, Zoom, YouTube, Spotify, relatively low impact stuff.  I don't need a CPU/GPU/RAM that make your toes curl. I need simple, functional and reliable, and that's what I got for *#@$&? $400. Heck yes."
1406,"First off, this laptop works great in general. It features a very nice crisp IPS 1080p screen, has a slightly glossy screen, full size keyboard, is lightweight, thin, and fast --- and comes with a backlit keyboard."
1407,"I have no idea why they designed this thing with an offset trackpad, but it contributes to multiple clicks because the ""left click"" area of the pad is now juuuuuust out of reach, to the point I have to be cognizant of where my hand is every god damn time and it just breaks any kind of flow. Regret not returning this during the return window because if randomly freezes and requires too many reboots for a new laptop. I guess you get what you pay for with this one."
1408,"The keyboard is easy to see - in daylight. I specifically ordered one with a backlit keyboard thinking they all stay on, like my wife's. This one goes off after 30  seconds, leaving the keyboard dark. For me that is a problem. I'm 73, have very bad vision in one eye and floaters in the other. It breaks up my concentration when I'm writing. The light goes on with a slight touch, but it's distracting."
1409,"This is a great laptop for it's price. Needed a laptop for an employee to use on-site and picked this one out. Very fast, light weight, and perfect size for our needs. No complaints here!"
1410,"I received the laptop 3 weeks ago and have not had any problems.  Being more of a power user, I bought a 16gb stick of Acer DDR4 3200 RAM from Amazon and couldn’t be happier.  The 6 core processor is a screamer!  And I love the metal lid.  It looks awesome."
1411,...but I absolutely DESPISE Windows 11 and this laptop came with it already installed. I waste so much time tracking down documents I've downloaded and nothing about 11 is at all intuitive or logical. I don't appreciate my time when working being wasted on dumb stuff and Windows 11 can pretty much be summed up that way: DUMB STUFF.
1412,I got this computer as a gift. I love the capabilities for the price as i do mostly everyday jobs on the computer. I do not have much in the way of gaming here.
1413,"Acer consistently seems to make great everyday laptops which last for a fair amount of time. Ordering this 2019 released laptop in 2022 can be seen as an interesting move, but I was pleasantly surprised and how functional it is for the price. At $499 (at the time of this post), you’re looking at a midrange specs simple pc that handles Windows 11 very quickly."
1414,"I just bought this laptop and right out of the box, I got the blue screen of death. It keeps going blue screen error to restart, repeat over and over. Customer support would not help me. They will not allow me to return it nor refund me, told me to contact manufacturer. Manufacturer states they cannot assist with product purchased on Amazon. Now I am out $400 and a laptop. I am BEYOND furious. DO NOT BUY!!!!"
1415,"I bought this Acer to replace one I have had for over 2 years.  This acer worked for 3 weeks.  While doing a prompted update, my Acer got a blue screen.  I cannot do a factory reset or anything else to correct the error.  Good luck if you purchase this model."
1416,"I had to replace my former laptop and went with the Acer Aspire 5. For what I need, it has been an outstanding purchase so far. I have had no problems with the computer. It is very fast. I'm not a game player, but the ""old"" games I play are easy work for the Acer. in short, I'm happy with it; and, knock on wood, hope it will give me several years of good service. I also like that it is made in Tiawan. I will update if anything goes wrong, but it's a great computer so far."
1417,"Had the computer for three weeks, with only a total of 3 applications installed when I received the blue screen of death. Did what I could to fix it, did an entire reset and thought it was good before it died again."
1418,"The HDMI port is broken, cannot hold a connection to my monitor, screen keeps blacking out. I'm past the return window so this is worthless now, tried different cords and no solution has been found. Will never trust Acer laptops again."
1419,"I want to start off by saying I am by no means extremely knowledgeable about computers. I know how to turn them on, use them, run programs, etc. But that’s about it. I know basics about storage size and speed. But, even that knowledge is minimal. So, this review is purely from a novice everyday computer user, NOT a computer expert or anywhere close. That’s why I am going to provide the specs straight from the computer at the end of my review, so hopefully if someone does know exactly the specs they want, that info will help."
1420,Amazing laptop for being midrange. Honestly the only thing is the build quality needs improvement.  Internal specs are great and doesn't heat up or slow down after constant use. Love windows 11 since it allows you to use Android apps and not just the Microsoft store. Battery life is great.  Don't really have any complaints except build quality but for the price they had to cut a corner somewhere and I would take performance over build quality anyday.
1421,"This computer is completely useless!  Waste of money!  To make matters worse, you only have 30 days to return.  It arrived on 7/16 today is 8/17 and I am unable to return!!!"
1422,It can connect to my acer desktop so what I had in my desktop I also have the same thing in my laptop. That’s pretty cool. The screen size and weight are good. It is clean silver color. It has lots of different plug holes.
1423,"I received this April 21st of this year, On May 30th I went to pick it up and it was so hot you couldn't hold it and it would not power on.  I contacted Amazon and the company.  Once again on June 20th this happened again and it took two days before I could get it to power on.  Once again I filed a complaint with Amazon and the company requesting a new one sent to me.  I have yet received any phone call or notification to resolve this issue."
1424,"Size, weight, display and speed are all very good. This was the best laptop I found anywhere for the price. It replaced an old Acer laptop we gave to our grandson to use in school. He's happy, we're happy. Didn't rate for Gaming because we don't use our computers for games. Didn't rate For touch screen because this model doesn't have one. Summary is: good laptop at a fair price."
1425,"After having this laptop for about two months, it will no longer contact to the internet. I’ve tried multiple different ways of trying to fix it, but nothing works. (Restarting, troubleshooting, trying different Wi-Fi, etc) I start school in a couple weeks and only have a $400 paper weight."
1426,"Tenía miedo al comprar una computadora online, finalmente lo hizo y tengo para decir que estoy encantada con mi pc, es súper rápida, vino rápidamente y con todo nuevo, ni un rasguño. La recomiendo 100% es una pc muy linda, en mi caso solo la uso para cosas básicas así que no tengo idea de cómo es para videos juegos u otras funciones. Espero y le sea de ayuda."
1427,"If you have a new college student, and you are on a budget, this is a good entry laptop that will do what they need for college.  Its not powerful enough to do high end graphics or gaming, but you can play some Fortnite on low settings just fine, as well as some basic Photoshop editing."
1428,"This Acer laptop is well made mid-tier, power conscious portable focusing more on productivity and less on gaming. There is no discrete graphics, only AMD Radeon graphics for light gaming at low resolutions. This laptop is perfect for mobile users that want a fast processor with plenty of RAM and good battery life without the need for power hungry discrete graphics."
1429,"This is a great little laptop for checking emails, surfing the web, and doing basic stuff. It's not great for photo editing, rendering videos, or other processor-intensive tasks, though. If you're looking to do some light gaming (very light) you can easily upgrade the ram and storage (they include a kit to add an SSD to the system, which is awesome). I use it to run my laser cutter and it does fine now that I've bumped the RAM up to 16GB. I don't need any storage on this machine, which is good because it really doesn't come with any."
1430,This is the third Acer we’ve owned and everyone has been total quality. Laptops and tablet have been very fast response and no issues. After my experience with Dell pleased as Acer is a quality manufacturing company.
1431,Biggest case of buyers remorse in my life. Always bought HP with Intel hardware but figured with the reviews for this Acer Aspire 5 with AMD Ryzen 5 and Radeon graphics why not explore unfamiliar territory and see what the hype was about in the reviews. This Acer Aspire 5 for $489 Brand New shipped to the door I was astonished the laptop didn't come with an actual user manual. Was even more pissed that you can not setup and use this without first connecting to a WiFi network.
1432,I got this laptop for a good price and with enough room for updates. My old laptop didnt have enough room and eventually wouldnt update anything because it had 4 Gbs of Ram. I stream on this and am happy with the quality and sound.
1433,"I bought this laptop to replace my wife's broken Lenovo. I have to say, as a MacBook user, this is a great value laptop for regular users. She uses this for web browsing, shopping, email and light gaming. This system is responsive, nice screen and thus far no real lagging while doing these tasks. I like the implementation of Windows 11 on this device as well. YMMV."
1434,"It set up fine but second day it didn't boot into windows, I went through a reset software procedure and all is well. I like the backlit keyboard and metal top cover, also seems fast."
1435,"My HP Pavilion died.  I contacted HP Support, and they told me that I needed to buy a new laptop.  I am so glad that I purchased this Acer laptop!  I love it!"
1436,"Screen quality and resolution is great. I have owned several laptops before and this sleek beauty is by far becoming one of my favorites. Easy set up and decent battery life, very responsive with no lag. This will be great for 3D designing and printing. Well worth the purchase."
1437,The computer arrived on time. I was very happy and satisfied with the purchase. I bought the computer as a replacement for my son's computer for school. It is great during conference zoom video and computer screensharing is great with clarity.
1438,"There is a half inch decrease in width, no decrease in length, but a 1"" decrease in keyboard width -- which is all in the number pad, now 2x4"" (previously 3x4).  The pad is almost impossible to use without a typo.  The enter button is shrunk so small it's easier to use the one on the main keyboard.  Look at the photo carefully.  I don't game, and I use a mouse, so no comment on that.  Some optical improvement, I suppose."
1439,"Seems to work well. Haven’t really done much with it, but has been an improvement over what I had. Would not suggest for gaming. No dvd/cd player, but an external can be purchased for less than $30."
1440,"No real complaints, other than the occasional times where the touchpad would be difficult when selecting/clicking on things; it was like it got stuck. Guess in the near future, I’ll have to invest in a separate mouse to use, if it persists."
1441,I'm a longtime Acer user and I bought this Acer laptop because I liked that it had a second hard drive bay and I wanted to install the hard drive from my old Acer laptop in the bay so I could run my Linux OS rather than the windoze virus.
1442,I was in need of a new laptop and after doing a lot of research I decided this would be the best one for me. It's great for basic use or for work. I'm very happy with this laptop.
1443,"I just needed this to begin working from home, and for the price it’s great! Very fast and runs my heavier software for work like a breeze. A great option if you just need to do simple tasks- I can’t speak on its gaming ability as I have other systems for that."
1444,"I love my new laptop, but it’s got almost 0 space for anything. I tried backing up my phone to it (which btw iTunes SUCKS on Microsoft) and it couldn’t hold. However, I was able to download a series of games, and it does well with split screen and office work. I’m not sure if I have a touch screen. If I do, it doesn’t work."
1445,"I'm used to Macs, so there was a bit of a learning curve, but I'm very happy with this machine.  The screen resolution is great and I love the Microsoft Edge browser.  I usually download Firefox to all of my laptops, but I decided to give Edge a try and I'm completely satisfied with it.  The overall look of the Acer is very sleek and modern and looks a lot like my daughter's Macbook Pro Air."
1446,Glad I finally got this laptop been on my radar for a while now. I was instantly interested after learning which processor and version of GPU it had. Additional ram slot and came with the parts to add in the additional hard drive ( I did an ssd for faster speeds.)
1447,"I have had about a month now. I was skeptical due to the low price, but computer has been great. I work from home so I use it a lot."
1448,"The screen started blacking out within 48 hours. I've already returned it for a refund. I had high hopes for this laptop, but I should have known better. You get what you pay for."
1449,So far I am very impressed with this laptop. I don't put it through a lot of stressful stuff like high quality gaming but the screen is sharp and clear and the laptop is speedy and responsive. As a relatively low cost option for work or school it seems like a great choice.
1450,Backlit keyboard goes out after a few minutes.  Need to find the correct key in the dark to turn on backlit every few minutes....very smart Acer.  Keyboard died after a week. Had to go through all the suggested ways to fix.  Had to mail in for service.
1451,Gets hot immediately. Fan does not change speeds with fn f like ad. Dragging files stops working and locks up the whole computer. I had to reboot many times just to move my files around the first day: nothing else was running. It used all the memory for a minute after I moved a large file and froze if I tried to do anything else….while literally everything was off and the file was fully moved.
1452,"Trackpad terrible. I do not get it. Otherwise works well for what it is. Low-end machine but screen is good, ports are good, it's nice and sleek enough for the price. But damn Windows machines have had terrible trackpads for years and STILL they suck. Just do what Apple does with their MacBooks it can't be that hard!"
1453,"This computer is PERFECT for me!  Thank you for offering it to all of us; The updating process was a breeze, which was not so with other computers in the past.  I even added a 5TB external hard drive to it without any difficulty at all.  YAHOO!!!  😘❤️🌹"
1454,"I got this pc after doing my research, and it showed me that this pc is the best bang for the buck at $400.  It's remarkably fast and just great for general internet use.  I did not buy it to play games, and I don't use the touch screen.  I highly recommend it for anyone just using a pc for general internet use.  By the way, I love the backlit keyboard."
1455,"whoever designed this laptop is an idiot when it came to picking where to put the speakers. they are under the laptop!!!! so they are always muted unless you prop it up with something. so, if you plan on watching anything with sound, you're going to want another source for the sound."
1456,"Package arrived in good shape, plugged computer to charge, 2 hours later computer was very very HOT and not responsive, Being returned for replacement.  I now have an Acer desk top computer and like it very much so will try this one again, Hoping for the best."
1457,Booted up fine went through updates and loaded a pdf scanner and loaded documents in short time. My old computer quit in time for tax’s but this is a much better computer and looking forward to years of use.
1458,"Not sure about battery life, as I just purchased. Screen resolution seems good. Like that it is thin and lightweight. I am only using for web browsing, so not sure how it would be for gaming."
1459,Fan is the loudest laptop fan I've ever heard. This apperntly is is known and I should have researched more.  I used it 4 times for basic set up and web. Completely shut off for a whole day on me within a week. Amazon support told me to call acer. Problem fixed it self. Now the screen Completely went blank. 36 days after purchase. No games and no extra downloads. I turned it on and payed bills. Don't buy it!
1460,"Llevo usando esta laptop aproximadamente 3 meses, cumple todo lo prometido, como trabajos en Word Excel, etc..., le mejore ram y almacenamiento para poder jugar juegos basicos como Fortnite o Minecraft. La recomendaria para trabajos basicos y juego ligero. Hasta ahora no presenta falla."
1461,"Product arrived with a defective USB port.  Took a week to get a label to return it and had to provide my own boxes and had to pay to insure it out of my pocket.  Mind you, a brand-new product and I had to provide the box and insurance.  When I had warranty work done on my HP; they shipped me a box with padding in just a couple days and I downloaded a label immediately.  This ACER and support are very disappointing.  I dread to think how long I may have to wait to get it fixed and returned."
1462,With the s mode I was not able to install my printer also Google and Google app store you may want to think this over.serfing is good and is fast.
1463,"I love this laptop! It does what I need it to without adding upgrades (though I might do that so it runs more smoothly). Any Acer computer is amazing, I love this brand recommended to me by my brother who's bought from them for 10 years!"
1464,Over all I feel it is a great laptop for me.  My only  2 issues with it are cursor lag tracking at times and that it doesnt have a dvd drive.  My previous laptops did.
1465,Crashed after only 6 months. Nothing working to bring it back. Bought this for my son. Laggy for playing Minecraft and Roblox. Ok for Terraria but now it will not boot up at all. Caught in endless repair loop.
1466,"I think for 350-400 this laptop is probably one of the best you could find, especially considering it's size. I'm not sure how people are having trouble switching out of S mode, but I did it in literal seconds (for free, no clue how people are getting messages they have to pay) after I was able to access the desktop so that's a complete non-issue. It also looks a bit more expensive than it is which is cool I guess."
1467,"Had to get a new one because our other laptop finally died after 7 years. Didn’t want to spend a lot of money and would mostly be using it for just browsing the web, Zoom meetings, watching YouTube videos and mild gaming. So far it runs perfectly and smoothly. Must switch it out of S mode to get Zoom installed…"
1468,"I purchased this laptop to provide a great value at this price point.  It hasn't disappointed.  Very easy to upgrade the memory by 16GB to a total 20GB.  The 128GB NVMe SSD makes application loading very quick.  With most of my storage in the cloud, this is the perfect laptop for everyday business/personal use."
1469,"If you like using Chrome, then avoid Windows 11. It was engineered to force you to adopt Microsoft Edge. This and many other laptops are being built with Windows 11."
1470,"This laptop is useless and a waste of money.  It apparently was owned before with setup being impossible.  I’m not the sharpest knife in the drawer anymore, but I can still cut.  After weeks of trying, frustration, I’m giving up!!!!!!"
1471,"Bought this computer for development work. The main features I cared about were the SSD regardless of its relative low capacity, the 15.6 inch screen at 1080p, backlit keyboard, and ability to upgrade."
1472,"I purchased this product in hopes of being able to download and do what is normal on a laptop computer.  This laptop came in S MODE and it was impossible to get out of S MODE.  Asurion, Acer and Microsoft could not help in this matter.  What a disappointment.  DO NOT BUY!"
1473,"For what I do it’s perfect. Slim ,light and what a screen! I did my share of searching and shopping and you can’t get these features at this price anywhere except ACER"
1474,Everything was good about it especially for price but couldn't put a hdd in it to increase  storage because the connector inside was super cheap and broken on arrival so they sent me a replacement and that one had the same issue is your ok with the limited storage it's a fine computer could probably upgrade the ssd on it but was trying to increase storage cheaply with hdd but couldn't because the connectors wouldn't lock in
1475,Ryzen 3 speed is fine for browsing and light duty tasks. so far ok. Quality of screen and build quality is good. Would buy again.  *Upgraders:* only 1 open sodimm slot avail * Comes with HDD tray which is nice.
1476,"Just received computer Acer Aspire 5 A515-46-R3UB | 15.6"" Full HD IPS Display | AMD Ryzen 3 3350U Quad-Core Mobile Processor | 4GB DDR4 | 128GB NVMe and the mouse pad does not work, unable to set it up, amazon is replacing the computer."
1477,S mode makes it impossible to my email and most apps I have used forever. Disabling it affects security and performance according to Microsoft.  It seems more of a ploy for Microsoft to monopolize on my purchases. Otherwise the laptop is great
1478,We purchased 2 of these. One totally quit working. You can't even open in safe mode. It's useless to us. And now it's too late to send back. So we're paying for nothing....literally.
1479,"Great price, great product.  No glitches, no delays.  Screen has clear and clean color.  It moves rapidly from site to site.  I guess my only complaint would be the small keys.  I make a lot of typing errors.  This comp was my choice and I am adapting.  I have experienced no negatives so far at all.  I highly recommend it."
1480,"Difficult to open computer, nothing to hold or grip on top portion or lower portion of computer. I have it setting on a folding table and the gripper feet on bottom of computer do not grip the table surface, so computer slides away from you when you try and open it!"
1481,The Acer Aspire 15 has been a super great laptop. It's probably one of the best tech purchases I have ever made and I'm an IT guy. I paid about $350 USD for this one and am very happy with the purchase. The last time I was searching for a Laptop I returned 5 laptops before I was satisfied so I'm pretty picky. This was for my wife but I use it at night when I'm not in my office sometimes.
1482,"we bought this model instead of the similar model with intel processor after reading the review that although both models have a second ram slot for upgrading ram,  the model with intel process has the 4 gb ram soldered in, while this one with AMD processor has the 4gb ram replacerble. however, when we openned the back, it appears the 4gb RAM is soldered in because we only see one emplty ram slot (and didn't see another RAM that can be replaced."
1483,"This is the least expensive computer I've ever owned, and I am very pleased with its performance.  Probably this means that I've been buying more than I really need in a computer.  This bargain computer does email,  word processing, online purchasing, and video streaming very well.  No problems with the trackpad like I had with my most recent computer.  I am glad to have found this!"
1484,"Has large screen portable, with decent speed, storage and many external ports.  slightly heavy but have note pads if I want to be mobile. I really like having a lot of external ports so I don't have to unplug my mouse  to use other pieces of hardware which really aggravated me with note pads.  Can't hand zoom the screen, but screen is plenty big enough.  Battery life is fairly long, but cord is very long.  Storage is excellent and no problems with speed.  Operates windows 11.  I personally love the machine and glad to be back with a real computer."
