,Hardware Sentences,Hardware Polarity
1908,disappointed that it only supports microsoft apps.,Negative
1909,it also has an excellent trackpad.,Positive
1910,i love the way the keyboard feels and having the number pad is a plus.,Positive
1911,i like how the keyboard lights up whenever i push a button.,Neutral
1912,i need to get one for my husband...,Neutral
1913,"there are plenty of ports, including usb-a and usb-c, plus hdmi and ethernet. | the trackpad is a nice size and the keyboard has a good enough feel for typing.",Positive
1914,the backlit keyboard is a nice touch.,Positive
1915,"my only complaint is, the screen saver that came on it seems to be something another user would put?",Negative
1916,"i will not comment on this laptop's performance, but the keyboard's faint red letters drove me crazy and you cannot program brighter or different color letters to aid visibility.",Negative
1917,i picked this particular laptop for my new one because it is supposed to have a backlit keyboard. | i work at lot at night in poor light so a backlit keyboard would be a really good feature.,Positive
1918,the laptop have a responsive keyboard and a sturdy chasis. | the camera is not that great but it works so i do not mind.,Positive
1919,"one thing is there is nowhere to put an sd card in, that was surprising, but you can connect your device with a usb.",Positive
1920,"my existing system has an apple monitor, wi-fi keyboard and mouse, and a wd 3 tb external drive.",Neutral
1921,i bought a 23 inch acer monitor and turned the display down on the laptop and placed it on my sliding keyboard drawer.,Negative
1922,"the features of this computer is amazing between the 15 inch screen, the keyboard that lights up when typing , the number pad is not only on the side but, the top too and, the set up was done in 5 minutes maybe less w/ the help of corvanna that talks you through the set up process !!!",Positive
1923,came 2 days earlier then estimated.,Neutral
1924,"i noticed that when i am running multiple monitors (3 in my case: one hdmi, the laptop, and a usb monitor) that it does not play games as well.",Neutral
1925,"the screen quality is very good, the backlit keyboard is awesome.",Positive
1926,bought this strictly for my cameo 4 and thought it was bigger due to the pictures that were shown.,Negative
1927,i love the backlit keyboard.,Positive
1928,this does not have an integrated web cam. | it does not have camera.,Neutral
1929,"just over a year old....touch pad does not work, back light on the keyboard stopped working, very disappointed",Negative
1930,"i really enjoy this laptop, fan controls, the keyboard, the screen, everything is great.",Positive
1931,"it has custom options to change color, speed, and effects for the keyboard.",Neutral
1932,the keyboard is accurate and smooth. | apple has the best trackpads!,Positive
1933,"i now use a wireless mouse with usb support and the pad is still ""dead"" i would give it a 5 star easily for everything else, but this is so ridiculous.",Negative
1934,"i have not really used it for anything else it has three usb outlets enough for a nicer mouse, my card reader and my headset.",Negative
1935,no one lives in my home but my husband and i. i took it to a computer repair store.,Neutral
1936,"one of the best thing about the laptop is the connectivity, with nearly all ports aside from sd card. | with the lower gb ssd i got a 64 gb flash drive for files and with the usb 3.0 the write speed is quite up to par.",Positive
1937,"for the money the screen quality, keyboard feel, speed, and build quality are all great, but there are two flaws that keep me from giving a full 5 stars. | the keyboard backlight coupled with the silver keys make it difficult to see key letters in the day time. | the workaround is to turn the keyboard backlight off in the daylight but that is an annoyance.",Positive
1938,"fairly light for its size, high-quality, great screen, touch-pad and keyboard.",Positive
1939,"i thought this had a back-lit keyboard, but it did not. | i simply ordered a portable usb light for when it is needed.",Positive
1940,i have searched on the acer site and various other sites and reinstalled the the trackpad drivers.,Negative
1941,"full hd screen looks great and the backlit keyboard is something i never had on a laptop, nice.",Positive
1942,i have had it for less than a year and have had trouble with both the camera and speakers - constantly using the device manager to fix both.,Negative
1943,"apple has kept up with design quality, camera is top notch, but does not meet quality expectations overall.",Positive
1944,ordered used and it came in dirty with dust all over and gamer finger grease on the wasd from amazon warehouse.,Negative
1945,"i am impressed with the no-flex chassis, overall build quality, and by far this is the best keyboard of their chromebooks.",Positive
1946,served basic purposes well for about a year and a half and now the enter button and the touchpad do not work.,Negative
1947,"i just purchased this new acer aspire 5 a515-43-r19l laptop a couple days ago and it has an 'elan i2c 'touchpad in it that just does not behave like a normal touchpad should behave. | the touchpad cursor will suddenly stop moving, and then as long as i am still rubbing my finger around the cursor will never move again, no matter the pressure applied it remains in one place on the screen. | once i simply lift my finger up and place it back down on the touchpad again, initiating a new cursor session, the cursor will once again start moving.",Positive
1948,"i tried to reboot to see if that would fix the problem, and although the machine powered up, windows never came back.",Neutral
1949,no place for downloading picture cards had to purchase separate usb item to download photos from camera.,Neutral
1950,it works great and the color keyboard looks awesome!,Positive
1951,when it came i was so happy and the unboxing/setup was simple.,Positive
1952,the processor supports ddr4-2400 speeds.,Neutral
1953,"then i came across this (again, it is not a chromebook), and figured i would just install linux on it and use it for web browsing and connecting to various services on my home network.",Neutral
1954,screen & keyboard are fantastic.,Positive
1955,"backlit keyboard, ten key, huge display, light weight, and holds a charge very well.",Positive
1956,"the main features i cared about were the ssd regardless of its relative low capacity, the 15.6 inch screen at 1080p, backlit keyboard, and ability to upgrade.",Positive
1957,"speakers, a usb c for my dvd drive, usb for my ext. | keyboard & mouse and two other usb plugs and windows 11.",Negative
1958,"final straw was the touchpad suddenly stopped working - after an agonizing 2 hours on the phone, conclusion was a hardware problem, no choice but to return it.",Neutral
1959,"the one drawback, like others have said, is that the keyboard is very hard to read. | i bought a keyboard cover, problem solved.",Negative
1960,only had it for a month now and the keyboard started to malfunction and after so many attempts i power washed it bad idea! | only to have the keyboard continue to not work nor would the touch screen keyboard act right it kept typing letters on its own which prevents me from logging into google i cannot do anything with it.,Positive
1961,"nice fit and finish, like backlit keyboard, touch pad is bit too sensitive.",Positive
1962,"despite, being extra careful, it has worsened, such that the display and webcam no longer work now.",Negative
1963,"i also love the tactile feedback on the keyboard and the full mouse touchpad can be clicked, with is nice as well.",Positive
1964,the whole reason i bought this laptop was because it had a backlit keyboard.,Positive
1965,i always use the charger that came with it or a compatible hp charger so it is frustrating that the battery already gave out.,Negative
1966,"the lack of ports to connect other items to it is very disappointing. | with the price being what it is at least give us back the usb, hdmi, and more thunberbolts standard.",Negative
1967,"i saw it had a usb-c connection, one of the main factors of the purchase, but learned it does not have dp over usb-c capabilities.",Positive
1968,"the keyboard is spacious and easy to type on and the trackpad is large and works well. | the large bezels around the screen could definitely be smaller, and perhaps a lit keyboard.",Positive
1969,"love the display, the keyboard, back light. | what it lacks, it makes up for with all the ports it has, including ethernet, which i use for my network.",Positive
1970,"tech details show ""windows 10 home"" but it came with s mode.",Neutral
1971,"the keyboard has a nice feel- i really like that there is the additional number pad to the right, which makes working from home easier.",Positive
1972,i also very much like the backlit the keyboard.,Positive
1973,"one thing i knew i had to have this time was a lit keyboard. | and if you have looked like i have, i am sure you have found that lit keyboard laptops are not abundant or inexpensive. | the keys have a nice firm touch to them, beautiful screen, and the lit keyboard lived up to my expectation.",Positive
1974,"great laptop for the $, outstanding screen, backlit keyboard [a must for me] i looked snd read many reviews till i found this laptop $316.00 us or [503$ cdn $ to my door], fast to, slim and light, alm. | top cover, comfortable keyboard, accer has hit the mark here, ive had laptops costing 600$ 700$ not as good, does everything well, not suitable for serious gamers, and battery life is appx.",Positive
1975,"pretty happy with the acer predator triton 500, but really hate the keyboard light show at startup.",Positive
1976,"this unit is fast, keyboard is easy to use, screen is great, battery lasts all day, pretty light for carrying, includes hdmi out port, and it does everything i need it to do for 1/6 the price.",Positive
1977,i was looking for a new laptop for my husband and a chromebook was recommend by one of our daughters and a grandson. | my husband absolutely loves it!,Positive
1978,"keyboard did not work, could not even set it up, tried to contact customer service, told it was down for two weeks, found the question on faq, it was pretty worrisome that this is a frequent problem, the fact that there were several solutions that were way beyond my technical abilities was also an issue, but the biggest issue was that the computer had to be set up for me to complete any of them",Positive
1979,when delivered the amazon box was fine but the acer box the laptop came in was damaged.,Positive
1980,"this laptop would not detect my external display connected through the usb port, which works fine with my other hp laptop. | also, the keyboard letters are hard to see - same color as keys. | the insert function came on, but there is no key to turn it off.",Negative
1981,"great laptop for the price, lighted keyboard is a big plus",Positive
1982,"do not be afraid of the pricepoint - the display, the keyboard, and the touchscreen are all worth the price.",Negative
1983,we loved this thing until 18 mos in and the touchpad does not work.,Positive
1984,backlit keyboard.,Neutral
1985,"speakers, keyboard and (non-touchscreen) display are all great improvements over her old lenovo.",Positive
1986,"the keyboard does not stay lit, but i figure that is to conserve battery life so i am okay with that. | the keys are lifted a bit which i (as a gamer who loves their mechanical keyboard) appreciate.",Positive
1987,the luminous keyboard is a fancy gimmick which actually does help in a dark environment and the auto-dim feature is very useful when watching a video.,Positive
1988,i have ordered a 4 gb memory module to bring ram up to 8 gigs and i bought a mouse as i prefer that over using the touchpad.,Neutral
1989,now (6 months after purchase) touchpad mouse stopped working. | 10 months after purchase - keyboard backlight stopped working.,Neutral
1990,"however, the quality of display, keyboard and trackpad is not that great, but you will only notice it when you would have used a flag ship laptop (like surface book/macbook/hp spectre, dell xp etc).",Positive
1991,this is scam software by microsoft to force you to use only microsoft apps from their deserted island wasteland of an app store.,Neutral
1992,"another great feature is that there are not any buttons on the sides of the laptop so you cannot bump them and turn it on when you are trying to slide it into a bag, everything is on the keyboard, and the keys on the keyboard are standard size. | this is great for the times my husband uses it because he has beefy fingers. | it has a usb c, 2 standard usb, and 1 hdmi port which i find is perfect for my needs.",Positive
1993,"the color is very beautiful, it came with all the pieces it was supposed to, and it helped you set it up in the beginning.",Positive
1994,bought this for a friend's daughter and the look on her face when i opened the box and she saw the silver finish of the laptopcoupled with the bright backlight keyboard that glanced back at her as i opened the lid was priceless.,Positive
1995,the keyboard is an upgrade from past generations and allows quick response time and accuracy with a light up keyboard suitable for night time use.,Positive
1996,"good laptop, easy to remove type s configuration, nice screen but keyboard backlite keys are almost worthless, not near enough brightness and letters are small but keys have a good feel.",Positive
1997,"2 stars since it died so fast but not 1 star because when it was working it definitely worked, not 3 stars since it had some drawbacks like the keyboard (for those that care it is all a single color, not per key), the video outputs, the 2.5in drive bay that was not and the graphics wattage ""misprint"".",Positive
1998,i love the screen size and that the keyboard lights up.,Positive
1999,"having used many different chromebooks, this one has a lot of ports, which is great to have. | but the screen quality is so-so and the trackpad is nice.",Positive
2000,the camera is not all that great but for a child for school its fine. | they storage is also limited so make sure you have a sd card or usb backup.,Positive
2001,the touchpad did not work new out of the box.,Positive
2002,"this laptop is a steal for the price asked, backlit keyboard is very nice and bright, the image in the screen is very crispy, it is perfect.",Positive
2003,lit keyboard...stays lit for maybe 15 seconds.....interesting feature and wished it stayed lit all the time. | needs at least 1 more usb 2.0 or 3.0 port.,Positive
2004,"if you want a laptop that has some high-end features such as thunderbolt 4 ports, get an xps.",Neutral
2005,the keyboard is hard to see...is the same color of silver with no white on letters or numbers ..,Negative
2006,"if there is one thing that i do not like about it, it is the lack of ports - just has one usb-c on the side and a microsd slot almost hidden in the back. | adding the keyboard cover, stylus (a knock-off), and a bt mouse, completes the travel ensemble.",Negative
2007,"dell inspiron has a beautiful 15+"" display & was exactly what i needed: spill proof keyboard, fast processor, great basic storage & functionality (i am not an it pro).",Positive
2008,"the keyboard is nice, screen is great, mouse pad ok, decent battery life, and it has most inputs/outputs you might need.",Positive
2009,"keyboard, easy to see in dark areas.",Positive
2010,it even has a backlit keyboard!,Neutral
2011,the keyboard and touchpad are very comfortable to use.,Positive
2012,i looked at cpu and gpu performance separately and came to the conclusion this was the most cost efficient.,Positive
2013,"love the backlit keyboard and 15"" screen.",Positive
2014,the backlit keyboard is nice.,Positive
2015,the keyboard backlight and the numbers on the side are great.,Positive
2016,came in great and fresh with everything clean!,Positive
2017,the trackpad on my unit was not even level in the computer.,Neutral
2018,"i searched the internet, all different websites, did lots of research and i came across this one. | i love it, everything about it, for one the screen quality is beautiful and it has a backlit keyboard. | i got it recently and it came in 8 days.",Positive
2019,"terrible keyboard not useful unless outside illumination, android did not work properly and the screen would not re-orient when laptop was turned over",Negative
2020,i dislike the fact i cannot down load my pictures from my card in my camera.,Negative
2021,it is also a great tool (with a usb to ethernet adapter) in the field when i need to program equipmet.,Positive
2022,"the only thing i am not completely happy with is the keyboard. | comparing it to the keyboard on my old alienware 17-r3, this new one is not as good. | of course, the fact that alienware keyboard was full sized without the chicklet style gaps between the keys probably influences my opinion. | i did not feel that the keyboard issues warranted rating it down to a four so i gave it a five.",Positive
2023,it refuses to turn on and the real kicker is that the camera does not work either!,Positive
2024,you can barely see them standing straight overtop the keyboard.,Positive
2025,"this laptop came perfect, no keys missing and no blue screen. | it does have a camera.",Positive
2026,the stickers by the keyboard come off very easily if you want to take them off.,Positive
2027,"no sd card, no dvd player - just a bunch of usb ports.",Neutral
2028,"my hearing is not all that good, but at least it has sound, even though it is very weak and it is pretty loud with an external speaker that i stole from my husband. | it is quick and i love the backlit keyboard, which is rare to find at this price point and a feature i wanted.",Positive
2029,the touchscreen keyboard sometimes will just delete text on its own ..... that is the only thing ive noticed so far,Positive
2030,"i bought this laptop for work and when it came in, the volume buttons didnt work, the brightness buttons didnt work, i couldnt acess the settings panel through the windows tab. | i couldnt even change the rbg lights on the keyboard which are are supposed to be able to with a real one.",Positive
2031,i like the backlit keyboard except that i cannot locate the settings for it.,Neutral
2032,the new one i got i had for about 4/5 months now works perfect really nice screen resolution love the light up keyboard speakers work nice just keep it in safe mode if you want to do other stuff jus get a desktop top yk but if you are looking at a laptop go for this one trust me,Positive
2033,i have used it for my virtual doctors visits and visiting with friends online and the built-in cam and mic work great.,Positive
2034,reset the tiny batterie button on the back and it came back on.,Neutral
2035,"one thing, the keyboard is larger and i do not think it is set up for typing by using home row keys because the keys are further apart.",Neutral
2036,the lighted keyboard is great for working in a dark room.,Positive
2037,"it is the most powerful piece of tech i own, it is beautiful with its black and red design and (although a bit annoying) very beautiful keyboard.",Positive
2038,"it is fast, has excellent graphics and ample usb ports including two high speed ucb-c ports.",Positive
2039,"it has a nice keyboard, and excellent touchpad, and some decent guts that let you do everything from office productivity to some android gaming.",Positive
2040,no back light on the keyboard though.,Positive
2041,the keyboard is just beautiful with its led array and different presets so the colors just dance as you use it or you can make your own pattern with the installed software. | the touchpad feels really smooth and you finger just glides on it and the tap to click is very responsive unlike other touchpad’s i have used in the past.,Positive
2042,nice screen with a few extras like the finger print scanner and backlit keyboard is great but it runs hot.,Positive
2043,"there is no front-camera, so it is been difficult for him to upload his work.",Negative
2044,the keyboard is very comfortable and backlit.,Positive
2045,i was scammed into getting this item. | the item listing is a scam.,Neutral
2046,"the keyboard is quite interesting, as it occasionally changes colors, displaying the magnificent colors of the rainbow.",Positive
2047,i prefer using a mouse and keyboard so it is not a problem for me.,Neutral
2048,it came with windows 11!!!,Neutral
2049,it came quickly but damaged.,Positive
2050,"compared to other computers i looked at in this price range, the 1080p screen, backlit keyboard, and 128gb solid state hard drive really make this a stand out.",Negative
2051,"it is speedy, the screen is bright and sharp and the keyboard and touchpad are responsive.",Positive
2052,nice lit up keyboard.,Positive
2053,it runs my graphic software perfectly and i love the backlit keyboard as i work at night alit,Positive
2054,"it features a very nice crisp ips 1080p screen, has a slightly glossy screen, full size keyboard, is lightweight, thin, and fast --- and comes with a backlit keyboard.",Positive
2055,"also when a i received the laptop, there was gap between the bottom of the laptop and the keyboard, as if it was pried apart at one time or another.",Neutral
2056,"i am slowly getting use to google chrome, but like the touchscreen and options of different positions from tablet to keyboard.",Negative
2057,"like most windows laptops, it came with a ton of annoying preinstalled programs and services.",Negative
2058,"ergonomically, this machine rivals the top of the line for the layout of its keyboard and mouse control.",Positive
2059,"love this tablet, nice size screen, keyboard is nice and battery life is perfect.",Positive
2060,great valve for the dollar for a back-lit keyboard laptop.,Positive
2061,the only thing i dislike about this laptop is the trackpad.,Neutral
2062,"if you need and use a number pad on the keyboard, note that the number pad on this keyboard is sort of scrunched up (smaller) than normal. | nice touch for the money in that screen is full hd (1080) and keyboard is back lit.",Positive
2063,"the internet is really slow, and the one touch trackpad is really confusing. | the screen is nice and the keyboard, i prefer to my macbook pro.",Positive
2064,unfortunately i cannot get the camera to work what so ever.,Negative
2065,"our current setup uses two mevo start cameras on ndi going to obs. | no difficulties working with obs and various video sources (combinations of ndi streams, hdmi capture, and usb).",Neutral
2066,i love the fact the keyboard even lights up.,Positive
2067,"or the top of the keyboard got really hot since it was made of some type of metal. | of course i used the msi app thing to mess with the fan speed; having the fan lowered made the keyboard really hot. | but to have the keyboard cooled, the fan has to be loud...but overall, it is a really good work/business laptop.",Positive
2068,have to purchase an extra adapter for additional usb ports.,Neutral
2069,"love the backlit keyboard as i sit and surf and type in the dark. | the amd ryzen chip seems faster than my previous low end intel pentium, so i am very happy with the speed (depends on your internet speed too you know)...i like the keyboard and mouse feel as well.",Positive
2070,camera and microphone did not work.,Neutral
2071,"i have owned several chrome books and this came so close to being perfect for my needs. | i would love to see one more usb port, regardless of speed added to the opposite side. | i think adding a usb c port to charge from the other side would make this versatile.",Positive
2072,this laptop came in s mode and it was impossible to get out of s mode.,Negative
2073,"however, when this came up on prime day as a flash sale for prime members, i threw caution to the wind and recklessly spent my hard earned money on something that inflation had not yet seem to hit!",Negative
2074,"upon receiving the laptop, the boot speeds were extremely fast, the applications were all very responsive, and the screen/ keyboard were very representable!",Positive
2075,you can upgrade as well because it came with the attachments for upgrading the ram,Neutral
2076,"there are 2 cons that you may want to keep in mind: the sound and camera quality are not the best...maybe even ""terrible""? | i do not have to have the best camera quality and i use a speaker or headphones for the sound, so it does not bother me so much.",Positive
2077,i like the definition of the screen and the backlit keyboard.,Neutral
2078,i thought this laptop was touch screen.. it is not..i need touchscreen for my husband who has parkinson’s,Neutral
2079,the 2nd issue is that this laptop only supports nvme ssd drives.,Neutral
2080,"i love the keyboard lighting up when typing, it helps when i am in bed working on things.",Positive
2081,"i have bought earlier versions a couple times and i like it, but there are some keyboard layout issues you might want to consider. | also, the keyboard light times out pretty fast and the onky option to fix it is to go into the bios and turn off the keyboard light timeout – which is not hard but may be daunting for many users. | here is my quick tutorial: 1) restart computer, 2) when screen goes blank start spamming f2 button including during acer logo screen and the bios interface will load, 3) use right arrow to get to next page pf bios and look for ""keyboard light timeout"" which will be set to ""enabled"", 4) use down arrow to highlight that line and f6 to change it, then f10 to save and exit and confirm with ""enter"" key.",Positive
2082,my chromebook arrived and everything seemed wonderful until i tried to open the camera function and it did not work at all. | this chrome book has a built in camera so i found it extremely strange that a “camera could not be found” and that it did not work at all.,Positive
2083,for all those saying that the keyboard is not bright enough... it is adjustable.,Negative
2084,"great laptop with easy set up, fast processor and responsive keyboard.",Positive
2085,"bought last may and i have been having problems with the touchpad the last few months, the mouse moves up and down.",Negative
2086,"the display is excellent , the touchpad is very responsive and i love the backlit keyboard. | i had originally purchased an hp chromebook but found the display had little or no contrast and there was no backlit keyboard. | i tend to be up very early in the morning and could not see the keyboard on the hp.",Positive
2087,"laptop came in its original box well protected and with no broken parts. | keyboard experience is fantastic and it is backlit. | it has the camera protection cover, finger print scanner good.",Positive
2088,"within two weeks of use, the down key came off.",Negative
2089,my husbands birthday gift.,Neutral
2090,"i love this laptop so much, i bought one for my husband.",Positive
2091,"it setup immediately and even recognized his usb dock which allowed him to connect wireless mouse, keyboard and speakers.",Neutral
2092,"the lit keyboard is worth mentioning; it will stay lit for up to 30 seconds then goes dark. | the msi stealth laptops with the rainbow keyboards are far better, all other things being equal.",Positive
2093,after i finished set up i went to online webcam test and audio test and everything works great.,Positive
2094,i had it less than a month and the touchpad stopped working.,Negative
2095,my son came from a sandy bridge laptop with intel integrated video.,Neutral
2096,pretty fast and the backlit keyboard and ten key mean i can work late into the eve if i want.,Negative
2097,this came with windows 10 but i was able to upgrade to windows 11 for free after enough system updates.,Positive
2098,love the keyboard back lighting and have no complaints.,Positive
2099,the keyboard is comfortable to type on and as a bonus still includes a full numpad even if it is a bit cramped.,Positive
2100,my laptop came defected it would freeze out of no where also a low power 85 watt 3070 is not for me i got a return and purchased a 3080 130 watt gpu,Neutral
2101,"everything about this laptop is great, except the fact that the backlit keyboard will not stay lit. | it times out after a few seconds until you hit a key on the keyboard which you cant see because it not lit up.",Positive
2102,the keyboard feels nice.,Positive
2103,came with charger. | 3 usb ports and hdmi port!,Neutral
2104,"also, from time to time, the touchpad goes wacky, and the cursor moves all around the screen.",Positive
2105,so i got this item which was not working and had the camera going crazy with green lines all around.,Negative
2106,"it was perfect for a while, but it is only a year old, used for school work and private use( no excessive stress) and it turns off randomly and the keyboard is fritzing on the letter d.",Positive
2107,it is sleek and light and the backlit keyboard is nice.,Positive
2108,illuminated keyboard.,Neutral
2109,it is just that i am not used to the positions of the keys on thr keyboard.,Neutral
2110,the lighted keyboard is a plus!,Neutral
2111,the keys are labeled in silver with the overall keyboard also in silver.,Neutral
2112,the touchpad and cursor stopped working after only 5 months.,Neutral
2113,"i was looking at another competitive product but the ports were lacking compared to this, it had the last generation amd zen2 cpu, onboard amd graphics, smaller less bright lower refresh screen, and was about $200 cheaper.",Positive
2114,also the backlight keyboard is a plus and the bluetooth is super helpful,Positive
2115,i have been wanting this laptop since it came out.,Neutral
2116,this one only supports one.,Neutral
2117,"poor quality - keeps powering off by itself even when fully charged, sometimes the camera does not work, sometimes the keyboard does not work.",Negative
2118,"love the light up keyboard. | i would say the only problem is the touchpad, which is still good, but not great.",Positive
2119,"this chromebook is unbelievably good in many aspects - screen quality, ease to use, 360 deg rotation, keyboard, screen size, touch screen till the time you discover that bluetooth connection is shockingly bad, you simply cant listen to music or watch videos, movies or any content through bluetooth.",Positive
2120,"i chose to return it instead and buy the hp, with awesome speakers and a good keyboard.",Positive
2121,and the keyboard does not light up but that is ok.,Positive
2122,lit keyboard is the best!,Positive
2123,"difficult to adjust to touchpad without touchscreen after using ipad., but not happy with apple after years of windows - realized i missed pc features and chose this model based on amazon review. | very happy after purchasing mouse; then easy to adjust back from tablet to lit keyboard with nice touch.",Positive
2124,"i do not know how i came to believe that but, in the case of this acer spin 13, i could not have been more incorrect.",Positive
2125,"the keys on the keyboard are spaced further apart than i am used to, but it is manageable.",Neutral
2126,it does everything that i need it to and the keyboard/trackpad are pretty good.,Positive
2127,"my one real complaint is that the mouse touchpad is awkwardly positioned and configured, which can slow me down while i am trying to switch between applications.",Negative
2128,"i did have a couple issues where the keyboard had stopped working, but then started again.",Neutral
2129,"i like the full keyboard, but if you check the system you will find out it is actually not a touchscreen laptop.",Positive
2130,"the keyboard is my absolute favorite part, and i am used to my mechanical keyboard for my tower.",Positive
2131,"it is fast, the screen is true hd (1920 x 1080), very light for a 15 inch laptop, has a great trackpad, and good keyboard.",Positive
2132,it came with a user and a password and when i connected it to wifi it was locked by the user.,Neutral
2133,from the slim design to the rgb keyboard this laptop is not only a powerhouse but also a looker!,Neutral
2134,"we have also tried tablets , but without a decent physical keyboard, found them lacking.",Positive
2135,"after researching gaming laptops for weeks, it came down to specs and this laptop beat all others, and for the price it was the clear choice.",Negative
2136,my son came from a sandy bridge laptop with intel integrated video.,Neutral
2137,i love the backlit keyboard.,Positive
2138,like the laptop but the trackpad came out to be defective and amazon is not ready to replace this item for the lower price which i had bought during the prime deal.,Negative
2139,so i am sure this chromebook has a lot more options that i will later explore such as the web cam. | the keyboard is as easy to use as a desk top.,Positive
2140,keyboard is awesome!!!,Positive
2141,"the one thing that i am disappointed in is the keyboard. | as it is, the letters are hard to see on the keyboard.",Negative
2142,i got this computer because i wanted an affordable pc after years of macs and hating their keyboard.,Neutral
2143,"came with an invalid windows product key, was not able to get laptop out of s-mode.",Negative
2144,(i used the 128gb it came with for virtual machines) i never actually let it boot into windows (thankfully!),Neutral
2145,"however, note that the c4 has a usb-c charging port, not the usual ports in previous models. | also, just one usb port.",Negative
2146,"this laptop is fast, the keyboard is comfortable to use, and i am just really impressed.",Positive
2147,"clarity of the screen and improved speed were offset, for me, with a lack of a usb port, no dvd port, and still no compatibility with some apps that i would use.",Neutral
2148,"it is a pretty light laptop, and the keyboard is great, specially for writing papers or work (it has similar feel to a macbook's scissor keys). | trackpad is responsive and has a left/right click. | camera is alright, but most laptop cameras are the same.",Positive
2149,"i have no idea why they designed this thing with an offset trackpad, but it contributes to multiple clicks because the ""left click"" area of the pad is now juuuuuust out of reach, to the point i have to be cognizant of where my hand is every god damn time and it just breaks any kind of flow.",Positive
2150,i especially appreciate the backlit keyboard which my prior budget laptops did not have.,Neutral
2151,as many reviews mention the trackpad is glitchy.,Positive
2152,additional ram slot and came with the parts to add in the additional hard drive ( i did an ssd for faster speeds.),Negative
2153,"i do not totally love typing on the keyboard, but i normally use an external keyboard anyway so that is not a bother. | backlit keyboard is a must have, and often does not come with models twice the cost.",Negative
2154,when i installed my husband's mouse it started working correctly.,Neutral
2155,description lead me to believe the usb 3.2 gen 2 type-c (displayport) was actually a display port.,Neutral
2156,"amazing machine, nvidia gtx3070 (85w power envelope), intel cpu i7 11800h, great screen hd 144 hz and enough ports to add peripherals.",Positive
2157,the first one the camera went bad. | this one the power/usbc went bad less than a year in to owning it.,Negative
2158,added 8mb from the install 4. would have rated a 5 if it came with 8 mb of ram.,Neutral
2159,"everything came as advertised, and i could not be happier. | was not filled with a ton of ad ware and useless crap, light rts gaming is great and daily work and reports are a breeze.",Negative
2160,"the third laptop was purchased on her account, this is where the second laptop without an operating system came from.",Neutral
2161,"i did not need anything fancy, bought my non techy husband one, and liked it so much i bought one for myself.",Positive
2162,loved the ability to type stuff in with a keyboard and at the same time use touch screen functions and liked the feel and clean look of the device.,Positive
2163,but i like the back light on the keyboard.,Positive
2164,"great price, nice large screen size , light weight, good keyboard tactile action. | the built-in ethernet plug is a bit weird so you may want to get a usb-ethernet plug.",Negative
2165,"touchpad works well, and screen size very good.",Positive
2166,the keyboard feels nice but it does not really feel as good as the laptop i had previously.,Positive
2167,extra nice if it came with a hard drive windows even if cost was a bit higher,Positive
2168,it does not meet the specs it claims to and i think it is a scam.,Neutral
2169,mine came with a screen panel issue.,Neutral
2170,came across this little gem with budget pricing and good reviews.,Positive
2171,"i have noticed some people are complaining about usb ports. | it is all usb c ports. | hdmi is great to use a monitor, free's up a usb c port for other devices! | the sdhc ports are also available, and absolutely necessary for the everyday photographer, videographers. | that do not use a c fast memory card (which most computers you will need an adapter anyways, but anyone that used normal sd chips for their camera's, it is a great to use! | my last windows computer did not have one, and i absolutely needed it, (it is all i could get at that time and luckily i had a usb adapter) and really no cons.",Positive
2172,it was easy to set up; the system comes up fast; the keyboard is finger-friendly; and the personalization is also user-friendly.,Positive
2173,"replacing or upgrading the ssd drive is an option, but it is just easier to use a portable drive of your choice, had no problems with a 500gb samsung via the usb c port.",Neutral
2174,this came to me fast and beautiful.,Positive
2175,it supports all of the programs i needed to download for school.,Neutral
2176,"speakers, keyboard and (non-touchscreen) display are all great improvements over her old lenovo.",Positive
2177,i compared the camera to my hp laptop and there was a big difference in quality.,Neutral
2178,"the keyboard does not light up, which i assumed all laptops did- so that is my bad.",Negative
2179,keyboard lights up as stated when you type.,Neutral
2180,"it is a fast and good looking laptop, it has features that you will not expect for $450; a fingerprint reader, wi-fi 6 and bluetooth 5.0. they never mentioned this, but it even supports amd freesync!",Positive
2181,"it is a pretty light laptop, and the keyboard is great, specially for writing papers or work (it has similar feel to a macbook's scissor keys). | trackpad is responsive and has a left/right click. | camera is alright, but most laptop cameras are the same.",Positive
2182,when used as a tablet there is a mechanism that turns off the keyboard so you do not have to worry about accidentally pressing a key.,Neutral
2183,on the keyboard laptop position you can touch screen to access most things.,Positive
2184,"the screen is beautiful, keyboard is easy to use, battery lasts a good while, it is light , it is portable and it is quite thin.",Positive
2185,"i wish the built-in management software had more configurable options for the keyboard backlight, but it does have lots of other things you can tweak that other management software like hp's currently does not like customize your boot-up image and fan speeds.",Positive
2186,i also love the backlit keyboard.,Positive
2187,"keyboard close to desk top style. | lighted keyboard, good looking.",Positive
2188,"plus, the changing-cool keyboard is cool!",Positive
2189,"i have owned several chrome books in the past 5 years, and can say that none came close to this in term of features and versatility.",Negative
2190,"i had some problems playing any games at first as the drivers were not up to date, but when that was finished, it became possible to load them without crashing.",Positive
2191,"im really liking the back lit keyboard as well, it has a nice feel and the travel of the keys is just right.",Positive
2192,"looooong bettery life, vert fast, great screen, amazing keyboard and fantastic mac os",Positive
2193,"reports of doa were indeed true, i charged the battery for 12 hours, computer was still lifeless.",Positive
