,Software Sentences,Software Polarity
2177,there is no hdd just a ssd storage which has your os on it.,Neutral
2178,rent a flat in europe and saw mostly acer laptops in homes and businesses.,Positive
2179,"by far, after al most 3 months of use is working well, the battery does not last as much as it says buy is fine, 3 to 4 hours the moust!",Positive
2180,i cannot find anything else on the market that even comes close.,Neutral
2181,but the charger is very flimsy and loose.,Positive
2182,"if those 2 flaws were fixed, i would give it a 5.",Positive
2183,she can watch videos on this with no problem.,Neutral
2184,"overall, the laptop has some pros and cons. | for the pros, the display is very nice, it is comfortable to use and easy to get used to, and can handle some light work and the occasional game of minecraft.",Positive
2185,it is okay but honestly you can find them for about 100 bucks less on ebay most times. | but it is still a decent deal for most else in it is price class otherwise. | most everything else for this price level has trash screens.,Positive
2186,i have been using this computer for school and it has served its purpose well.,Neutral
2187,"no way in hell those specs cost 1k dollars, big scam whoever buys it",Neutral
2188,i just needed to remove s mode and some softwares and then that made the laptop is perfect,Positive
2189,this chrome os is truly undeniably fast and quick to start up.,Positive
2190,been looking at review videos for about a month.,Neutral
2191,i have only rarely closed it and only adjusted the screen occasionally for better viewing. | i have now discovered that the hinge on that side is completely frozen and torn loose from it is plastic mounting.,Positive
2192,maybe i opened and closed it to much but this labtop lasted me around nine month and my two year plan with asurion speaks that nothing can be done.,Positive
2193,so this is an affordable laptop for those who need to work from home or online classes.,Neutral
2194,"all the google apps that i always love come standard on every chromebook, which means i can edit, download, and convert microsoft office files in google docs, sheets and slides.",Positive
2195,"attempted this using the microsoft store as instructed and got an error message. | searching and doing all the updates, reseting the microsoft store. | i suggest that unless you want to be completely locked in to microsoft apps - do not buy this laptop.",Positive
2196,"volumn is very bad, can hardly hear most video's, no headphone jack which might have help being able to hear the video's.",Negative
2197,avoid purchasing or be willing to never close the laptop.,Positive
2198,i only use a laptop for writing and for watching youtube videos.,Neutral
2199,"it is good for web browsing, watching videos, etc.",Positive
2200,i find myself having to put my face very close to the computer to hear a lot of things. | other than those issues... it is decent.,Positive
2201,"great budget laptop, the lenovo build in app updated all the needed drivers, including the bios on the first start.",Positive
2202,so now have a dead laptop and have to ship (at my own cost) back to a repair center.,Positive
2203,"this computer is not touch sensitive, it has a million different confusing elements to it and i am just basically thanking god that my employer is going install company software on it, which i will run through them. | i never ever thought there would be that much difference in an os or macbook system compared with this.",Positive
2204,"other than that, this laptop is almost flawless.",Positive
2205,"i came across this deal and was absolutely blown away at the price for what you are getting with this machine, and yes i mean machine.",Negative
2206,that is basically all two purposes i bought this laptop.,Neutral
2207,"the display is supposed to be 1080x1920, but everything on the screen appears pixelated. | it is difficult to explain but i end up with a lot of mis clicks and accidentally closing tabs i did not intend to.",Negative
2208,"i have always been a fan of the smaller 12"" and 13"" macbook pros and this is the best version yet.",Positive
2209,"i like the laptop it is fast it boots quickly, but as you can see from the photo it is almost impossible to read the keys which makes it almost unusable for me.",Negative
2210,we are 2 days after we have got the computer working and it says the software is out of date. | it does come with a year of windows 365 so that is the only positive thing but it is useless if the computer is showing you parts of its set up sentences and after two days that sum up to 5 hours of use it already has to reset to automatically fix its problems.,Negative
2211,"i can put it in sleep mode and it will stop, but when i turn it back on - you know, actually use the computer like i am supposed to be able to do - the fan comes back on.",Positive
2212,"i will go straight to the point here, at the retail price of $350 you are mostly getting a nice display. | the rest is probably going to be unacceptable to anyone looking for a decent level of performance to do...well mostly anything. | word processing, spreadsheets, internet browsing, and youtube videos/tv streaming are what this laptop is mainly geared for. | the only way you are really going to open up the possibilities for this laptop is to, as other reviews suggest, get out of windows s mode, and invest in adding more ram and installing a second 2.5"" ssd. | all of these things can be done fairly easily by most people and acer even has videos online that show you how to handle the hardware part. | i ended up spending an additional $120 for 2 sticks of 8 gb ram and a 1tb ssd so my total cost (after black friday deal) was just under $380.",Positive
2213,"i have always had good service from all hp laptops, however with this one there was an issue with windows 11 os that hp could not address and would need to pay microsoft to fix , new laptops need to work this one did not , back it went . | the issue was the file explorer would crash , no fixes that worked , no update to fix it , corupted os files who knows , it did not work",Positive
2214,all our programs are cloud hosted so we did not need anything super powerful. | this laptop is actually overkill for accessing our web based program and microsoft 365 but we bought these for longevity over any i3.,Positive
2215,"not very happy with microsoft 11. i liked the last one i had-acer, but it was 10 and easy to use.",Positive
2216,"if you like using chrome, then avoid windows 11. it was engineered to force you to adopt microsoft edge.",Neutral
2217,"i genuinely have no complaints about this laptop, but i will try to list some ""negatives"" for those who want to hear whatever bad news is available before deciding on their purchase.",Positive
2218,"i thought it would be nice buy a fifth acer laptop, after reading all the positive reviews on this one.",Positive
2219,i am going to dispose it and amazon is going to refund me.,Neutral
2220,"after much research, i got this laptop to replace a 12-year-old toshiba. | this does not have a touchscreen, nor does it convert to a tablet - and i did not need or want either of those features. | i connect it to a large standalone monitor most of the time, but it is great to take out on the deck to work when i need to.",Positive
2221,"i did have a need for three usb ports for my application, so this was important in me choosing this particular model. | this is a higher speed port, which is why i think the version i received is a newer version, so might be a good thing for most, but in my case, that difference meant i had to buy an additional $9 cable to convert the usb c to usb a.",Positive
2222,"honestly the worst thing i can come up with is the os. | win 11 is a learning curve, but similar enough to prior os's that it functional.",Neutral
2223,"so when you take pictures with your android phone and upload them to google photos you can access them on this or any pc, with any browser by signing into your google account.",Neutral
2224,"after several months it started constantly loosing wifi adapter, tried to update software it did not help.",Neutral
2225,what took 10 minutes on my dell is done in a nanosecond on my mac pro.,Neutral
2226,"the screen on this thing is by far the most impressive feature, i was really surprised at how well it looked and how crisp it was. | sure you can get particular about nits and brightness but using this indoors like most people you will be fine. | it seems like a ridiculous cost cutting feature that the bean counters in corporate came up with.",Positive
2227,"i saw this computer as highly rated and under $500, i decided for a third of the cost of a macbook i would purchase this.",Positive
2228,i saw some negative comments about windows s being a trap or worse and there is only one thing for you to know: anyone who is willing to spend 10 seconds to search the internet for information on how to switch your windows s version to a normal windows version will see that there is free app in the microsoft store that does that with a few clicks.,Negative
2229,"i purchased based on description and received a cheaper, lesser brand with the wrong operating system.",Negative
2230,"the keyboard is smooth to type, screen resolution is awesome, microsoft has done a good job in setting this system up to help users get what tools you need to get the most out of this system.",Positive
2231,the screen is sharp for streaming movies and videos in 1080p!,Negative
2232,also lost connectivity to the usb ports.,Neutral
2233,"temperatures go above 90 degrees, but it can be fixed by undervolting the battery a little without loosing performance.",Negative
2234,"by creating a primary account and a supervised account, the chromebook serves both purposes.",Positive
2235,most times does not turn on.,Positive
2236,"this machine is pre installed with windows 10 s - if you want to use any software not available on microsoft store - say a data management software for medical diagnostic machines - you have to switch out of s mode or buy professional. | ok the problem is microsoft store keeps locking up and generating an error on this machine. | tested over multiple days multiple times - not internet issue as i have a gig upload and download, may be microsoft issue but this pos is locked ""literally"" into a hampered version of an already crappy os.",Positive
2237,"besides a good battery life, nothing about this device warrants a positive review.",Positive
2238,this is the best laptop i have ever owned and the most expensive one as well.,Positive
2239,you may want to possess a portable harddrive or later purchase one for the laptop.,Neutral
2240,"my guess is that earlier models did in fact have two ram slots, but since amazon mixes models together on the same product page, it can be impossible to know exactly which model someone is talking about. | i am not a computer expert by any means, but i am a software developer and i have built my own pc from motherboard up, so i know what a ram slot looks like.",Positive
2241,"the screen on this thing is by far the most impressive feature, i was really surprised at how well it looked and how crisp it was. | sure you can get particular about nits and brightness but using this indoors like most people you will be fine. | it seems like a ridiculous cost cutting feature that the bean counters in corporate came up with.",Positive
2242,"however i realized that in fixing it, i lost the battery icon and had no way to know how much battery i had left. | once we completed that call, the original problem of the screen dimming was back, so i called a third time and finally got a fix (had to go into the bios again).",Positive
2243,"they will pay for shipping both ways to investigate the issue but if not covered, will cost $239 to repair.... the unit has never been dropped and only used by one adult.",Positive
2244,"the sound from the speakers is not that great, but i mostly use it with headphones anyways.",Positive
2245,"while powerful for the price and mostly well-built, even with cooling boost, cooling pad, and idle, the cpu would sit at 75 degrees or above.",Positive
2246,did not have a microsoft account so took a little time in setting it up.,Negative
2247,"first of all, i did not want to spend too much money on a laptop since i am basic user and i use it a lot for my business purposes and browsing and watching videos.",Positive
2248,"i did have to turn off the ""s"" feature of the operating system as my work program did not work with it.",Neutral
2249,"this laptop was at the top of my list as far as cost and processing speed, but there seem to be a lot more things to be irritated about than excited about.",Positive
2250,as i write this i am on the phone with microsoft attempting to get multiple issues resolved.,Neutral
2251,mostly used for bill pay and powerpoint presentations for church.,Positive
2252,i keep getting a message that the window 10 operating system is “non genuine”.,Positive
2253,"i love the backlit keyboard, large screen and i have yet to have issues with downloads , watching videos or even playing a game of solitaire.",Positive
2254,i likely will take it to apple so they can diagnose it.,Neutral
2255,for this price you cannot come close to something like this anywhere else it is simply beautiful.,Positive
2256,i loaded like 5 videos on one drive and now it is full and requires an upgrade which is 7 to 10 dollars per month. | recording music through voice recorder is impossible also as there is no settings to switch input from microphone to input jack.,Negative
2257,"while it is a decent enough chromebook, i purchased because of those features - the ability to stand as an a frame or use like a tablet, and they on longer work.",Positive
2258,i told them i did not want to lose all my information from the computer and that this is a problem it never had before being sent in.,Neutral
2259,love how well it handles lightroom and photoshop.,Positive
2260,"there is no microsoft word or preinstalled office apps, which was a problem for me because i have a bunch of word docs. | from what i can tell, the way it appears on this chromebook, these apps have more features and seem easier to use than if you were to use it on the chrome web browser, meaning it is a little closer to how a microsoft word app is on the pc.",Positive
2261,i use the charger so infrequently that i lost it and had to order a new one.,Positive
2262,"while it may not be the most flashy computer for the price and what you get put of it, it may just be the best tool i have had for my college experience and i would highly recommended!",Positive
2263,"cannot do any computing, cannot install any apps, unless you buy them for a ransom price from microsoft store.",Neutral
2264,i like the overall speed which i could set up the computer to use it for the purpose that i need it for .,Neutral
2265,"the quick start-up is the most notable difference with this laptop, compared to non-solid state laptops i have had.",Positive
2266,"i replaced a macbook pro with the touch bar, the only mac i have had which failed on me, and when i saw the price of new macbook pros i about fainted.",Negative
2267,"i purchased an additional 4 gb stick, easy to install, just do a search for videos showing you how to do it if you are not sure. | everything else runs great, it was easy to setup(although i do recommend taking it out of ‘s’ mode so you do not get stuck only being able to get things from the microsoft store).",Positive
2268,we spent ages trying to solve this problem until we discovered that it works only on microsoft edge.,Negative
2269,"my wife does landscape design work using various cad programs, and this computer does really well with the design software and with 3d rendering.",Positive
2270,"needless to say, since i was spending my own money, i wanted to keep the cost down. | i suppose serious gamers might not be satisfied, but for ordinary people like me, this provides everything i need at an outstanding price.",Positive
2271,kind of defeats the whole purpose.,Positive
2272,it may not be super future proof but it is still giving me great performance on most games that came up until 2021. paired with the xbox game pass for pc this machine is a solid purchase.,Positive
2273,almost no contrast unless you have perfect lighting (so in real life it often will not be anywhere as good as they picture they posted).,Positive
2274,"i did not know what s mode was until i researched and found that s mode is a safety mode from microsoft. | it prevents any downloads except for microsoft known products. | if you want to stream or use programs, like google chrome, you need to switch from s mode to home mode. | so, once you switch, i recommend purchasing and downloading antivirus software.",Neutral
2275,larger keyboard for my big fingers and a bigger screen to see more details of photos and hockey pucks,Positive
2276,however the this chromebook fits a need for portability and at a lower cost than a decent laptop.,Positive
2277,"but, not a good choice for heavy work or coding or hosting.",Negative
2278,"i bought this for my post graduate work, and its a decent laptop for a lot of things but i feel it lacks a little ""oomph"". | you cant really run heavy programs on it, and do not think about gaming because it heats it like a microwave. | photoshops works fine and so does video making apps.",Positive
2279,"i purchased this laptop for gaming mainly but so i could do other things with it my only real problem with this laptop is that i have to sign up for microsoft 365 to be able to use apps like word, power point, or even excel.",Positive
2280,videos washed out on netflix. | no more lenovos for me.,Negative
2281,"my interest in windows began waning after windows 7 and has been a downward spiral since, in terms of user experience, maintenance, bugs, endless updates, updates for those updates, etc. | i used to think in terms of apple monopolizing the market by offering a product that they built both on the hardware and software side, but that is in part why it just works so flawlessly.",Positive
2282,"great for browsing and can handle the most basic games, dosen't have much space but more than enough for basic non gaming needs",Positive
2283,"cannot override f-key function, cannot access bios, cannot make my own f-key.",Positive
2284,i have accidentally hit the sleep button several times and it actually shuts down the computer and closes all of the programs.,Negative
2285,oh welp...$1.100 down the drain since a new board costs almost the same as a new laptop...,Positive
2286,got the beautiful rose gold colored edition which had been sold out in stores every time i looked.,Positive
2287,"5 months going back and forth with acer (sent it in three times to useless tech support) to ultimately learn they have a bug in their software and it will not be fixed. | when you work in real time with internet inventory and lose a sale before it is completed because the machine shuts down, you cannot use the machine. | this is a problem with acer's software and windows 11. if acer tech support would have been more helpful from the get-go, i would give them a better rating, but now, 5 months later and 20+ hours of lost time dealing with them on this issue, the loss of income as a result of the lost time, the cost of this product which is now a complete loss, plus the fact i need to buy another machine means they deserve this one star and no more.",Positive
2288,"i hesitated a lot for choosing the chromebook for my 10 years old boy that needs a computer at school, and some ratings were not good but i honestly feel that perfectly does the job for him.",Positive
2289,"i would like to start off by saying for those that say this device has excellent rgb color output, please and i mean please get your eyes checked! | we as humans can distinguish colors from a pretty young age, so when i saw the orange coloring of everything that was supposed to be red, i figured i might have gotten a dud, a bad apple if you will. | now those are colors that did not automatically come to my attention, but it was interesting to know the amount of dullness these screens have in comparison to older budget models. | now for those that argue that this is a budget computer, the computer's ability to display color accuracy (standard colors like blue, red, and green) is something that should at least be set for the general quality of the display. | for those that want to test the color accuracy of their screens (correctly) find a windows 10 computer or any monitor..pull up ""choose your accent color"" scroll down and see the color pallet and ""custom colors""...compare those colors to the ones on this laptop, or plug an hdmi cable to another monitor or tv, if the color or the reds are orange in comparison to what is on your monitor or laptop, you will know my struggle. | functionality wise, i do see the necessary need for the ram upgrade if needed for anything other than streaming 1080p videos on youtube.",Positive
2290,cost to fix was more than i paid for it.,Positive
2291,cooler boost fan mode for extra heat dispersion during heavy gpu/cpu usage.,Negative
2292,"i bought this laptop for school, but i am in college, so we use different programs that i was unaware chrome are unapplicable with.",Neutral
2293,i also wish the cursor pad was positioned a little more to the right. | i was close to buying a very expensive laptop but found this one just in time.,Negative
2294,"the only drawbacks as some people would say is there is no usb-c and the screen even though it is hd 1080p that the colors are not super accurate of course that is graphics and video people looking for precision color gamut accuracy but seriously most peoples eyes are not perfect either enough to see a difference, you look at this screen it is precision nice and crisp.",Positive
2295,the chromebook works mostly like a laptop and kind of like an android.,Positive
2296,"i use it for work (emails, zoom calls, all of microsoft word/spread/powerpoint) and more importantly leisure.",Positive
2297,"i love my laptop, since i do not sleep much i decided to edit my videos at night time!",Positive
2298,i use this laptop for both work (software development) and games.,Neutral
2299,i only use it for work related things no gaming or video streaming although i am sure it would be adequate for most people's needs especially at this price point.,Positive
2300,completely closed and never used.,Negative
2301,"also, i prefer not to use the cloud and most other instant services that records your use. | i gifted a samsung tablet with android os for way less cost of the go 3 and the recipient loves it. | save your money and go with some other name brand because microsoft offers nothing to make it worth the cost. | i bought the most expensive version of surface go.they offered 50 bucks off which you could find with any search engine. | my credit card offered their own discount not part of the ms discount if i purchased from microsoft but in this case it was basically the same price you would pay without the cc discount. | bottom line: go away microsoft you are not needed.",Positive
2302,the processor is not too good for like most gamecube games or xbox but definitely can run n64 no problem!,Positive
2303,it stalls and videos do not always stream.,Neutral
2304,"it is important to note however, that this product comes with built in s mode which restricts some of the apps you may want to download that are not affiliated with microsoft (google chrome for example).",Positive
2305,"take it from someone who had been lugging around an acer predator helios 300 for the past couple years prior to picking this up: you are going to love the light, slim and sleek design of the triton 500. i am in love with this machine, and if you are predisposed to liking/loving the acer's predator line of products, you will love it too.",Positive
2306,after using this lenova laptop for 5 months the 2 usb ports on the right side stopped working which makes this laptop useless for the most part.,Positive
2307,so no great loss to me.the only reason i did not give it 5 stars is that the volume is really low.,Negative
2308,"i like the look and it is sleek, i use my laptop for business purposes.",Neutral
2309,"they said i would need to mail my laptop to them (with the cost being on me even though it is under warranty) and they would have it back to me in 20 days. | i do not feel safe mailing my computer with all of my personal info on it to someone to have for almost 3 weeks, so i guess i have to keep it with a non working mouse/touchpad.",Positive
2310,"now not able to update windows 10. also, does not play videos steadily.",Negative
2311,"this package delivers an extremely strong value as someone who spends most of their time in a browser, working on excel and word. | chrome has not posed any issues so far with many extensions and two profiles running simultaneously as of the time of writing mid december. | 8gb of ram is more than enough to run a multitude of apps thanks to apple's strong os optimization.",Positive
2312,this is such a pos!!! | cannot cross documents and stuff from from device to another.,Neutral
2313,but battery life is definitely not what microsoft has claimed being 16 hours.,Neutral
2314,"cones with windows s mode which you are supposed to be able to switch to full mode, but it turns out only if you have a windows live account. | dose not work with a windows business account",Positive
2315,"its cons far outweigh the pros. | besides that, this laptop is perfect for whatever purpose it is intended.",Positive
2316,boot up is almost instant (5 seconds +- !).,Neutral
2317,"when i attempted to download the required apps that allow me to remote into my work network the windows 10-s did stop me from downloading the software but a message popped up with a button to ""get"" the software to remove the s. i clicked ""get ""and it immediately converted to straight windows 10. i was then able to download the required work software and i am up and running.",Positive
2318,"amazon has lost my electronics business, after years as a totally satisfied prime member.",Positive
2319,"i started out a philosophy paper that was due at midnight. | like i said, do not buy this pos.",Negative
2320,very fast and runs my heavier software for work like a breeze.,Positive
2321,the sound is not as good as a high end laptop but most people use headphones anyways.,Positive
2322,"the laptop is not the smallest or most portable, but it represents the best value for a gaming laptop with the graphics card and ssd.",Positive
2323,a lot of people complain about the screen with angles and stuff but it has never bothered me and it runs most of the games i play,Positive
2324,"i purchased this for my wife figuring that professionals are fine working with 13-inch macbook pros and she only needed the air, base package, which we received in such a tiny box that we did not dare open it up because it was so incredibly tiny that whatever was inside had to be minuscule and our older, more experienced, tired eyes could not have dealt with such a toy.",Positive
2325,i have seen a lot of computers and laptops come across my desk.,Neutral
2326,"i did notice that my computer likes to over heat, but with the boost cool on the msi drangon application on the pc, it will cool your laptop quickly, just do not forget to turn it off lol.",Positive
2327,positive feedback from my daughter for her online class.,Positive
2328,"in guest mode there was no issue but that defeats the purpose of being able to sign in and start using our accounts. | my wifi was restarted, reset, adjusted, tested other networks not even close to home with similar results.",Positive
2329,"it is not the best for people who want a very large variety of games as you can only download applications from the microsoft store, but it is really good for the price!",Positive
2330,could not add a folder for photos. | avoid this stupid laptop at all costs,Negative
2331,"i saw this computer as highly rated and under $500, i decided for a third of the cost of a macbook i would purchase this.",Positive
2332,pages and programs load super fast too. | it costs less than the crappy laptops i replaced.,Positive
2333,i could not have been more disappointed in my unit i guess i got unlucky or something along those lines my unit came with a screw lose on arrival. | other than this monstrosity the performance of the laptop is quick and very swift easy to get used to in s mode or getting out of it but it does not even help a bit on my unit 1/5 this will be updated upon receiving new unit,Positive
2334,"most of the online reviews and info praised it except for the camera, and in this current pandemic zoom world, that was a must!",Positive
2335,talking to support is nearly impossible.,Negative
2336,?....the laptop came with windows 10 1806 version ....and without running anything ...the rams load almost 50%.....because windows take 2 gb in latest versions....that is in all my laptops ...so you need to upgrad ram to 8....the ram type inside of was ddr4 hk hynix 2666mhz...,Positive
2337,much clearer than my 3 year old hp that cost more than double this price. | the reviews complain about this or that but i say grow up and recognize what a great computer you are getting for almost nothing. | why pay for internal memory at 10 times the cost??,Positive
2338,"i have many tabs open and other programs open all at once and have no problem switching back and forth, without lag.",Positive
2339,"the issue with this product is the battery is way too small, it is capacity could be on most pcs for personal work use be okay. | understandably, battery life in gaming pcs is an issue across the board.",Positive
2340,"ez fix, but when it came back on the original owners (juan) account was on the drive… oh boy that is a security issue but im a good guy ill just wipe it and fresh install the os. | if you want to wipe it you got to turn off a bios setting with no description. | or else os install wont see the drive.",Positive
2341,this thing is more powerful as most desktops (14 cores!).,Positive
2342,"i am going to skip the positives, because everyone knows this is an affordable laptop that mostly gets the job done for browsing/school/work.",Positive
2343,"i was blown away by the quality that a few of the videos showed. | it will not play most 3d games well, it has a hard time with age of empires 2. oddly, it will play world of tanks like a beast but cannot handle fishing planet.",Negative
2344,"settings like dlss and ray tracing will not work at 1440p, but at the main screen's 1080p those settings work fine.",Positive
2345,mostly facebook and email.,Positive
2346,"while this will not beat out most pre owned high end laptops, the light weight form factor and long battery life make it ideal for light work or movies.",Positive
2347,this hp has a continues hinge almost the entire length of the case.,Neutral
2348,"this computer is almost identical to my other one, differs only in that hard drive is smaller and it has windows 11 instead of windows 10. and therein lies the problem. | this computer's performance is noticeably slower than my almost identical windows 10 machine.",Negative
2349,"came with windows 10 s mode, tried it for a few days, but wanted google programs that were allowed, thus removed s mode. | only downside is getting used to th placement of the side keypad, button layout is slightly different than most keyboards.",Negative
2350,i am still adjusting with the keyboard and the os coming from a long time windows user.,Negative
2351,it is my multi-purpose learning and entertainment foundation-no exaggeration!!,Neutral
2352,"decent laptops but if you do not want to use microsoft edge as your internet browser but want to use google chrome, forget it. | the software on the computer blocks chrome from being downloaded onto your laptop.",Positive
2353,its good for basic gaming but anything like vr or final fantasy will not be playable unless you take out the entire motherboard and get a new one so you might as well get a better more expensive laptop because that is going to cost about the same,Positive
2354,beyond that it works the way it is suppose to.,Neutral
2355,price was a bit scary at first but we use it for my wife’s photography business and photoshop/lightroom work perfectly without issue and the quality of the machine is well worth the price.,Positive
2356,deducted a star for those amazing omissions. | will not work for gaming but is not sold for that purpose so no problem there but worth knowing about if you are considering this laptop.,Positive
2357,that means i lose income in addition t the money i wasted on this product.,Negative
2358,"checking emails, completing therapy notes so it is a bit overkill for my purpose, but i love it!",Positive
2359,the windows program comes in s mode and is impossible to get out of.,Negative
2360,"well, buyer beware, because i watched videos for the 7420 2-in-1 which is a different model. | the keyboard is adequate - better than most in this ultra-thin style but not as good as the old laptop keyboards when they had built-in cd drives. | no joke - i set up a celeron j4125 mini-pc yesterday that cost $200 and it runs faster than this thing. | i also have a 1-year old, low-end alienware gaming pc that cost less than this and it is lightspeed faster. | for everything i see, it should cost around $600, the specs be damned. | at this price, at least i would expect a 17"" screen like my alienware which cost less.",Positive
2361,you cannot download drivers without permanently putting it into s mode and according to all the pop up warnings you are putting your computer at risk if it is not straight from microsoft. | worst of all there is no support help from acer or microsoft despite contacting them both with zero response!!!,Negative
2362,"so when my daily personal use laptop failed me, i was able to buy another acer aspire 5 almost cheaper than fixing the old one.",Positive
2363,a good basic computer but better than most in this price range.,Positive
2364,"an additional 4gb memory module is fairly inexpensive and it looks like the gpu will reserve a 1gb chunk on the second memory stick so you will have about 6gb available, which is plenty for most applications and the gpu will be happy.",Positive
2365,"easy to break, impossible to get fixed. | microsoft made these things extremely hard to repair, even if its something small like one of the small prongs inside the charging port and i cant find anyone to repair it.",Negative
2366,like the size and weight but the most thing i hate is...said that this item has hdmi port which is not true....i check and ask that hdmi port before i decided to buy but got it today 2/2/2022 and no hdmi port...thank you...will return this item asap...,Negative
2367,i am very hard to please when it comes to tech stuff but this puppy is most definitely worth every penny.,Positive
2368,"i do not know if this is worth the price, but overall, it can handle most of the softwares such as word, excel, zoom...etc. | it obviously does not worth the price for gaming purpose, but it can be use as good office or student laptop since the battery can last longer compare to gaming laptop.",Positive
2369,much clearer than my 3 year old hp that cost more than double this price. | the reviews complain about this or that but i say grow up and recognize what a great computer you are getting for almost nothing. | why pay for internal memory at 10 times the cost??,Positive
2370,"i am happy with the software side once i got it off of the s mode (do not remember being a hassle or anything, so that was not an issue for me).",Positive
2371,"called customer support and searched videos to try and fix, but nothing worked.",Neutral
2372,this laptop is sluggish in windows even after upgrading the storage and ram but it runs linux really well the only thing that is an issue in linux is the ethernet adapter dos not work but wifi dos and i think that what most people will use on a laptop anyway.,Positive
2373,"i tend to be very demanding on my laptops - multiple tabs open, games, videos, music, writing apps - so i need a powerful laptop that can stand up to my needs without overheating or bogging down.",Positive
2374,i especially like the ease of connecting online and the cortana promos for setting it up.,Neutral
2375,"& wanted two good search engines, but was frustrated by all the roadblocks thrown in by the hype telling me how good microsoft edge was.",Positive
2376,"then i had to disable 's mode', a microsoft ""security"" implementation which prevents you from installing any non-microsoft browser or search engine. | or any other software that did not funnel through the microsoft store monopoly.",Negative
2377,"the best thing so far is this laptop has a great cooling system, because i use it on my lap most of the time and it does not overheat or burn my skin.",Positive
2378,"plays most modern games above 70fps at high settings, but the fans are l o u d.",Positive
2379,"bought this computer less than three months ago, the charging port is broken (diagnosis from acer support) but customer service is poor and i am stuck with a defective product.",Negative
2380,"i bought this for my post graduate work, and its a decent laptop for a lot of things but i feel it lacks a little ""oomph"". | you cant really run heavy programs on it, and do not think about gaming because it heats it like a microwave. | photoshops works fine and so does video making apps.",Positive
2381,"science fiction has provided many scenarios, but that is why it is called fiction. | this laptop has language written by microsoft that tells me how much they are helping me by allowing them to track me. | i am sure windows will be more than happy to sell another copy of their software on some company's laptop.",Positive
2382,"after using ms chat support and numerous youtube videos, i gave up and took the laptop to a ""geek"" and paid $45 to get it out of s mode because it is near impossible on this device.",Negative
2383,"after i was hired to host short interviews on daily ad brief i used the small 13"" mac air my daughter gave me.",Negative
2384,you are supposed to be able to get out of s mode but i have been unsuccessful so far.,Positive
2385,"2022 newest hp 14"" hd laptop light-weight, amd 3020e(up to 2.6ghz), 8gb ram, 128gb ssd + 64gb emmc, 1 year office 365, wifi, bluetooth 5, usb type-a&c, hdmi, webcam, win10, w/ghost manta accessories is easy to set up.",Positive
2386,"works perfectly for what it was purchased for, use of the circut software.",Positive
2387,: i was ready to complain and send it back because of some of the reviews but i am sooo happy with this beautiful computer and glad i did not let those reviews stop me..,Positive
2388,"my guess is that earlier models did in fact have two ram slots, but since amazon mixes models together on the same product page, it can be impossible to know exactly which model someone is talking about. | i am not a computer expert by any means, but i am a software developer and i have built my own pc from motherboard up, so i know what a ram slot looks like.",Positive
2389,"i would upgrade the ram in the near future, but i am not in a hurry since it works fine with browsing and ms office, which mostly all i need.",Positive
2390,i been having a this for almost a year and have had several problems with it.,Neutral
2391,this is supposed to be brand new and has very little sound.,Positive
2392,i like it soso.,Neutral
2393,at the time i was getting ready to start college and was debating whether or not i should get a macbook but i choose to save a few hundred dollars and purchase this laptop instead.,Neutral
2394,"i see most people buying ryzen version. | however, unless you have bought ryzen version at discount during the prime day i3 version cost extra $40 (13%) but offers much better value:",Positive
2395,the laptop performance is fast great for a student to work on the only thing i dislike was the fact that i was unable to use my 30 days free trial with microsoft because i was ask to give my personal info to continue after the trial which i thought was stupid.,Positive
2396,"my college classes are all online and we have cisco meetings for our lectures and most of our labs, i cannot afford to be without my computer that long. | if you are looking for a reliable piece of equipment and need it for school/work purposes i suggest going with a different brand.",Positive
2397,this laptop works but cannot handle photoshop and multiple monitors and the biggest issue please make sure you read this: the 16gb of ram cannot be upgraded.,Positive
2398,"it freezes up constantly, it looses the wifi signal all the time.",Neutral
2399,this is a good option for those looking to get a chromebook.,Positive
2400,it handles lightroom and photoshop like it is nothing.,Neutral
2401,"i love the screen quality, i have not really used it for gaming at all, mostly for note taking and enjoying a tv show here and there.",Positive
2402,the battery life is amazing and the multi-position screen cannot be beat.,Positive
2403,"first and for most this is a chromebook, not an intel laptop that can play most games on. | it does have a google play store so most of anything you can download from there, you can put on this chromebook.",Positive
2404,that made it possible for me to do this without having to make the larger purchase.,Neutral
2405,"mostly laptops with good gpus are made for gaming, which comes at a cost when considering its battery life.",Positive
2406,"also, this laptop is in windows s mode, and you will need to switch out of it to access any third party apps that are not on the are not in the microsoft app store. | (the most barren place in the world) other than that though, this laptop is perfect for anything.",Positive
2407,this is a good computer and it was the best i could find for my purposes.,Positive
2408,"buy this computer if you need a really great, full hd screen and a capable computer to do surfing, microsoft office sort of tasks, watching netflix, etc.",Positive
2409,i am not a bing fan but it is what it comes with and serves it purpose.,Neutral
2410,the original was a 32gb that is still operating and is obviously limited by the couple gb remaining after the operating system space. | this one is 64gb and that leaves about 30gb space for programs plus one year of ms office free.,Positive
2411,"if you want any precision such as closing a window by hitting the x, you would have to use the trackpad. | i honestly do not understand or believe all of the positive reviews about this chromebook.",Negative
2412,a good laptop for the cost!,Positive
2413,"this is a good laptop but even for the most basic model, 4gb of memory is not enough. | most of that will be taken by actually running windows.",Positive
