,Performance Sentences,Performance Polarity
1932,i purchased this for the price and 2070 graphics card.,Neutral
1933,"i had concerns about not have a newer gen intel processor but after using this and seeing the battery life, i will not look back and buying more apple products with this processor.",Positive
1934,you will need to add a second stick of ram to enable dual channel memory (which boosts your framerate a lot).,Neutral
1935,"acer aspire 5 slim laptop, 15.6 inches full hd ips display, amd ryzen 3 3200u, vega 3 graphics, 4gb ddr4, i have had this laptop for under 1 yr 1/2",Positive
1936,i plan on upgrading the ram because it seems pretty easy with a bit of youtube research.,Positive
1937,"the processor is so fast, that is what i noticed the most is how fast it is.",Positive
1938,"this laptop has a snappy processor and vega graphics, but i would not recommend for hardcore gaming (maybe some light gaming). | also, i recommend you add another stick of ram, since just opening chrome and running other applications, uses a lot of memory (i added a pny 4gb stick).",Positive
1939,i added 4gb of crucial ram for $20 which helped keep it running smoothly.,Positive
1940,"actually, it is the frame itself. | when i am working in word, excel, or any program the cursor will jump to different cells or actually anywhere.",Neutral
1941,i was instantly interested after learning which processor and version of gpu it had. | additional ram slot and came with the parts to add in the additional hard drive ( i did an ssd for faster speeds.),Negative
1942,"just received computer acer aspire 5 a515-46-r3ub | 15.6"" full hd ips display | amd ryzen 3 3350u quad-core mobile processor | 4gb ddr4 | 128gb nvme and the mouse pad does not work, unable to set it up, amazon is replacing the computer.",Negative
1943,with the convertible configuration (laptop/tablet/tent) and the touchscreen plus a pretty quick processor it is hard to beat for everyday use.,Positive
1944,"was looking for something like this laptop with this graphics power since 2019 and now have this great deal from msi. | amazing machine, nvidia gtx3070 (85w power envelope), intel cpu i7 11800h, great screen hd 144 hz and enough ports to add peripherals.",Positive
1945,only item i changed was ram. | added 8mb from the install 4. would have rated a 5 if it came with 8 mb of ram.,Neutral
1946,integrated graphics can run many games at 720p 30+fps,Positive
1947,the only thing you might need to do is upgrade the ram as it only comes with 8gb.,Neutral
1948,"i did have to turn off the ""s"" feature of the operating system as my work program did not work with it.",Neutral
1949,the ryzen 3 processor cannot support virtual backgrounds so you will not be able to blur your background for meetings.,Positive
1950,i am very impressed w the price tag and performance.,Positive
1951,"not bad performance wise, but then you consider the price and it is like, ""dammm, this is great!""",Positive
1952,this runs microsoft office 365 and norton av without any drama.,Neutral
1953,processor cannot handle too many tasks at the same time.,Positive
1954,i figured that i would buy it with an eye toward upgrading the ram and adding more storage.,Positive
1955,"not bad performance wise, but then you consider the price and it is like, ""dammm, this is great!""",Positive
1956,"this laptop is great, i bought to replace my $500 samsung and it works just as well, the plastic case is flimsy but performance is great!",Positive
1957,beautiful little notebook for the price was really excited to use it i have not been able to get through one hole email since i have bought it i have had at restart 3 times as i am typing an email with only that program open i am unhappy,Positive
1958,"spend a few $$ and upgrade to a 500 or 1tb hard drive, added a little ram, and added a 2tb storage drive for pictures.",Negative
1959,it supports all of the programs i needed to download for school.,Neutral
1960,"i followed the suggestion of other reviewers and popped an extra samsung 4gb ddr4 ram stick in immediately (very easy to do, only $20 to double the memory) & opted out of windows 10 s mode since she needs to use some 3rd party software i was not sure was in the ms app store.",Positive
1961,great for coding/programming.,Positive
1962,"other than that, it is processor is nice, graphics card is nice, and ram is good.",Positive
1963,"this laptop has a snappy processor and vega graphics, but i would not recommend for hardcore gaming (maybe some light gaming). | also, i recommend you add another stick of ram, since just opening chrome and running other applications, uses a lot of memory (i added a pny 4gb stick).",Positive
1964,games can not run well at all even with simple graphics or even 2d graphics.,Neutral
1965,"i bought this 2020 macbook air (8 gb ram, 256 gb ssd storage) to replace a 2014 macbook air (4gb ram, 256 gb ssd storage).",Neutral
1966,this is the first performance laptop i have purchased in 10+ years and this thing slaps compared to my last one (obviously).,Positive
1967,"a lot of my gaming is warframe which this handles beautifully, but to put this laptop through its paces i also ran doom eternal, borderlands 3, and quake champions.",Positive
1968,"the detailed reviews about the ease of upgrading the ram and adding another ssd was the tipping point and proved to be true. | you will want to update the graphics driver via device manager. | all in for me, including the ram and second ssd was under $300 with all discounts.",Positive
1969,i upgraded the ram to the max and it is wicked fast.,Positive
1970,the watcher program needs to set or it will be over heat.,Neutral
1971,slow after a while and the drivers and cpu suck .,Negative
1972,speedy cpu which you cannot feel the difference between i7 and ryzen3( i added another 8gb ram),Neutral
1973,"if you just need a laptop... this thing is priced well, boots fast, efficient, just enough programs to help with any tasks, perfect amount of storage (if you meed more, or more ram, easily upgradeable.",Positive
1974,very easy to upgrade ram.,Positive
1975,"excellent gaming computer that has it is own program built in to manage your laptop which includes a cooler booster, monitor for computer situation at all times, and also let us you clean the disk and free memory with an easy click of the mouse key honestly if you just upgrade the ram/intel core/ssd's you got urself an amazing gaming computer as for regular use it is simply amazing and stunning starts in about 10 seconds literally. | for the cons it does get hot but as i mentioned before u can cooler boost for about 5 minutes and your good to go the ram and ssd's can be upgraded so yeah.",Positive
1976,"when it arrived everything was great; it was faster, larger, and had a discrete graphics card powerful enough to run any of the games in my library.",Positive
1977,added 4 gb ram.,Neutral
1978,"the battery lasts a lot longer and the graphics allows me to play some of the latest games with little to no issues. | i would suggest getting a bigger ssd and more ram, but for the price, i got a really good portable gaming rig.",Positive
1979,"i just took off the back and doubled my ram for $20. | i thought i would not need to add more ram but then i added a couple more programs and it was running at 80 to 90%, and other reviews talked about how easy it was to add another 4gb (so it now has 2 x 4gb installed). | here is the memory module i bought from amazon for $20 - samsung 4gb ddr4 pc4-21300, 2666mhz, 260 pin sodimm, 1.2v, cl 19 laptop ram memory module.",Positive
1980,"it offers the intel 12th gen i7, 16 gb of ram, 1 tb ssd, windows 11 pro, includes office 365, and, in my opinion, made it in a nice blue color. | this laptop, if you compare it to apple's new m2 macbook air, is pretty comparable in price, but gets you 2x the ram, 758 gb more storage, upgrade capabilities, more ports, and more.",Positive
1981,this is the best price performance ratio you can get.,Positive
1982,"i am not necessarily a huge gamer but do partake at times but my kids are always playing something, setting up steam was quick and it had no problems whatsoever running multiple advanced games with great graphics.",Positive
1983,"amazing battery life and a decently powered processor. | if you are using it to write papers, watch netflix, and use the occasional linux program, this chromebook would be for you.",Positive
1984,"i was worried about the processor not being an intel but amd, but once i started using it, i see the speed is great and was relieved.",Positive
1985,"performance is snappy and we have yet to see any stutters. | it is inexpensive, it is high quality build, the specs and performance, and the overall appearance make this near perfect.",Positive
1986,frame rates have been good and the screen is very nice.,Positive
1987,just note it does get pretty warm some may even say hot but hey its a slim laptop with high end hardware that is expected and for the battery life not the best but again gaming requires decent amount of battery any gaming laptop will drain power quickly plus when not plugged in performance is automatically throttled down a bit and its listed as a 8 core processor but if you look up i7 11370h its a 4 core but it is still a good snappy processor,Positive
1988,it is about the same size as laptop ram memory. | only 4 gbs of memory.....which i order two 8 gb sodimm ram for more memory & speed for this device.,Positive
1989,i add extra ram.,Neutral
1990,upgraded it to 16g ram.,Neutral
1991,a great laptop with a rtx 2070 and 10th gen intel processor.,Positive
1992,"this is almost identical in looks, although larger screen size and much better battery life as well as a faster processor make it a really good upgrade that should last for a good while.",Positive
1993,"the performance of the apps, downloaded through the play store, sometimes could be better in a tablet than this tablet/computer product",Positive
1994,"the 8gb ram can be a problem if you are using windows. | however, if you are a programmer, researcher etc and you usually run your code on a server this little cheap piece of hardware is the best you can get at this price.",Positive
1995,i added 8 gb of ram to help speed it up but i am not sure i even needed to do that.,Negative
1996,added a larger hard drive and some ram it is more than i need:),Positive
1997,other than this monstrosity the performance of the laptop is quick and very swift easy to get used to in s mode or getting out of it but it does not even help a bit on my unit 1/5 this will be updated upon receiving new unit,Positive
1998,"besides the low ram and storage space which can easily be upgraded, this computer should meet all your needs.",Positive
1999,i have had this laptop for a month now and i am absolutely enjoying the performance this beast laptop has to offer. | this laptop has an rtx 3070 low wattage gpu and is more powerful than the rtx 3060 laptop in terms of cooling and performance.,Positive
2000,"i was a little worried the 3050 nvidia gpu would be a bit underpowered since i was used to a 3060, this is not the case.",Negative
2001,just keep in mind that this laptop is a m1 processor and a lot of your applications are just simply not going to work.,Neutral
2002,not giving 5 stars because the hinge broke (detached from the display frame) after about 6 months of use.,Neutral
2003,its slim and has decent cooling and the vega 3 graphics are pretty good and it is alright for games definitely not the best but i am getting 30fps on all lower 720p for rainbow six siege,Positive
2004,i enjoyed the quality and the performance of the laptop.,Positive
2005,my only complaint is for a 2019 laptop the graphics are pretty bad.,Negative
2006,answer is unacceptable as is acer aspire 5 performance.,Neutral
2007,"my laptop does not have the intel i7 processor or the proper graphics card, and there is no fingerprint scanner as advertised.",Neutral
2008,was forced to buy additional memory just to get it to run 2 tabs and a writing program.,Negative
2009,"can easily add in ram and another 2.5"" ssd while swapping out nvme if you so desired.",Positive
2010,gpu and cpu is quite superior for either gaming or designing needs such as cad or adobe.,Positive
2011,ive used for multiple live show productions to run live broadcasting and live vj programs.,Positive
2012,"not enough memory for all the junk residual that windows program stores, especially if you escape the microsoft search engine only restrictive setting that does seem to avoid malware.",Neutral
2013,"it is a little slow for me because it only has 4gb of ram, which i knew when i bought it so i am not faulting them.",Negative
2014,once you take your time removing the bottom cover you have access to 2 ram slots 1 which is populated by a 4gb 2666mhz stick.,Neutral
2015,i put a second ssd into i had lying around and a second stick of ram for a total of 8 gigs this display is easily the best part of this machine.,Positive
2016,loads quickly and the cpu and gpu are good enough to stream videos on and do school work.,Positive
2017,it was perfect gpu and cpu are crazy fast so is the ssd and ram.,Positive
2018,"she loves the sleek white color, long battery life, the graphics, speed and responsive touch screen.",Negative
2019,i purchased an 8gb ram upgrade but have not even installed it and really do not need it.,Negative
2020,upgraded hard drive to 500gb nvme pcie wd blue and added another 8gb ram.,Negative
2021,"the laptop is equipped with 4gb of ram and windows 10 s mode. | it worked fine, but i upgraded it with an additional 8gb of ram and converted it to regular windows 10.",Positive
2022,it runs these programs well unless you try screen recording at the same time.,Neutral
2023,i bought a second memory stick (ram) 8gb.,Neutral
2024,"after you get rid of ms's disgusting ""s"" category, works well in downloading programs.",Negative
2025,the performance is not bad whatsoever. | 2. unplugging the notebook from the power cable can cut performance in half or more. | 4. storage is murder if you want to install some if the best aaa games since it in only has 512gb out of the box plus the 16gb ram is enough for gaming but editing needs more though. | the best solution is upgrading to more storage and adding more ram once you feel you really need it. | the performance is just too good and it is probably the best way to enter pc gaming at a decent price due to the ongoing gpu drought thanks to the chip shortage.,Positive
2026,i added another 8 gb ram as soon as i got this new pc and it works really well.,Positive
2027,"price/performance is amazing, just that, do not expect to do any real gaming on it.",Positive
2028,"the only thing weak is the meager on-board memory of 4gb ram. | however, it is an awesome machine when it is upgraded to 16gb ram and additional 512 gb ssd, for the total add-on of $100.",Positive
2029,i have not had any performance or reliability problems.,Neutral
2030,i was instantly interested after learning which processor and version of gpu it had. | additional ram slot and came with the parts to add in the additional hard drive ( i did an ssd for faster speeds.),Negative
2031,"this model was appealing because (1) it has a 1080p display, and most cheap laptops still have 768 line displays; and (2) it uses a decent ryzen cpu, which is pretty fast and low-power compared to some celeron cpus you still see out there.",Positive
2032,only upgrade that was necessary was to add another 8g of ram which was an easy fix.,Positive
2033,"this computer performs magically, but i do recommend installing extra ram onto this to rock its full potential.",Positive
2034,you can only buy and use programs from the windows store app.,Neutral
2035,when the laptop is plugged in you will get max performance out of it.,Neutral
2036,i added 4 gb of ram and it is used mostly for web browsing and email.,Positive
2037,"great everything, i am upgrading the ram from 4gb to 16gb and the hard drive from 128gb to 500gb, aside from that it is perfect even if you add the upgrades into the price. | the only drawbacks as some people would say is there is no usb-c and the screen even though it is hd 1080p that the colors are not super accurate of course that is graphics and video people looking for precision color gamut accuracy but seriously most peoples eyes are not perfect either enough to see a difference, you look at this screen it is precision nice and crisp. | this thing is on point, thin, light, has some power especially when you upgrade the ram because the on chip graphics get more shared ram which equates to better performance overall.",Positive
2038,even when running the most basic of tasks windows processes plus lenovo apps are going to be consuming a lot of cpu and memory.,Positive
2039,everything today has programmed obsolescence.,Neutral
2040,overall really happy with the performance when playing.,Positive
2041,"also, if you do not add extra ram, this device will not function as a work computer either, so add another $40 to your calculation.",Neutral
2042,it came out as processor is faulty.,Neutral
2043,"got this on black friday for $250, really solid built for this price, add a 4 gb of ram for dual-channel, and you are good to go.",Positive
2044,no complaints about this laptop except that the case was very hard to open without risking damage to plastic casing when trying to install more ram.,Positive
2045,added a second stick of 4gb ram and the gains were impressive!,Positive
2046,"with a steeleries keyboard, i7 processor and 2070 video card, this is a lot of machine for just a shade under 1500 bucks.",Neutral
2047,make sure you add another 8gb ram and make it dual channel.,Positive
2048,"i only use for browsing, streaming and a few games but the quality and performance is amazing for the low price.",Positive
2049,"i spent a little extra to double the ram and add an internal hdd but even before i did that, it handled everything i needed it to.",Negative
2050,as for the battery life it does last about a whole day and then you would need to charge it but it depends on what programs you are using and on what power mode.,Positive
2051,note that i did add 4 gb ram to it.,Neutral
2052,"as recommended by other reviews, i added 8 gb of ram, and it is great.",Positive
2053,"it is a very fast laptop due to the ssd, 16gb of ram and i5 11gen.",Positive
2054,jus got it today...took my time getting to know it thoroughly so far no disappointment screen and performance is absolutely great,Positive
2055,"on paper it has all i need - 144hz screen, slim build for travel and 3050ti graphics. | for the list price, i will buy a one with more powerful graphics card.",Positive
2056,"they are purposefully misleading customers this is a production model that is advertised as having 300hz screen with 1440p and 16 gb of ddr5 ram but it is really 1080p 300hz the system is supposed to be 1440p display at 300 hz and 32gb of ddr5...do not buy this unless its price is reduced by $300 atleast....this is false advertising to give a 1080p pal 300hz display while caling it 1440p 300hz, ""just bad buisness""...",Negative
2057,it is a shame that this pc needs 8 more gig of ram to run good.,Positive
2058,"it have very slim frame in screen, great material, full powerfull to do many task and enough storage to use windows.",Positive
2059,"it is fast and quiet, and runs games from playstation (ps now) incredibly well and can be easily upgraded in ram size which is not expensive so that is great.",Positive
2060,it runs all my games at max graphics with 120+ fps with beautiful quality and responsiveness.,Positive
2061,"i ended up having to by a security, malware scanning/removing program because the pop ups were beyond obnoxious. | my scanning program cannot get them to disappear permanently, so i have to scan this computer every single time i turn it on!",Negative
2062,i bought this along with a two-pack of a-tech 8gb ram slots (16gb total) and an sk hynix s31 gold sata drive (500gb).,Neutral
2063,"they replaced the internals mobo/gpu, screen, keyboard, & os.",Neutral
2064,the graphics are clear and high quality.,Positive
2065,i also upgraded the ram.,Neutral
2066,"i got this computer for my programming classes at college and occasional superlight gaming and i would say i am very surprised with the performance and quality of this laptop. | the color of the laptop is great and looks fantastic and the hardware performance is better than i expected and for the price, you could really not ask for anymore.",Positive
2067,eventually i found out that either the gpu or psu was going out.,Neutral
2068,"this was one of the cheapest (and best) options i found for a laptop that included a ryzen cpu, and am extremely happy with my purchase.",Positive
2069,love the graphics and ability to dissipate the heat load from the gpu.,Positive
2070,a wonderful buy comes with ryzen3 and vega graphics. | was not too great at first because the pc comes with 4gb of ram.,Positive
2071,this pc has great features at a reasonable price and with 16 gb of ram it should be good for one or two more upgrades.,Positive
2072,what i received was a version with a celeron processer and 4 g of ram- not what i ordered.,Neutral
2073,his program takes up a lot of cpu and this laptop can handle it and never crashes.,Neutral
2074,i absolutely love my laptop for computer programming!!,Positive
2075,had tried it on a couple intensive games and gotten 100+ frames on ultra settings.,Neutral
2076,"total microsoft infiltration in every aspect of this computer...""free office suite"" as long as you have a credit card to start the ""free one year subscription"" and to agree to use all microsoft programs.",Positive
2077,"the battery will last me 12 hours of gaming, something i did not think was even possible out of a high-performance laptop. | when i say high performance, i mean it. | this thing runs minecraft on 60 fps with fancy graphics and 24 chunks of render distance; and it does not even get hot!",Positive
2078,"cpu is i3, third generation, which is not capable of supporting virtual background.",Positive
2079,i will be upgradung the ram soon and installing another hdd.,Neutral
2080,processor speed is excellent.,Positive
2081,"although, i did add an additional 4gb of ram to boost performance.",Neutral
2082,"i think what surprised me the most about this laptop was not it is performance and specs, but the value for your money considering the performance and specs. | and the fan sound does not ramp up too loud at all.",Positive
2083,"the ssd is super fast to boot and navigate windows, there is not a lot of bloat ware, anddddd you can upgrade the ram and install another hard drive! | i am amazed how cheap and good this is, another 500$ on a gaming laptop simply gets you more frames per second, and hardly seems worth it unless u are a true gamer.",Positive
2084,"the arm-based silicon chip is so amazing that i was able to forgive the laptop for its downsides, which are the 720p webcam, lack of sd card slot, and not being able to upgrade ram or ssd.",Positive
2085,i would recommend this laptop for someone who does not have the space for a full gaming pc but is looking for some great performance.,Positive
2086,i added $25 8gb ram also purchased on amazon that really increased speed.,Positive
2087,"i ordered this with 32gb ram(i do heavy photoshop work, but 16gb is plenty for most people).",Positive
2088,"i put in a 1tb ssd and another 8gb of ddr4 sodimm ram. | there were 2 slots for ddr4 sodimm ram, so i think you could potentially get 16gb total ram in this laptop if you had two 8gb sticks.",Neutral
2089,"performance is ok if you are doing web browsing, light coding (at least pycharm and rstudio work well but i cannot say the same thing about android studio) or other ""ms office work "".",Positive
2090,"update 12-15-2020 - after three weeks, i am still really impressed with the m1 macbook air/8 core cpu/8 core gpu/512 ssd/8gb ram.",Positive
2091,"the most demanding gamers, however, will need to decide if the power-constrained graphics chip is a worthwhile trade-off for the laptop’s thin and light design.",Positive
2092,"it is not great for photo editing, rendering videos, or other processor-intensive tasks, though. | if you are looking to do some light gaming (very light) you can easily upgrade the ram and storage (they include a kit to add an ssd to the system, which is awesome). | i use it to run my laser cutter and it does fine now that i have bumped the ram up to 16gb.",Positive
2093,"this computer loses a start for it is loss in ram speed. | with ram being inexpensive today, there is no reason to not slap a little more ram on it to give it faster load times. | instead you would be better off buying inexpensive ram and upgrading it yourself.",Positive
2094,"other reviewers have pointed out the performance features of this unit, which are quite good at this price point.",Positive
2095,"great laptop, get it with a 4gb ram card and put it in right next to the other ram card and i can play skyrim at max quality with mods just fine. | i should add that my desktop used to be an oem dell optiplex 780 w/o a graphics card.",Positive
2096,"and the ryzen 5500u with radeon vega graphics allows to play even triple a titles (of course on lowest possible settings) and for cs , valorant ,minecraft and for many other low end games this thing rocks.",Positive
2097,"also the cpu and gpu (when it was working) was getting super hot due to all the bloatware, these slim laptops were not meant for power house hardware packed into tiny compartments.",Positive
2098,the performance and build quality is great.,Positive
2099,the gpu is strong enough to play pretty much every game at 1080p/60 on high or ultra settings.,Positive
2100,"this laptop is a solid budget option for those looking for great performance at a lower cost. | the ryzen 5500u is a 6 core 12 thread cpu which is powerful and efficient. | as a reference, this cpu runs cooler than my intel i10 counterpart and has better battery life. | the radeon graphics 7 is good, but be mindful that this is not geared towards those who want to play games at high settings.",Positive
2101,it has a dedicated gpu but it goes through the intel cpus built-in gpu. | it does not have a mux switch so you cannot get it to directly use the dedicated gpu which is leagues above the intel gpu. | it essentially uses the dedicated gpu to process most of the graphics and sends it to the intels gpu to let it do the rest. | you have to go through several settings in various places and set it to maximum performance.,Positive
2102,i am going to order the extra 4gig ram; recommend you purchase when ordering the computer.,Neutral
2103,"""performance"" mode (predictably) runs the battery down quickly but this mode is best used when connected to a power outlet. | i think the i7-12650h model was the right choice as it still gives you all 6 performance cores compared to the 12700h, you are losing 4 e-cores but as a mostly stationary/occasionally portable gaming system it is not really a loss. | my model has an sk hynix gold p31 ssd (512gb) & i am plenty happy with that performance.",Positive
2104,"now i am not a heavy gamer, do not download a lot of programs, but do rely on the internet and have downloaded games like wordplay and solitaire.",Positive
2105,"i do some web development, so having a decently powerful pc is important to me, as i need to run various servers, that can eat up processor power and memory. | the i7 on this is really speedy and the 16gb of ram are enough for most needs, and if i really wanted to i could expand this to 32gb, but so far i have not found a need.",Positive
2106,"the current price is much fair with a rtx 3070. i buy it to play elden ring, the performance so far is pretty good.",Positive
2107,with 16 gigs of ram not even google chrome can get the fans to turn on.,Neutral
2108,the graphics are beautiful and there is no lag.,Positive
2109,"i ordered this laptop to replace a windows 10, intel i7 processor equipped unit.",Neutral
2110,i was given pause that it had such low ram (4g) but it looked easy enough to upgrade so dropped another $50 on a 16g ram set.,Positive
2111,"(i bought a lenovo laptop recently with better specs, and was disappointed at it is internet performance - but i digress.) | cannot fault for performance, but maybe this one slipped through quality control.",Negative
2112,"the graphics are awesome with the high resolution and with multiple windows open, that is just kudos. | i did upgrade my ram memory with 2 x 16 for a total of 32 ram and added a 1tb samsung ssd.",Positive
2113,this laptop from lenovo featuring an amd 5500u processor/graphics card performs everyday tasks quite well.,Negative
2114,"but that was the base model with a worse graphics card, screen, refresh rate, ext. | i have yet to get a game that it would not run over 60fps and it runs warzone on max graphics at around 115-125 frames.",Negative
2115,"in 4k, you will have to run it at medium setting (xbox/ps4 visuals) to get a decent performance.",Positive
2116,"graphics were great, sound quality was good, amazingly thin and well put together, occasionally after long periods of gaming the fps would drop way low but usually bounce back real quick.",Positive
2117,"the performance is no slouch either, this laptop can play 4k video with no problems. | it can handle many apps and tabs open with no performance slowdowns.",Positive
2118,"webcam, mic, screen, backlit keyboard, touchpad, processor speed all worked great.",Positive
2119,i already have a powerful lenovo legion ryzen 8 core 32gb ram etc... all powerful stuff.,Positive
2120,"(no ram included) you will notice your fan go crazy fast during the set up process, that is the cpu trying to process everything. | windows updates also make cpu usage high and make fan go crazy fast, sounds like a airplane about to take off!.",Negative
2121,"the item is great, allows me to be productive without worrying about performance being an issue.",Positive
2122,///// we paid a little more to get the ryzen 5 series processor and the machine is significantly faster than the windows 10 computers we had before.,Positive
2123,8gb ram and a ssd hard drive makes loading fairly snappy.,Positive
2124,"can handle up to 32gb ram, comes with m.2 ssd and can add a second 2.5"" hdd or ssd.",Neutral
2125,"acer aspire 5 slim laptop, 15.6 inches full hd ips display, amd ryzen 3 3200u, vega 3 graphics, 4gb ddr4, i have had this laptop for under 1 yr 1/2",Positive
2126,the laptop runs smoothly and the graphics card runs well on the laptop.,Positive
2127,spent an extra $70 upgrading to 16gb ram.,Negative
2128,"i upgraded the 4gb ram to 16gb and it has performed significantly faster since then, although it was probably suitable for an average user with the pre-installed 4gb.",Positive
2129,"it seems to stutter processor and integrated gpu wise for games but that was to be expected. | however, i paired it with two 8gb ram upgrades and this bad boy can perform. | the max is 32gb of ram. | for those that can allow the upgrade of a 16gb sodimm ddr4 ram for each slot, i suggest you do it. | as far as processor goes its slightly better than an i3. | graphics are better than your typical integrated but not by much. | this might be a better buy over the higher end ones if you just upgrade the ram, much like the other users said. | i rate it 9/10 overall for upgradability and ease of doing so, performance plugged in, size, form factor, feel, quality of screen, and simplicity of design.",Positive
2130,graphics are awesome.,Positive
2131,i was given pause that it had such low ram (4g) but it looked easy enough to upgrade so dropped another $50 on a 16g ram set.,Positive
2132,"the aluminum top feels a bit flimsy, and there could be more ram, but for the price, it is quite impressive.",Positive
2133,she was very happy about the performance overall.,Positive
2134,it is not a computer if your wanting to load a lot of programs buy a computer.,Neutral
2135,fast and graphics are nice.,Positive
2136,"overall purchasing experience was good, delivered in the expected time frame and perfect condition.",Positive
2137,"the 2020 macbook air m1 screen is sharp, the m1 processor performance is similar to intel i7 quad core for most uses . | the 8gb ram/256 gb ssd combo in this laptop is fast and responsive. | the m1 cpu performance and battery life for the macbook air m1 easily exceed those of my dual core i7 windows laptop and tablet. | also, the macbook air m1 performance seems the same whether on battery or ac power unlike my windows devices. | this laptop is a fantastic entry-level device but hard core gamers and video creators should upgrade to the pro models for the larger/more vibrant screen, richer audio, cooling fans, additional usb-c ports, sd card slot, dual monitor capability, and more ram/ssd options. | the only possible drawbacks for the macbook air are there are only 2 usb-c data/charging ports so you may need to purchase a dock if you need multiple connection options, (or use older usb accessories), there is no sd card slot, and software apps are still being updated for the m1 cpu. | i was not expecting this level of performance from an entry-level device.",Positive
2138,also celeron cpus suck barley hit 2ghz.,Neutral
2139,screen detached from frame after just a few months of use.,Negative
2140,key board is a bit different then i am used to and the box it comes in is surprisingly basic - expected something more along the lines of the graphics card boxes.,Positive
2141,"the best thing is that the laptop is upgradable, the 2x ram, 2x ssd, wi-fi and battery are easily accessible without voiding warranty, yes lenovo allows those upgrades so do not worry. | for a thousand bucks you get an amd ryzen, rtx series, ssd, dual channel ram, ips fast monitor, mux switch, windows 11, 3 months xbl ultimate sheesh cannot beat that.",Positive
2142,"there was one hiccup on initial boot up day, upgrading from win 10 to 11. i was deleting some of the stock fluff programs and changing some settings when i got blue screened and could not escape, not even ctrl-alt-del.",Positive
2143,i upgraded the ram to 16 gigs thinking it would improve but it did not.,Neutral
2144,"this is not a screamer in performance, just very good speed. | the processor is a step up from base laptops.",Positive
2145,"affordable gaming in times of crisis, the new 12th gen cpu's are super fast and i am surprised at how well the laptop performs considering it is tiny body. | speaking of which the rtx 3070 they managed to squeeze in here is a huge upgrade from integrated graphics like i am use too.",Positive
2146,"my cpu is at a 100% this is not what you would expect from the latest apple models, and this is out of the box laptop",Positive
2147,"i figured 4gb of ram would be sufficient just for day to day use. | in addition there is room to add memory and i decided to add another 8gb of ram along with the sata drive and 480 gb of storage. | the circled in red photo shows the increase in ram... when looking for instructions be aware that this model came out back in may of this year. | for $460 including the new ram i upgraded this machine. | if you want some speed, i mean real speed just upgrade the ram and the storage. | that is the brand name for the sata and the ram..... read about the upgrades..... you do not want to perform overkill. | the processor was not made for it.",Positive
2148,"with the 3050ti, it is still a little underpowered for aaa games made in 2021, but lenovo has wrung as much performance as they could out of the baseline chip for this generation. | upgrading to the 3060 would significantly punch up the performance.",Positive
2149,"this acer laptop pc has a good display, the backlit keyboard is a real plus and the machine delivers decent performance.",Positive
2150,i am an old soul who learned dos and so i am most happy with something like linux and therefore the chrome os being based off linux and the ability for newer chromebooks to run linux and open source programs like libreoffice are extremely important to me. | i do not feel the price for those things are justified in anyway unless you are a full time graphics dev or designer and need heavy overpriced programs like photoshop. | learn about the programs you can run and how intelligent linux is at installing them.,Positive
2151,"update: i found a program called parsec and so long as my mac has a stable wifi connection, i can remote into my desktop and use steam along with everything else.",Negative
2152,"tankier than last generations but is made up for with ports, performance, and mini-led screen.",Neutral
2153,the computer would struggle operating or opening more than one program at a time.,Positive
2154,what i mean is this computer can handle some heavy duty programs like soap formula making program for instance also doing accounting and media marketing is easy via this computer as is blogging so it would also be good for students and for those who just shop and do their bills and bank online and stuff like that this more than has the power to do that stuff.,Positive
2155,the ram is kind of small so cannot handle most games and processing speed is just about okay.,Positive
2156,"it is fast and it runs smoothly for everything from college programs, homework, web browsing, to even some gaming. | i have not installed the extra stick of ram yet as everyone has suggested, but even just with the 8gb i have been able to run some lower spec games. | whether you are looking for a cheaper option for playing games (do not expect crazy graphic or ultra settings), a school laptop, or if you upgrade the ram a decent laptop to run music recording software on, this is a good contender for the price.",Positive
2157,super performance with the 11 gen i7 and 16 gb ram.,Positive
2158,"performance so far has been great, long battery life, excellent screen clarity and very good speed for what they are using it for.",Positive
2159,"upgraded ram by adding 8mb card, easy enough. | look for youtube on how-to upgrade ram video and follow instructions.",Positive
2160,4gb ram may cause some applications to slow down and highly recommended to add 4gb more.,Positive
2161,i wish it came with a microsoft word program but i will just buy that too.,Neutral
2162,"sleek, lightweight adequate processor and storage.",Positive
2163,i tested on apex legends (the main game i play) - 300fps on ultra graphics without even so much as a hiccup!,Positive
2164,easy to add in extra ram and memory to make it even better.,Positive
2165,build and performance is good.,Positive
2166,i had downloaded chrome and a gaming program and i received a low memory message.,Neutral
2167,$22 for 4 gig of ram and 5 minutes of your time and bam double the memory.,Neutral
2168,"great gaming laptop, it has a powerful gpu, rtx 3050ti which i found performance well in gaming",Positive
