,Battery Sentences,Battery Polarity
1061,ran it without the wall charger and it looked like 5 to 6 hours of battery life.,Neutral
1062,it also has some of the worst battery life ive seen ever. | i was only able to barely squeeze 2 hours of it on battery while only browsing the web.,Negative
1063,"it is light, thin, and has excellent battery life.",Positive
1064,i have not tested battery life but read quite a few other reviews and know not to expect beyond 4 hours of it (and that is non gaming hours).,Negative
1065,it is always battery issues too,Neutral
1066,i also recommend for the speed and battery time ( 7h to 10h),Neutral
1067,it works fine battery life is horrible from fully charged to dead in 30 minutes.,Negative
1068,there is also the option to save power or to run games at a higher performance with the battery slider.,Positive
1069,"the battery usually stays charged throughout the day, even when the power mode is set to 'best performance'.",Positive
1070,"i purchased based on the reviews for battery life, screen quality and speed.",Neutral
1071,had computer plugged in all night when i got it and woke up to 0 battery.,Neutral
1072,"i ordered this laptop at the end of february 2020, it has been hardly used, and the battery already needs to be replaced.",Negative
1073,"the battery life seems pretty decent, it said i had 4 hours left at 80% battery, but there is an option to either maximize battery life or maximize performance (through a slider bar) and i would imagine i could likely get at least 8 hours out of this on max battery mode.",Positive
1074,"ok so i have posted this as a question but im also adding it to my review [so has anyone noticed when they opened it, there battery says, "" if you can see this label do not use this battery.""]? | so far it is a good laptop, i plan on keeping it plugged in most of the time so i keep the battery at 80% and everything besides just updating the drivers & adding a 2.5 ssd i have not tweaked anything in the settings yet. | but when i opened it to add the drive i noticed the battery had some writing on the side.",Positive
1075,"love this tablet, nice size screen, keyboard is nice and battery life is perfect.",Positive
1076,have not to this point tested battery life.,Neutral
1077,"easy set up and decent battery life, very responsive with no lag.",Positive
1078,battery life is very good so far.,Positive
1079,battery life though different story. | definitely use battery saver.,Neutral
1080,battery life is very good so far.,Positive
1081,"this laptop is a awesome purchase... upgrade it with 16gb and installed an 1tb hdd, very smooth limited bloatware and it comes with 1 month of office 365.. you would have to install your own antivirus program (does not come with one) but this laptop fast with the upgrade... just a bit disappointed with the battery life, despite changing the settings it will still be 4 hours not ""7"" as claimed.",Positive
1082,"yes the charger brick is chunky and the battery life is not on a macbook's level, but it is a great machine for the price and i think i got what i paid for.",Positive
1083,battery lasts all day.,Neutral
1084,"battery life is short lived so if you are a gamer, bring the charging unit.",Neutral
1085,"easy to use, long battery life, just what i need for work at home and travel to office.",Positive
1086,"i need to replace the battery,it is only charging up to 8%. | according to the diagnostic battery check it is saying battery needs to be replaced.",Neutral
1087,battery life not as long as stated.,Negative
1088,had this computer for over a year and no longer holds a charge when trying to charge the battery.,Neutral
1089,"otherwise, it goes into a battery saving mode so the performance while gaming starts lacking.",Neutral
1090,"but i find it is small size, lightweight and good battery life make it very convenient to use when you do not really want to haul around a full size laptop.",Positive
1091,the only thing i do not like is the battery drains fast.,Positive
1092,"i love how easy it was to set up, it is lightweight, long battery life and a awesome value for my needs.",Positive
1093,well with this laptop it runs well and everything but the fan makes a loud noise and the battery dies fast :(,Negative
1094,"i was dissatisfied, display resolution was lacking, battery life, etc... looked at the new macbook air and purchased it.",Positive
1095,"she is loves how it looks, that it is touchscreen, she can do all her school work on it and the battery life is great!",Positive
1096,"overall, it has good performance and a good battery life.",Positive
1097,"if i had one thing that bothers me it only has about 15 hours of battery use before charging is necessary, but that is the price of fast, is not it?",Positive
1098,no real complaints on this laptop other than the maybe the battery life.,Negative
1099,"also, the charging cord would not charge the battery.",Neutral
1100,"great laptop can run most game on ultra settings, battery life has room for improvement but that is to be expected considering the power running under the hood.",Positive
1101,"the battery life is great, and so far i have had no issues.",Positive
1102,its a good computer cabale of doing lots of work and the battery life is superb.,Positive
1103,"but - battery life is out of this world, with the cpu temp sitting at 36c!",Neutral
1104,after 5 months the display will not turn on i tried troubleshooting and resetting battery nothing works.,Neutral
1105,"i had concerns about not have a newer gen intel processor but after using this and seeing the battery life, i will not look back and buying more apple products with this processor.",Positive
1106,"the battery life is incredible! | using it off and on, for an hour or two at a time, i can get a week or more out of the battery without having to ever charge it. | i have left it on for, four days, while using it and letting it go to sleep, and i can still get 5 days of use out of the battery.",Positive
1107,"not sure about battery life, as i just purchased.",Negative
1108,"for the price i got for this laptop ($429 not including tax) you are not going to find a better performing laptop, screen looks great since it is a 1080p ips screen, only thing that might be a issue is that battery runs out pretty quickly so just be aware of that.",Positive
1109,the battery life is not very good though.,Negative
1110,"it has a long battery life, is extremely fast to start up and navigate and has a beautiful (and large) hd screen.",Positive
1111,"to avoid this you need to change a few settings but then the computer will always be on, killing the battery life.",Negative
1112,i have not used it on battery yet,Neutral
1113,lightweight and good battery life.,Positive
1114,"it was doa right out of the box, no juice in battery, charger no help & no lights and would not turn on.",Positive
1115,"the battery lasts quite awhile, the screen is great quality, and it is perfect size/weight.",Positive
1116,i have only had this today but have used for hours already and no sign of battery usage at all.,Neutral
1117,"i am in college and just needed a nice decent laptop i dont game or anything just need internet and good battery, this laptop is nice size, lightweight and i love it, its got the bread and butter of what i need great for the price!",Positive
1118,excellent battery life.,Positive
1119,"the screen is beautiful, keyboard is easy to use, battery lasts a good while, it is light , it is portable and it is quite thin.",Positive
1120,it does get a little loud and the battery is not the best.,Positive
1121,"reports of doa were indeed true, i charged the battery for 12 hours, computer was still lifeless.",Positive
1122,the battery lasts a lot longer and the graphics allows me to play some of the latest games with little to no issues.,Positive
1123,"amazing battery life and a decently powered processor. | not only does it last a long time, the battery charges stupid fast.",Positive
1124,full charged battery just last a couple of hours.,Positive
1125,just note it does get pretty warm some may even say hot but hey its a slim laptop with high end hardware that is expected and for the battery life not the best but again gaming requires decent amount of battery any gaming laptop will drain power quickly plus when not plugged in performance is automatically throttled down a bit and its listed as a 8 core processor but if you look up i7 11370h its a 4 core but it is still a good snappy processor,Positive
1126,the battery life of 7 hours was a big improvement compared to only 4 hours on my old one.,Positive
1127,my only complaint is the battery life.,Negative
1128,"you are getting a good gaming laptop for sure, but the battery life is not good when you are playing a game for more than an hour.",Positive
1129,"this is almost identical in looks, although larger screen size and much better battery life as well as a faster processor make it a really good upgrade that should last for a good while.",Positive
1130,do not get me started on the battery life... its awesome.,Positive
1131,"this is a decent laptop for the price, good battery life, nice and quick to do what you want to do.",Positive
1132,this machine is lightning fast with a very long lasting battery!,Positive
1133,battery lasts for days and the touch screen is really nice to.,Positive
1134,"the laptop does however have excellent battery life, overall it is a cheap chromebook and my 8 and 9 year old kid like it, and very good laptop for them to use for school.",Positive
1135,"honestly this computer is a waste of time and do not buy it, unless you want a laptop lifespan it is only last year two three hours if you are working, and i even if you shut it off and not touch it, the battery will drain regardless.",Positive
1136,"perfect for students, has long battery life, great display quality and can run almost every student level software",Positive
1137,the laptop is very light but the only downside i ever felt with this laptop is its battery life. | i hardly get around 4 hours in super battery saver mode.,Positive
1138,"battery life is great, touch screen is awesome.",Positive
1139,"i wanted something thin, small, light, with good battery life.",Positive
1140,the battery life is excellent and charges fast.,Positive
1141,"lightweight, blazing fast, easy to use, battery life is incredible with the new apple m1 chip.",Positive
1142,"the battery life is ok, it could be better but when you max the laptop it would obviously use a lot of battery.",Positive
1143,"and the letters in 1 corner of the keys are too small when someone who has to hunt and peck uses the laptop :) the battery does not stay charged as long as it says, but i have never had a laptop that did.",Positive
1144,"10/10 recommend, battery life is fantastic i charged it when i first got it & it is still at 97%",Positive
1145,"it is a tad loud but it is a gaming laptop and expected, same with battery life.",Neutral
1146,it is great for the price but the battery doesnt last long at all.,Positive
1147,"in addition, the battery life is not as great when unplugged.",Positive
1148,"the only disappointment is the battery life. | i would expect a basic laptop to have decent battery life since i do not have a lot of apps and do not use it for a lot of high power usage tasks, but between streaming soccer 50% of the usage and just surfing the web for the other 50% it seems to average about 4-6 hours. | now like i said, i have not had a new laptop in a while, but i remember they had that battery life 14 years ago so i think i just expected far better 14 years later.",Negative
1149,"she loves the sleek white color, long battery life, the graphics, speed and responsive touch screen.",Negative
1150,"it is beautiful, the battery lasts forever, it was quick to set up, easy to use, and lightweight.",Positive
1151,the battery life of 7 hours was a big improvement compared to only 4 hours on my old one.,Positive
1152,loaded manjaro architect with the latest kernel and get battery life of 6 hours!!,Positive
1153,"watched a youtube video on how to install, and it went in flawlessly (*make sure to disconnect all power before installing, including the internal battery cable!!",Positive
1154,"1. the battery dies fast even while playing small, less demanding games and can clock in at less than 2 hours before needing a charge again.",Negative
1155,the battery lasts as stated (i believe 6 hours) and it is not heavy to easy to transport.,Positive
1156,"i ordered this laptop at the end of february 2020, it has been hardly used, and the battery already needs to be replaced.",Negative
1157,"the battery charged up super quick, and the thickness of the entire laptop is amazing.",Positive
1158,this is a great computer for the price had a little proplem streaming at first did not take out of s mode i let the updates catch up sat over night everything streamed perfect now did not have to lose mc caffee antivirus or extra malware protection do not take out of s mode it will be worth the wait for the updates to catch up would defintily buy again great battery life also thanks amazon,Positive
1159,the battery life lasts about 2 days with me and everything that i do on it.,Neutral
1160,the battery life is the biggest thing that is not the best on the laptop. | if it is not plugged in when it is on the last bit of the battery it is very slow.,Positive
1161,"very fast, long battery life.",Positive
1162,blows standard laptops out of the water with battery life.,Neutral
1163,battery life is great as well.,Positive
1164,the battery lasts a great amount of time and he has had zero issues so far.,Positive
1165,super fast laptop with great battery life.,Positive
1166,battery life seems really long.,Negative
1167,the first one that came the battery discharged faster than it charged when running photoshop/lightroom.,Positive
1168,"battery life is good, and since i use it in the field, this is the most important.",Positive
1169,"the battery life is really better than i imagined, exceptional.",Positive
1170,"i have not used the laptop long enough to drain the battery in one go, so i am not sure exactly how long the charge lasts, but it is at least a few hours.",Negative
1171,the battery life even if downloading is incredible.,Positive
1172,battery life is lousy,Negative
1173,"the only disappointment is the battery life. | i would expect a basic laptop to have decent battery life since i do not have a lot of apps and do not use it for a lot of high power usage tasks, but between streaming soccer 50% of the usage and just surfing the web for the other 50% it seems to average about 4-6 hours. | now like i said, i have not had a new laptop in a while, but i remember they had that battery life 14 years ago so i think i just expected far better 14 years later.",Negative
1174,as for the battery life it does last about a whole day and then you would need to charge it but it depends on what programs you are using and on what power mode. | i always have mine on best battery life.,Positive
1175,it has amazing battery life which is perfect for going to class without needing a charger and can literally play any game i throw at it.,Positive
1176,battery life not as good as i thought other than that one good laptop.,Positive
1177,"fast enough for common use and the battery mas a lot, i have to charge it every three or four days.",Negative
1178,"it is fast and smooth at everything it does, the keyboard is quiet, and battery life is about average.",Positive
1179,"my one issue is that the battery life is not as long as i would like it. | and since i was at a conference, i needed the extra battery life.",Negative
1180,"after resetting the battery via the power button as suggested in the acer forum, the problem persists.",Neutral
1181,"awesome for school, great battery life and also it can run some games well.",Positive
1182,"even though the battery did not usually last long, in this case, when i needed it to die (because, according to tech support, it was my only hope of getting it going again), it would not die.",Negative
1183,i am not sure how great the battery life is yet as this is my first day with it.,Positive
1184,had for only a year and the battery no longer maintains a charge.,Neutral
1185,i used the product for college classes i can say the battery life is awesome!,Positive
1186,"the battery will last me 12 hours of gaming, something i did not think was even possible out of a high-performance laptop.",Neutral
1187,"battery life is great but then again i am not on it everyday/all day but when i need it, i just open the lid and it is on and working.",Positive
1188,"long battery life, super fast processing speed, cool fanless operation, lightweight, high build quality.",Positive
1189,"the ips screen looks great, the keyboard lights up in different patterns, the battery life is ok, not great, but considering it is a gaming laptop, it does fine.",Positive
1190,"easy to load internet and other features, light wt, good battery",Positive
1191,"despite these drawbacks, the battery life is insane and the machine is completely silent because no fan is needed since the laptop is so heat-efficient.",Negative
1192,what it lacks in battery life it makes up for it in quick charge but the battery is pretty decent.,Positive
1193,but the battery can drop super fast when i have it running… have not tested it without.,Positive
1194,i returned because the battery duration is horrible! | when doing that the battery lasted no more than three hours. | the seven hour battery life is false advertisement.,Negative
1195,"i am still getting a feel for the battery life so i cant comment too much on that, but the battery lasts a while and it seems to take about 2-3 hours to charge it empty to full.",Positive
1196,it holds battery life all day and is easy to take in tight areas like cars or trains.,Positive
1197,excellent battery life and great value.,Positive
1198,the touch screen does not respond the keyboard does not respond i cannot even turn it off i have to wait for the battery to run out.,Neutral
1199,battery does not hold a charge for a long period of time.,Negative
1200,"this laptop is great all around, it charges fast, screen brightness is great, speed, battery life, and portability.",Positive
1201,"easily to set up, battery life is work good…& the size works great for me",Positive
1202,"great overall laptop, powerful chip,nice screen, but not that bright (will be enough for indoor usage) battery is ok` will be enough for 2-3 movies pretty good build quality, great keyboard.",Positive
1203,had this for a few months now and i have to say the battery life is impressive.,Positive
1204,"as a reference, this cpu runs cooler than my intel i10 counterpart and has better battery life.",Positive
1205,"i noticed the battery was not lasting as long as expected when not connected to power, so noticed that fully charged it measures just 3.25 hours when the spec indicated it would last up to 7.5-- and that is without power. | when i called acer chat, she kept advising me of apps, and uses which drain the battery. | after explaining, in writing, that this was not a battery use issue and getting the same feedback about draining apps/uses, i asked to be elevated.",Negative
1206,"battery life is not the best, but that expected from this kind of laptop and i would recommend getting yourself a cooling pad to make sure it does not overheat.",Positive
1207,"the battery life is reasonable for this system; the ""silent"" mode keeps things quiet & cool for non-gaming and non-video/audio production tasks. | ""performance"" mode (predictably) runs the battery down quickly but this mode is best used when connected to a power outlet.",Positive
1208,i love acer aspire 5. the only thing i do not like about it is the battery life. | i have been on mine today for 45 minutes and the battery is already half full.,Positive
1209,the battery life is not that long.,Negative
1210,the battery port defected.,Neutral
1211,"i initially had a concern that the laptop was not charging properly, but using the battery controller reset on the bottom seems to have solved the problem, it has been working well for several months now.",Neutral
1212,"the battery life is poor and it cannot go more than two hours of use without being plugged in, and in video games it performs significantly worse unplugged than plugged in. | it is a good investment if you are not too concerned about battery life.",Positive
1213,"spectacular battery life, incredible display, tactile keyboard and haptic track pad with all its' gestures and features which makes multitasking a wonderful experience.",Positive
1214,battery life is better than most products charge really fast.,Positive
1215,"the only negative i had with this computer, and the reason i have since returned it, was the battery life is horrendous.",Negative
1216,"when using battery power you do not get an alert for low battery, the computer screen randomly turns black stating locked then computer completely shuts down!",Negative
1217,"battery is reasonable, depending the use and screen brightness, it can go 6hrs.",Positive
1218,before you buy do you research it is a good laptop but many people have had problems with the battery stops charging within the month i had it i had to send acer get it fixed bummer.,Positive
1219,"the battery lasts about 2 hours for me when editing a video, and i would assume gaming would be even less, but let us be honest... if you are going on this thing you are going to have it plugged in.",Positive
1220,"i just got this and already wifi problems, low battery life",Neutral
1221,great battery life!,Positive
1222,"the battery lasts about an entire day, and the charger that comes with it is super high quality.",Positive
1223,battery life seems really good as well.,Positive
1224,mouse pad is jumpy and the battery life is horrible.,Negative
1225,"the m1 cpu performance and battery life for the macbook air m1 easily exceed those of my dual core i7 windows laptop and tablet. | also, the macbook air m1 performance seems the same whether on battery or ac power unlike my windows devices.",Positive
1226,battery life is amazing for all day work as an online teacher.,Positive
1227,i bought this computer to install a tune on my car it is excellent for this because it is very portable the battery lasts a long time and it downloads and uploads quickly,Positive
1228,"the best thing is that the laptop is upgradable, the 2x ram, 2x ssd, wi-fi and battery are easily accessible without voiding warranty, yes lenovo allows those upgrades so do not worry.",Positive
1229,despite this i had planned to keep it and just deal with 1 monitor because of the cost savings over buying the intel based macbook pro and wanted the longer battery life.,Neutral
1230,"so i let the battery rundown, it shut down and after restart with ac power its run beautifully ever since, battery recharged, all is well.",Positive
1231,"battery life is not really being tested much in our use, so i cannot comment.",Positive
1232,"battery life is not that great, but the speed of this chromebook makes up for this minor shortcoming.",Positive
1233,the battery life is excellent and charges fast.,Positive
1234,"my only real gripe is the battery life, about 4-6 hours when using conservatively and 2-3 hours with settings turned all the way up (and i am not a gamer.",Positive
1235,i highly recommend temporarily taking out the screw on your right side of the battery to secure the ribbon clip. | then just readjust the battery and put the screw back in.,Positive
1236,"battery life is a bit low, but that is to be expected with such a powerful machine.",Positive
1237,"it replaced an acer aspire 5 slim, which was quite heavy, and had a battery that lasted five hours. | i had my macbook going from 8:30 am to 8:30 pm pretty much consistently, and it still had 55% battery life.",Positive
1238,i will say the battery life is pretty solid.,Positive
1239,"i love the backlight on the keyboard..i saw some people complaining that the backlight will turn off if you are not touching the keyboard, but that is for battery saving purposes, so it is fine. | battery life could be better, but it is still good.",Positive
1240,battery is surprisingly long lasting.,Negative
1241,"this is a great chromebook - it is durable (it is been manhandled by an overzealous and active 2nd grader, and used to death by a not-so-interested-in-learning 6th grader), has an impressive battery life, is lightweight, and charges quickly.",Positive
1242,"the only reasons i did not give it 5 stars are; the external hardware is nothing fancy, not bad quality just could be better, the battery is great for general use but for games it obviously drains fast, and the material the track pad is made of is not that great.",Positive
1243,"performance so far has been great, long battery life, excellent screen clarity and very good speed for what they are using it for.",Positive
1244,screen quality is good speed is good gaming is great however it does get hot and heats up and if you have to unplug it at a meeting the battery dies in 2 hours so the battery sucks,Positive
1245,"i like everything about the acer chrome book spin 311. i find the screen to be plenty bright , the speed of loading, the battery life,, all to be first rate.",Positive
1246,battery life about 2 hours.,Neutral
1247,great battery life.,Positive
1248,"with the 1080p screen and long battery life, i recommend this computer to any and everyone who needs one.",Negative
1249,battery life is good at max brightness and running tabs it lasts 3.5-4 hours for me sometimes a little less but a small step up from what i had.,Positive
1250,the battery life is amazing so far; it does appear to be 10 hours.,Positive
1251,"just wish....like all electronics, that the battery lasted longer.",Neutral
1252,"great battery life, very light weight bright screen.",Positive
1253,the battery life is extreme.,Negative
1254,"it has the lighted and very comfortable keyboard, touchscreen with stylus (built in), and great battery life.",Positive
1255,the battery goes from fully charged to 32% in 30 minutes.,Neutral
1256,it does not have a touch screen and the battery life seems a bit less than my former samsung.,Negative
1257,the battery life is great and works all day during work and at home afterwards before needing a charge.,Positive
1258,i was told i was going to get a new battery sent to me because every since i have the laptop it will only turn on if it is plugged in to the wall and i never received a new one..,Positive
1259,the battery life is fine for most of my school work i can normally run it from full for 1-2 hours depending on if i am doing work or gaming.,Positive
1260,"responds quickly, has good battery life.",Positive
1261,"after a month, i am very pleased with the functionality and battery life of this device.",Positive
1262,the battery could last longer but it does charge super quickly.,Positive
1263,"incredible resolution, speed, and battery life.",Positive
1264,"the keyboard randomly stops working, the screen blanks out regularly, it does not shut down properly draining the battery and will not turn on immediately once plugged in.",Negative
1265,the battery life is great and the only minor quibble with this machine is that the screen could be brighter.,Positive
1266,thought the battery life would be much longer.,Positive
1267,i have had my chromebook for 1 year and 1 month (bought june 2019) and the battery pack or charging port are already dead.,Negative
1268,"so the battery, screen resolution etc.",Neutral
1269,"easy to use, super fast, and impressive battery life!",Positive
1270,easy to use and long lasting battery power.,Positive
1271,it has a decent battery life retention given that i spend a straight 8-10 hours on it.,Positive
1272,this is perfect for school and the battery lasts longer than you would think,Positive
1273,"this is really great laptop but by design it is meant to slow down performance when on battery power which is normal for many laptops, however either acer or amd makes it way too slow for that and unlike some laptops there is no setting provided that allows you to change this.",Positive
1274,"i have a good gaming laptop, but the battery life is terrible.",Negative
1275,"the battery lasts a very long time, i have had it for 6 months now and the battery still acts like new!",Positive
1276,"my biggest complaint is that 1 month into owning it, the charging cable does not seem to work anymore and i am terrified for the day that the battery dies and i have no way of charging it after that.",Negative
1277,the battery stopped charging so now i have to use it while it is plugged in.,Neutral
1278,battery life is a bit fast draining but everything else works great!,Positive
1279,"after the return window with the second machine, it no longer charges the battery or runs with a charger plugged in. | so i cannot charge it unless it is unuseable and cannot use it low or out of battery.",Neutral
1280,"that is the only downside i can think of, and this newer machine makes up for it with far superior battery life and processing power.",Positive
1281,great battery life and my daughter uses it for school work.,Positive
1282,the battery stays at 0% and it does not stay on unless plugged in.,Neutral
1283,the battery life is fantastic.,Positive
1284,the battery efficiency is also really nice i must add.,Positive
1285,the only two things you should consider before buying this are: the área above the keyboard gets hot (depending on what you are running) and the battery life is not great (but that applies for every gaming laptop).,Negative
1286,the battery is poor. | even with no activity the battery runs down in less than a day.,Negative
1287,now if you do not run it at at full brightness and settings you can get a pretty decent battery life out of it.,Positive
1288,"works great, great battery life too",Positive
1289,"i really enjoyed my purchase of this laptop, everything works well but the battery life is not very good unless you use it for the bare minimum on the lowest power settings available.",Positive
1290,"i have not even had this laptop for a year & i have already had to send it in once because the battery stopped charging. | they replaced my battery & it worked again, for a while.",Neutral
1291,"light, sleek, long lasting battery, plug & play!",Positive
1292,i have owned this computer for 5 months and the battery will not charge.,Neutral
1293,"in addition, the computer randomly shuts off without warning, this happens on both battery and plugged in.",Negative
1294,one of the reasons i purchased this item for the battery life. | the specs state the battery life is 7.5 hours. | if i am lucky the battery in the one i purchased last 2.5 hours.,Positive
1295,battery was good.,Positive
1296,the battery lasts for maybe 3 hours.,Neutral
1297,battery seemed to charge quickly.,Positive
1298,"i knew going into it that the battery life was not great due to the heavy duty processing power, so that is no surprise.",Negative
1299,battery life is amazing.,Positive
1300,"the battery life is about 6-8 hours before it needs a charge. | after about six hours, the battery seems to decrease quickly. | it does not have the 18 hours as suggested; that is very disappointing, as now i have to carry a charger in the event the battery decreases significantly.",Positive
1301,still the battery life is decently good.,Positive
1302,"battery life is kind of meh, but overall its a great laptop!",Positive
1303,"not sure about battery life, as i just purchased.",Negative
1304,"the laptop is good, it has a tremendous screen, it is fast, perfect for those who use it for tasks and others, it overheats more than i expected, the battery lasts like 4 to 5, nothing to do with the 7 hours it shows in the description.",Positive
1305,"the battery health is on point, there wasnt anything that i disliked about it.",Negative
1306,"has a great battery, and screen.",Positive
1307,the battery has a long life.,Negative
1308,the battery wont last 24 hours.,Neutral
1309,"this computer acts like it is from years ago, the battery life is not too good.",Positive
1310,good battery life.,Positive
1311,"easy set up and decent battery life, very responsive with no lag.",Positive
1312,"tried replacing the battery, with no luck.",Neutral
1313,"there were 2 battery cycles, minor signs of use on the bottom, and the charger was obviously used but otherwise its in good shape.",Positive
1314,"i do however wish it was touchscreen, but it starts up very quickly, good battery life, and has a lovely screen.",Positive
1315,"and the letters in 1 corner of the keys are too small when someone who has to hunt and peck uses the laptop :) the battery does not stay charged as long as it says, but i have never had a laptop that did.",Positive
1316,and quality of screen and battery very good.,Positive
1317,"it is nice and light, has very good battery life, and the screen has a great picture.",Positive
1318,this laptop is perfect for mobile users that want a fast processor with plenty of ram and good battery life without the need for power hungry discrete graphics.,Positive
1319,"18 hours of battery life is not just marketing, the speed of the m2 is snappy and can handle much more than i thought it would.",Positive
1320,"boots fast, just wish the battery would last a bit longer.",Positive
1321,excellent battery life and screen quality.,Positive
1322,"the keyboard lights up and since there are no moving parts, battery life is quite good.",Positive
1323,"screen is very nice, touch seems to work without issues, processor is very responsive, and battery life is great.",Positive
1324,very easy to use and love the long battery life!,Positive
1325,"the battery also does not last very long at all and the laptop constantly overheats, causing the insanely loud fan to come on constantly.",Positive
1326,"thanks to the amd ryzen cpu, the battery life is awesome even with 8cores and 16threads. | there is even an nvidia graphics accelerator for playing games or video editing.. if you can part with some of the battery life.",Positive
1327,"screen is really crisp, battery life is good, and it is been really fast (startup, browsing, etc).",Positive
1328,battery lasts all day; strong wifi connection and great performance!,Positive
1329,"it is lightning fast, amazing image quality, does not get hot, and has a respectable battery life.",Positive
1330,"even the battery life is fantastic, as long as you do not have it running full load with the screen brightness at 100% the whole time. | under moderate use and with power saver on, i get a good 6 hours of battery life.",Positive
1331,"i was really surprised with how long the battery lasted, i lasted 3 days of school on 1 charge!",Positive
1332,the battery seems to run down rather quickly.,Positive
1333,battery life is exceptional.,Positive
1334,"i was a bit skeptical about the brand acer as i have always used dell or asus machines but this laptop has performed quite well considering the price i bought it for ($349.99), for that price you get a decent machine that has sturdy build quality, great battery life approximately 6 hours as indicated by the supplier (which is better than my $650 asus vivobook laptop that i bought 3 months prior).",Positive
1335,"new to apple and i l absolutely love mac os, i love the build quality, battery life cannot be beat, screen is absolutely beautiful, cannot find one thing i do not like about this beast of a machine.",Positive
1336,"the battery life on macbooks is always good, so i knew that would not be an issue.",Positive
1337,the battery life is similar to my previous laptops.,Negative
1338,it is so nice and battery holds 10 hours.,Positive
1339,nice size and battery really holds up well.,Positive
1340,battery life is really decent and so far the laptop is really dependable.,Positive
1341,"it is not bad for the price that there is only one bug that bothers me a lot and i do not know how to solve it, while i play the battery drains to such an extent that the game slows down its performance and it becomes impossible to continue playing when the battery drops below 20 % and that is connected directly to the battery to the current connector.",Negative
1342,"it has good build quality, a good cooling system and a decent amount of battery life.",Positive
1343,not to mention the screen gets really bright and the battery is also great.,Positive
1344,"i have owned macbooks for years, i went to a windows based device for a short time and sorrily missed the build quality, battery and keyboard!",Negative
1345,the battery life is ok (probably above average) if you keep your screen at 50-60% brightness.,Positive
1346,the battery life lasts for a long time.,Negative
1347,the only thing i dont like is the battery doesnt last long.,Negative
1348,"great sound, screen quality, long lasting battery and lightweight.",Positive
1349,"i called product support and they guided me through steps to uninstall microphone and reset battery, explained that it was a common problem related to some update.",Negative
1350,i got this chromebook only a couple of month ago and the battery stopped charging.,Neutral
1351,"battery life is awesome, averaging 8-9 hours of light to moderate use. | sure, there are more powerful laptops out there for the price at the sacrifice of weight and battery life.",Positive
1352,i leave it plugged in usually so i cannot fully comment on the battery life but supposedly it lasts 4 or 5 hours.,Negative
1353,the battery has a long life.,Negative
1354,"long battery life, ease of and i love the touch id.",Positive
1355,battery lasts for so long!,Negative
1356,"when i first got it it was okay, the battery life is not amazing.",Positive
1357,if it were not for those two things would of definitely rated a 5. it works well and battery life last long!,Negative
1358,"good sturdy laptop with high performance and battery life, good for business and day to day use",Positive
1359,battery life not what is stated.,Neutral
1360,the battery life is great.,Positive
1361,great battery life though.,Positive
1362,the battery stays longer and i also like it is light weight.,Positive
1363,the battery life last long enough to get the job done!,Negative
1364,you are also getting an upgraded battery.,Neutral
1365,the only downfall is the battery life especially if you are gaming still looking for an extended life battery that might fit this laptop.,Positive
1366,battery life is great.,Positive
1367,"charges fast, battery life is reasonable.",Positive
1368,"battery life is closer to 6.5hrs on a full charge (not 10), which is disappointing considering my acer chromebook that got me through 4 years of classes easily lasted 9-10hrs on a charge.",Positive
1369,"excellent battery, speedy, lightweight.",Positive
1370,"battery life is fairly long, but cord is very long.",Negative
1371,it runs games fairly well and looks amazing the only thing is that the battery life is not the greatest especially when gaming you will need to keep it on the charger and it does tend to run hot but that is to be expected from a gaming laptop,Positive
1372,better screen and better battery life.,Positive
1373,"very fast boot time, does not get too hot, charges quickly, and battery lasts about 5 hours of continuous use.",Positive
1374,"so light, battery life is astonishing.",Positive
1375,"battery life is not impressive even on eco, but with this much punch under the hood that is not too surprising. | i do not notice any battery drain while plugged in even when putting extreme loads on gpu and cpu together.",Positive
1376,went to try...it does not turn on...maybe the battery is dead ok...went to get the charger aaaand there is only half of it in the box!,Negative
1377,"i purchased this laptop last summer (~july 2020) and for the past year, has been pretty much what i expected for it is price- the battery life is solid, it is light and portable, has a nice screen.",Positive
1378,battery life is a lil low but it is a big screen- it is to be expected.,Negative
1379,"but one of the criteria to make a final decision when buying this particular item, was a battery life - it was promised at least 8 hr of off-wire. | also, when the laptop is on, the bottom part in the upper middle heats up too much - i guess it is where the battery is located.",Positive
1380,"battery life is the best i have ever witnessed, i just recharge this thing every other day, whereas my previous laptop would use three rounds of charge a day (and i had for just one year).",Positive
1381,"the product would certainly work well for gaming, so long as it is plugged in at all times, but i had needed the device to do productivity work as well where it would be running on battery power. | on the asus site the battery life is advertised at 16.6 hours while watching video.",Positive
1382,"it has great battery life, no heat, and is fast and versatile.",Positive
1383,it is battery life is not very good though. | i think this laptops only downside is the battery.,Negative
1384,getting 8+ hours of battery life surfing web and watching youtube.,Neutral
1385,"i was not expecting great battery life, so i am not disappointed there.",Positive
1386,the battery life is amazing and i have been able to complete work tasks easily.,Positive
1387,battery life not as good as i thought other than that one good laptop.,Positive
1388,"it is very durable and the battery lasts until bedtime, sometimes later.",Positive
1389,the screen and battery life is good.,Positive
1390,decent quality when on battery. | good battery life.,Positive
1391,very thin laptop and decent battery life so far.,Negative
1392,"so far 1 week in good battery last 4-6 hours on mid performance, high performance 3-4 hours low performance 7+ hours depending on the task your doing.",Positive
