,Display Sentences,Display Polarity
3375,"at a very competitive price point, you are definitely getting substantial upgrades to justify the “plus” moniker: a 2.2k screen with 300 nits, which provides excellent brightness and clarity; a 16:10 screen aspect ratio for more vertical screen real estate, very handy for power users.",Positive
3376,"it has a full hd 1080p display, high quality metal screen and is very light weight for the size. | once you configure the laptop, even after shut down, it will take less then 10 seconds to boot to the login screen.",Positive
3377,could not find a new tablet with the screen and features i wanted.,Positive
3378,screen is very poor quality. | the slightest extra pressure in a backpack in part of the screen goes dead. | then the rest of the screen flickers and does infinite image down repeating.,Negative
3379,the screen is bright and good quality.,Positive
3380,"the first one, i opened it one day and the screen was cracked and there were rainbow colors across the screen! | this time, in less than 5 months, the outside of the screen is cracked wide open!",Positive
3381,screen quality is good.,Positive
3382,the screen is a nice size and presents a clear image.,Positive
3383,laptop screen is crumpled.,Neutral
3384,but this one is a larger 15 inch screen so i would expect it to have some weight to it.,Neutral
3385,"bright screen, love the keyboard.",Positive
3386,two weeks after the screen starts glitching.,Neutral
3387,would love a touch screen or atleast the screen to be edge to edge and without the thick black edges.,Positive
3388,"i am sending my pixelbook back to bestbuy and staying with the spin 13. the only thing the pixelbook seems to have better than it is size and the display can get brighter. | but to be honest the brightness of the display did not really matter because i never rock out with the display on the highest setting anyway. | so at a normal setting for me, about 50%, the screen is just fine.",Positive
3389,i had this laptop for a couple of days when the screen started cutting out and going black for no reason.,Negative
3390,"the screen is crisp, but the colors are off (too vivid and orange toned, no night light is not on).",Positive
3391,within 6 months of purchase the monitors hinge has pulled away from the screen.,Neutral
3392,it does not have a touch screen but i have had it for 4 months and it is been fantastic.,Positive
3393,"has large screen portable, with decent speed, storage and many external ports. | cannot hand zoom the screen, but screen is plenty big enough.",Positive
3394,screen clarity is very good.,Positive
3395,"nice screen quality, ok enough sound (could be a bit louder) for what you get for the price it is great value.",Positive
3396,"my two complaints are, 1) the windows product key was not properly installed so i was locked out of some feature and had an annoying activate windows text floating over all screens at all times, and 2) the speakers are not great.",Negative
3397,the screen quality is amazing!,Positive
3398,having the touch screen is so helpful and it perfect for my job.,Positive
3399,"i am very disappointed, i waited a long time for this to come out, and it sure is pretty and light with a beautiful screen.",Positive
3400,"this laptop is awesome, first of all the build quality is allot better compared to my previous laptop legion y540, the keyboard is also one of the best my first time having an rub keyboard and i am amazed, screen quality is also really good, tested a few games and they run perfectly on this laptop with no issues",Positive
3401,the screen has no glare which is amazing.,Positive
3402,the screen has good graphics. | it was no problem at all to switch from s mode to regular windows 10. the screen is nice and large.,Positive
3403,"i wish it was a touch screen, but that would have increased the price.",Neutral
3404,all dark screen!,Negative
3405,"the screen is the perfect size, it is not too heavy but it does not feel cheap.",Positive
3406,better screen and better battery life.,Positive
3407,"i wish it would have lasted, it has a nice clear screen with touch capability.",Positive
3408,for these past 4 months has worked great as a simple college laptop or a convenient way to watch netflix in bed on a screen that is bigger than your phone.,Positive
3409,"no surprise here theres a huge dent visible from the outside and upon opening it, it is dented all the way to the screen.",Positive
3410,im very suprised by how fast this laptop is and how wide and great the screen is.,Positive
3411,"i purchased this laptop last summer (~july 2020) and for the past year, has been pretty much what i expected for it is price- the battery life is solid, it is light and portable, has a nice screen.",Positive
3412,great screen & trackpad is not garbage.,Positive
3413,"decent screen and performance for browsing, streaming, and doing basic functions.",Positive
3414,it was to replace a 10-year-old dell that she was complaining about being slow and having a less-than-stellar display.,Negative
3415,screen is fantastic and does every thing i need it to do.,Positive
3416,screen is awesome. | battery life is a lil low but it is a big screen- it is to be expected.,Positive
3417,i would have given 5 stars if it were not for the split i got in my screen as seen in the photo.,Neutral
3418,screen is great.,Positive
3419,the computer randomly jumps to an all black screen.,Negative
3420,"love the display, bright colors, nice resolution, everything looks crisp.",Positive
3421,now my screen is not being held up and i am not able to use this laptop.,Negative
3422,"laptop is not even three months old, and i have had to ""force shutdown"" twice within the last week since it froze up and immediately goes to a black screen.",Negative
3423,"i purchased this laptop and it dropped, but not a hard drop and the screen broke. | we had to replace it and did so with an original screen.",Positive
3424,"she loves the fingerprint reader, wide screen and the backlit keyboard. | the screen quality is not the best, but for a budget laptop, it is livable.",Positive
3425,"i received the chromebook today, it really is a great chromebook, build quality, screen size, fast setup, i would buy it again!",Positive
3426,another issue that i experienced was that the display settings would reset themselves every time you plugged it in out unplugged the machine.,Positive
3427,i like the thinness and the display.,Neutral
3428,"it boots in seconds, the touch screen works well and looks good plus the computer does not lag at all.",Positive
3429,"nice screen, metal chassis with ventilation slots.",Positive
3430,"the retina display is gorgeous, clear and easy to read.",Positive
3431,"the screen on this product broke two months after i bought it, without ever being dropped or damaged.",Neutral
3432,the screen looks great and can be very bright.,Positive
3433,"my screen turns black and freezes, or replicates and vibrates the images on it.",Negative
3434,"the screen popped up a red, vertical, dotted line 5 months after purchasing it new.",Positive
3435,"i liked it at first, but after a couple of months a grey line appeared on the screen and the hd started to make a noise.",Positive
3436,screen was broken as soon as i turned it on.,Negative
3437,"bought this in march of this year, now reach october and the screen went dead!",Negative
3438,"the rtx 3060 graphic card runs well along with the 144hz screen to play games smoothly at a decently high frame rate. | i did so, and while it most of the time works perfectly, there are intermittent times the screen goes blurry when the cursor interacts with something on the screen as well as the screen ""glitching out"" during this time.",Positive
3439,i have a screen issue that i cannot screenshot.,Neutral
3440,"other than that, the screen is nice and clear, keyboard is great and the tablet mode touch screen is good.",Positive
3441,it is exactly like an android phone just on a bigger screen.,Positive
3442,"i like the size, the touch screen, the fact that it can be used as an i-pad ...its just easier to travel with.",Neutral
3443,black screen of death with 2 of these computers !!!,Negative
3444,"i had to get used to not having a sd drive slot and no touch screen, but other than that it gets the job done.",Negative
3445,i do not put it through a lot of stressful stuff like high quality gaming but the screen is sharp and clear and the laptop is speedy and responsive.,Positive
3446,"the screen quality is great, but i had a little difficulty seeing the screen outside in a sunny area.",Positive
3447,large 15 inch screen.,Positive
3448,"i had read other reviews stating that the screen was not great, but overall ok. i would say that the screen is sub-par. | i knew this was not an ips screen, but having worked on other lcd screens, this one seemed even more difficult to look at. | the specs were good for the price point, and the build was average, but the poor quality screen was a deal breaker. | with screen technology improving so rapidly, i may have become a bit of a screen snob, but compared to other laptops in a similar price range, i felt the screen should be better than what it was.",Positive
3449,"i am not a gamer, so cannot answer to that, and this is not a touch-screen computer which i do not care about either.",Neutral
3450,"screen's nice, form factor is decent and performance is good.",Positive
3451,if your kid is tough on electronics i would at least get the gorilla glass screen protector.,Negative
3452,i received my new laptop with a line running vertically down the screen.,Negative
3453,this laptop is a decent buy with respect to performance and screen quality.,Positive
3454,"its format is perfect for my home office - easy to use, easy to read apps on screen.",Positive
3455,the screen and battery life is good.,Positive
3456,the screen is large and it makes working and doing projects much easier than other computers.,Positive
3457,"beautiful, vivid screen when plugged in. | did not realize it was not a touch screen, but it does not bother me.",Positive
3458,not a touch screen.,Neutral
3459,"after a month, it kept freezing with a blue screen error.",Neutral
3460,"the screen is amazing, back lit keyboard a nice feature and the bluetooth synchs with all my gear.",Positive
3461,"i would like a screen with somewhat higher pixel density, but it is nice and pretty sharp.",Positive
3462,"p s i bought a ibm a year ago, the touch screen is junk, dots that wont stop.",Neutral
3463,there is no power up on the screen or the keyboard.,Neutral
3464,the screen is crisp and clear and very beautiful to watch a movie on.,Positive
3465,"the screen is beautiful, the backlight keyboard is a great feature, it has a 10 key section and i love the sleek design.",Positive
3466,"received this as a christmas gift and have just started to use it - i shut it down properly every time - but after about a month it suddenly seems to ""power on"" but there is only a black screen. | or, if any of you 'techies' have a suggestion, tell me ~ both blue lights are on, i have done nothing different than i did on any other day, but now - black screen.",Negative
3467,"the screen is accurate, if your looking to upgrade.",Positive
3468,"it is not a touch screen, not sure why it says it is.",Negative
3469,"on the plus side this chromebook has a useful 4gb of ram, a sharp colorful ips screen, a touch screen that works great with android apps, a very responsive (for swiping) touchpad, and reliable wifi (much better than my hp laptop). | on the minus side, the white plastic shell looks and feels a little cheap, the screen is not very bright, and the touchpad's button feels a little clunky.",Positive
3470,now the screen completely went blank.,Positive
3471,the screen resolution is good for most tasks.,Positive
3472,screen is too dim for sunny outdoor paper writing.,Positive
3473,the screen on mine was not properly laminated in and i have to think it will eventually get much worse so i am returning it.,Negative
3474,"fast boot up, great 1080p resolution, expandable (added 4gb additional ram and a 1tb hd) and great value for it is $365+tax price point.",Positive
3475,"the display however, after about 6 month has a flack as if somebody has touched it with greasy finger.",Neutral
3476,use this laptop for work-no touchscreen-speed and battery life exceed my needs-acer brand has not let me down yet and this is my 3rd one-definitely recommend the brand,Negative
3477,one magic negative is screens seem to jump from window to window without prompt!,Positive
3478,the screen is now black the computer is not functional.,Negative
3479,when i turned on the laptop immediately the screen started to glitch it got to the point where you have to hold the top of the laptop at an angle so that the screen does not go black. | while it might be light weight& the battery life is good and a inexpensive option clearly it is got a lot of screen problems/inner hardware issues.,Positive
3480,i dont get any life on the docking unit's display port but works fine with the native onboard hdmi port on the laptop. | i think intel has been disabling display output via usb-c in their drivers. | however if i load an older version of the intel drivers i get display via usb-c. just something to think,Positive
3481,"secondly, after using it for a few days, it suddenly goes into a black screen and i am still struggling to get it to work.",Negative
3482,"well, upon arrival, i got a call from the service department saying that when they received my computer, the screen was cracked, and therefore the warranty was void. | i asked repeatedly how a closed, flat laptop, protected by that much bubble wrap, could possibly have had the screen cracked during shipping. | ok. so... all the time, people's warranties are voided because their computers arrive with ""cracked screens."" | it would have been literally impossible for my screen to have become cracked during shipping.",Negative
3483,"it is fast, the display is beautiful, it is easy to use and well worth the price.",Positive
3484,"i like the screen size and brightness, and while i rarely use the touch screen, it does work efficiently.",Positive
3485,"it does not appear to be capable for display. | i approached hp tech support with my issue, and after 2+ hours on the phone, no resolution. | after reading other amazon reviews, it seems i am not the only one who is discovered the uselessness of this machine's usb type-c. if anyone knows how to use the usb-c for display, i would greatly appreciate the feedback.",Positive
3486,"20 days after we received this laptop, the hinges holding the screen onto the body of the computer broke.",Neutral
3487,"screen, stereo, video quality and sound quality is ok so-so not too great not bad either.",Positive
3488,good speed and the screen is large enough for everyday web surfing.,Positive
3489,screen quality is awesome and antiglare is great.,Positive
3490,after 8 months the screen went black. | there was not a scratch on the screen.,Negative
3491,when she turns it on the screen will not illuminate and it gets very hot on the bottom.,Positive
3492,"i turn the laptop on and it freezes on the login screen for 10 mins, it randomly crashes and blackscreens while i am doing homework, and when it does work, i cannot go more than a minute without windows 11 giving me a popup for more bloatware it wants me to buy.",Positive
3493,"the screen is great- wide screen is so much more functional than my old laptop, but the quality is just not what i have been accustomed to.",Positive
3494,screen looks great.,Positive
3495,"quick, nice screen, great feature set.",Positive
3496,he was so excited to get it.then come to find out it turns on but you cannot see the screen.,Positive
3497,the screen is really pretty.,Positive
3498,"the screen is great on my unit, especially with the thin bezels thought it does have a noticeable chin with the asus logo.",Positive
3499,"slim and light, upgradable ram and storage, fast ssd, 15"" 1080p screen, and long battery life, this machine has great value. | the only gripe i have is that the screen could be slightly brighter.",Positive
3500,its screen fell apart in 120 days.,Neutral
3501,"the screen is big enough to comfortably watch movies and shows, but you will need earphones or a speaker to hear anything.",Positive
3502,"i did not realize this was not a touchscreen and that sucks because i do not see well anymore, but for 100 bucks, why get anything else?",Negative
3503,worked fine for 3 months but once that 4th month hit its just black screen no power.,Positive
3504,"the screen stopped working , do not know why i bought it in the first place",Positive
3505,"i had to get used to not having a sd drive slot and no touch screen, but other than that it gets the job done.",Negative
3506,the screen resolution is beautiful.,Positive
3507,"the screen quality is good, it is light weight & easy to carry around.",Positive
3508,i thought it was touch screen. | you must have too since you wanted me to review the touch screen…,Neutral
3509,"bought it in jan 2020. about a week afterwards, i got the first black screen. | a few weeks later, another black screen.",Negative
3510,"the colors looks great and even though the screen is smaller than my old laptop, the quality is still pretty amazing.",Positive
3511,light weight and has a touch screen.,Positive
3512,"my last laptop (dell) cost $900 vs new $189 new chromebook--that is faster, has better screen quality, has incredible battery life and is less bulky.",Positive
3513,"screen is large with good quality picture, sound is a bit weak but good enough considering it is a slim case laptop for such a great price point.",Positive
3514,"however, after less than six months the screen is detaching from the rest of the computer.",Negative
3515,along with its long computer time and screen life,Negative
3516,the slim flys and the screen is clear!,Positive
3517,"touch screen is very reactive, and ssd is fast!",Positive
3518,"i have used it with an attached monitor, and with its own native screen. | that screen is bright and responsive and with the included high end cpu and gpu, games play great.",Positive
3519,"the costco laptops were intel powered i3 and i5 machines with the same 250 nits 14"" fhd screens, ssds and backlit keyboards.",Neutral
3520,"incredibly happy with this laptop already on day 1. beautiful colors, incredibly fast, and colorful screen.",Positive
3521,screen resolution seems good.,Positive
3522,it sucks first day of receiving the screen blacked out on me i would have to battery restart it every time i wanted to use it,Negative
3523,the display is wonderful.,Positive
3524,"it does not game, it has no touch screen but the visuals and the effort into creating the almost perfect man/woman who wants it there and then?",Positive
3525,gotten hooked on the touchscreen.,Neutral
3526,had it less than a week and started having display problems.,Negative
3527,the display is great.,Positive
3528,i received two and both did the same thing and screen scrambled with black little boxes and i use it for school only.,Negative
3529,"the screen quality is amazing, it is very fast and does everything i need it to. | i was very surprised with the screen clarity while watching netflix.",Positive
3530,if you just log it takes you back to the start screen but i like to turn my computers off when i am not using them.,Neutral
3531,"just a nice all around laptop, great at playing the games i love and stunning screen display for the graphics and netflix nights!",Positive
3532,java script cannot be down loaded and when i zoom the display is not that great .,Positive
3533,the machine is great looking and the screen is very nice.,Positive
3534,i bought this for the superior screen in the description. | it says 4k and it is just a basic 720p display.,Positive
3535,smaller form than the macbook air it replaced but screen size was the same.,Neutral
3536,the screen size is more than adequate and the definition is crisp.,Positive
3537,"actually, the height of this screen is the same as my 17 inch pc!",Neutral
3538,"have not used it enough to really rate the touch screen but i do love how it will lay down flat. | i have not had a computer in a while, i have been dependent on my iphone so it is nice to have a big screen.",Positive
3539,"do not appreciate how i received a used macbook with fingerprints on the screen. | they tried to put the film back on the screen as it was originally, but it was not stuck to the screen as it should have been. | i went and bought one locally and it was brand new no fingerprints and the film was stuck to the screen as it should be because that is how apple packages it.",Positive
3540,15” screen is good too.,Positive
3541,"first time, it needed a new board and screen.",Positive
3542,the first one i received had a badly damaged screen.,Negative
3543,the display is great and it looks nice.,Positive
3544,"since it will cost $140 to replace keyboard, you are left to either buy another chrome book or go with touchscreen or secondary keyboard.",Negative
3545,honestly my only compliant with this little laptop is the lack of touch screen.,Negative
3546,did not know it was a touch screen,Neutral
3547,"as my first laptop (have been using desktops forever), i am impressed at her boot speed (literally seconds) and screen resolution.",Positive
3548,screen graphics are very bright and sound quality is great.,Positive
3549,"the plastic frame around the screen buckled, bowed and unsnapped (it is a two pc plastic frame front and back a that snaps together around the screen, and may be glued together but not molded together. | for the plastic screen, i could at my cost mail it back to acer and they would fix it , and it may be at a cost to me if determined not to be their defect, and my damage, that is understood as i did not damage it) but that i would be without it for up to 3 weeks.",Neutral
3550,now after the last update the screen freezes daily and i get a blue spinning circle and a black screen.,Negative
3551,"the screen is surprisingly high quality and the general specs are pretty impressive. | sure it is a lil plastic-y on the bottom and around the screen, but it is not a $1000 computer so no complaints.",Positive
3552,the back is loosing off after just a month of use and the screen has started to jump from time to time.,Neutral
3553,the display is small and makes focusing on media for any prolonged period a difficult task.,Negative
3554,"the screen is larger than my old laptop, but the computer is not huge. | i am really glad it has a touch screen!",Positive
3555,"unboxed and booted up and as soon as the blue screen turned on, i noticed a few small white vertical lines (dead pixels? | )n the left side of screen.",Negative
3556,day1...it froze and the screen went black at least 15 times over 3 hours of use.,Negative
3557,"the screen is very nice, high quality.",Positive
3558,screen quit working after few weeks.,Negative
3559,i was disappointed because i thought it was a touch screen and i thought it would have lighted keys but it did not have either! | it has a great looking screen display but the speakers are weak and the battery does not last long at all.,Negative
3560,error screens began a month into ownership.,Neutral
3561,the screen quality is great. | the touch screen however i had to rate a 4 star. | once in awhile i have to tap on the screen a couple times for it to register. | it has not been dropped and screen is clean. | so cannot figure out why the touch screen is doing that.,Positive
3562,the screen broke after 3 weeks of use.,Neutral
3563,the screen quality is amazing!,Positive
3564,"i have only used it a few times since purchasing it but i noticed that the few times when i did use it the screen would go out and would not come back on, of course the 30 days had passed or else i would have returned it right then.",Negative
3565,screen clarity is very good.,Positive
3566,"was a bit of a hassle setting up a color profile to change the yellowness in the screen, but it ended up looking just fine.",Positive
3567,"the screen is high quality, it is lightweight, and the price is reasonable!",Positive
3568,"love the laptop, great screen, easy to upgrade ram, battery died 4 months after purchase, have to return the laptop to repair and pay about $40.",Positive
3569,"battery life is fantastic, screen is nice and large, mouse pad is perfect and the unit is very light.",Positive
3570,nice laptop but the screen glitches a lot when playing a game like roblox.,Positive
3571,seems like the lid/screen is flexible so i open it with care.,Neutral
3572,i love the touch screen and the fact it folds backwards.,Positive
3573,"stunning screen, blacks are black, colors bright.",Positive
3574,"the setup took all of about 5 minutes, but was super easy to connect to my wireless printer, screen quality is nice!",Positive
3575,my son loves it very fast and very good resolution.,Positive
3576,"if you are not looking at the screen you could be typing over previous work, deleting work or even typing in a different email.",Negative
3577,like the size of the screen.,Neutral
3578,"i really like the load times, screen quality, and basic functions on the keyboard.",Positive
3579,"this laptop is sleek, quick and has a really clear screen.",Positive
3580,"with the 1080p screen and long battery life, i recommend this computer to any and everyone who needs one.",Negative
3581,"i have been delighted that it is perfect for what i need, brilliant screen, and fast.",Positive
3582,"great picture, no touchscreen and i am not sure about gaming though daughter does not use it for that.",Positive
3583,"only after 6 months of usage, the frame containing the screen suddenly broke and i cannot even close the laptop.",Neutral
3584,"super loud fans, screens and size are good but extremely bad bottle necking with the terrible cpu and 4 gigs of vram.",Negative
3585,i purchased this strictly for remote access and will continue to use my surface tablet for personal use since the touch screen is a nice feature.,Positive
3586,screen is nice and big so it also works really well to watch your favorite programs. | my problem began a few months ago when a tiny part of the plastic broke on the right bottom corner of the screen. | but the last 2 months of use it i have needed to prop something heavy behind the screen to hold it up because otherwise it just falls and breaks even more. | anyway when i was trying to fix the sockets that popped out of place i guess a wire that was exposed ripped or something because the screen no longer turns on sadly.,Negative
3587,"the screen and battery life on this thing are amazing. | my previous laptops had terrible screens and had a max battery life of about two hours. | the one thing i will say is that frequently in order for me see things most of the time, i need the screen cranked up past 50% brightness most of the time.",Positive
3588,i gave it 4 stars because it does not have too much ram and the screen quality is not like amazing but that is expected for the price.,Positive
3589,my screen is new in the box and seems to have these light spots in the top. | only visible on black screens.,Positive
3590,the screen does not get as bright as i would like.,Positive
3591,"thin, lightweight, a bright colorful screen.",Positive
3592,"you will not be able to power them up, the screen will be blank, etc.",Positive
3593,"when i started the computer, the screen said that windows 11 was installed.",Neutral
3594,"showed up well packed, but not full of garbage like most computer products, externally has a clean solid look, the screen is beautiful, the speakers sound great (for a laptop of course) and the performance is screaming fast with the rtx 3070 graphics.",Positive
3595,"the screen is odd, with a thick black border that is distracting.",Negative
3596,when powered up however the screen did not work. | if you shine a light on the screen you could see that there was in fact something on it but it was too dark to see and the brightness did not adjust.,Positive
3597,"it is very fast with a sharp hd screen. | the hd screen is sharp, clear and an absolute bargain in this price range!",Positive
3598,"it is a very slow, downgraded computer with touch screen that only reliably works with your fingers.",Negative
3599,we have had it 5 months and realized the back of the screen is cracking. | not sure how long it will be before it will mess up the screen itself.,Negative
3600,"i actually bought an hp that had all the specs i wanted, but it did not have an ips screen. | i returned that laptop because of its poor screen. | i did a great deal of research and it was apparent that the manufacturers like to throw out specs that come close, but did not include the ips screen. | and it is the ips screen that makes a laptop a standout.",Positive
3601,"the best way to get the battery to last is, as is most devices, turning the graphics, screen brightness, and fan speed down.",Positive
3602,"it boots fast, opens programs fast, has a comfortable and quiet keyboard - which has a separate number keypad, the screen is beautiful, and it can play any game out there.",Positive
3603,this computer was extremely fragile my wife picked it up from the screen and it broke .we sent it back and they said the warranty did not cover the screen and the cost to fix the screen was more than what the computer was worth it was only one week old,Positive
3604,"i love the large, clear screen.",Positive
3605,beautiful screen and i received it a day early!,Positive
3606,it does not have a touch screen but i have had it for 4 months and it is been fantastic.,Positive
3607,"the screen is big enough to comfortably watch movies and shows, but you will need earphones or a speaker to hear anything.",Positive
3608,"i love the sleekness of it, just wish it was a touchscreen.",Positive
3609,it is not touchscreen but other than that i have no complaints.,Negative
3610,the screen is bright and all the colors are vivid.,Positive
3611,the screen and battery life is good.,Positive
3612,display is excellent.,Positive
3613,1080p display.,Neutral
3614,"works great for a second screen, nice and compact.",Positive
3615,"i bought this for a friend, easy set up, just type your google email and everything is already there, when u login its very fast, i like the touchscreen feature, u can used it as a tablet too, its well build, the size it perfect, not to big not too small, i was on the whole day and the battery did not die on me, in fact i still have a lot of juice left.",Positive
3616,"i specifically put into the search on amazon that i wanted a touch screen, this laptop came up as having one. | it is not touchscreen. | this computer is okay but honestly all laptops should have a touch screen because it is such a pain going from my other devices to this.",Positive
3617,the laptop screen was craked and i am still waiting on a return label to send back to get a replacement.,Neutral
3618,"if i had known how sensitive the track pad is when moving the cursor across the screen,i would not have purchased it.i went into the settings and put it at low sensitivity and that did not make any difference.that alone is a deal breaker.i will be selling this laptop hopefully soon.it absolutely drives me crazy,becasue as your cursor goess from sise to side or up and down,it opens up pages,screens etc......there is nothing you can do about it,period.",Positive
3619,"just received computer acer aspire 5 a515-46-r3ub | 15.6"" full hd ips display | amd ryzen 3 3350u quad-core mobile processor | 4gb ddr4 | 128gb nvme and the mouse pad does not work, unable to set it up, amazon is replacing the computer.",Negative
3620,"i needed a computer with a lot of storage, a fairly large screen, a numerical keypad, and most importantly, a cheap price tag.",Positive
3621,nice screen and seems to be reliable so far.,Positive
3622,the screen is bright and clear.,Positive
3623,what i like about it that it is touch screen cousin is a google it download everything from my google search and email from gmail.,Neutral
3624,"1080p ips screen, 128gb m.2 ssd, ryzen 3rd generation cpu, vega 3 graphics (serviceable for integrated graphics), 2 ram slots for dual channel memory, expansion for another traditional 2.5 hdd/ssd.",Neutral
3625,"i thought i could not rate touch screen because it does not have it, but it does and i did not know!",Neutral
3626,"the laptop is good, it has a tremendous screen, it is fast, perfect for those who use it for tasks and others, it overheats more than i expected, the battery lasts like 4 to 5, nothing to do with the 7 hours it shows in the description. | the materials seem a bit cheap, not even the year and the screen opened as in the image, something that really bothered me because it has never fallen and i have cared for it as if it were my son it is truly disappointing",Positive
3627,"i love how i can bend the screen but the camera is horrible!! | the touch screen does not always work which sucks bc now i am stuck with a ""laptop"" that bends but cannot take pics and it doesnt have a cd slot which i thought it did .",Negative
3628,"great price, nice large screen size , light weight, good keyboard tactile action.",Positive
3629,"the screen, unlike previous iterations, is gorgeous for the price - crisp and detailed.",Positive
3630,i ordered this chromebook under the impression that i would be able to adjust the screen and that it was touch screen however is it not touchscreen and and the screen does not adjust it only opens and closes.,Positive
3631,"it is sturdy but not bulky, and the screen is so much easier on my eyes than the tablet i had been using.",Positive
3632,i like the size of the screen and i wanted a number pad. | the screen and top of the laptop have a lot of flex; i fear this could be a problem in the future.,Positive
3633,"this one is a touchscreen chromebook, unlike the earlier models in the spin 314 line.",Neutral
3634,i am using the on-screen keyboard to type this review right now because i am fed up with this whole thing.,Positive
3635,i love that it has a backlit keyboard (the keys have a smooth feel) and the screen flexes all the way back.,Positive
3636,"there is no discrete graphics, only amd radeon graphics for light gaming at low resolutions.",Positive
3637,not touch screen but that doesnt bother me.,Neutral
3638,it is a good laptop to use on the go especially for gaming just for small games nothing to big or new but it can most games good and the quality of the screen is great worth the 600,Positive
3639,screen is so nice i may start using it as my ebook instead of my phone apps.,Positive
3640,i do not know if this is touchscreen but its not that big of a deal for a person like me .,Neutral
3641,"about a week ago, the s key on the keyboard stopped working and screen was pulling away from base. | they fixed and return good as new and replaced the screen and had it back fixed within about 2 weeks of sending in.",Negative
3642,microsoft account screen came up.,Neutral
3643,"i would be typing and the screen would go to black. | for no apparent reason, no picture, no sound, just a black screen. | still black screen, back on, black screen, repeatedly.",Negative
3644,screen quality is great and i really like the touch screen,Positive
3645,singular complaint being that screen colors are not super vibrant.,Negative
3646,"it also delivers on speed, fabulous, fast & bright screen, good battery life, excellent keyboard & good sound (although, you will probably want headphones if the fans get humming during a long gaming session).",Positive
3647,screen is too dim for sunny outdoor paper writing.,Positive
3648,( ps it is not touchscreen so not quite sure why it is mentioned as a metric here),Positive
3649,"on the 64gb unit, 10 tabs in chrome is all it takes to see significant lag when switching between tabs, and sometimes the mouse lags and jumps around the screen. | the other extremely noticeable difference is that the 64gb unit can only drive an external 1920 x 1080 display at 30hz interlaced, resulting in obvious motion blur while scrolling on websites, while the 128gb unit can drive the same display at full 60hz with no observable motion blur.",Positive
3650,so my thoughts are on the m1 air version and i must say its a great machine for the price it is my first apple device as i am a pc gamer but i had to have this because of the arm chipset being that it surpasses a lot of x86 chipsets it is very impressive the battery life is by far the most impressive thing about it...nothing at the moment beats the battery life it is great it has a great ips display as well looks very vivid and sharp,Positive
3651,"as the title shares, the screen stopped turning on after a few months of use. | loved the device prior to the screen not working.",Positive
3652,"great version of macbook pro, i come from the 13"" with only two usb-c ports (major failure in the design), so i really appreciate the new ports, the storage capacity, the speed, the battery but most of all i really love the touch id (fingerprint recognition) on the power button, now i can use my fingerprint to unlock macbook pro or to quickly lock the screen.",Positive
3653,the touch screen is also a great added feature.,Positive
3654,after hours on these my eyes have trouble focusing on tv screen.,Negative
3655,"it runs fast and smooth, has a nice looking body, and the hd screen looks excellent.",Positive
3656,not very good screen resolution.,Negative
3657,"the screen quality is decent considering the price as is the sound (for videos, not music).",Positive
3658,i literally have to lean it on its screen back to even hear it at all.,Neutral
3659,"the screen can be seen in about any lighting condition, direct sunlight is a little sketchy but still usable. | the screen size is pretty nice it is only 11 inches but for what i really do on it i do not mind, if i need to do more i usually get on my 17 inch but for timesheets and excel this little thing is nice.",Positive
3660,it has everything that i need and the screen resolution is stunning.,Positive
3661,1080p display.,Neutral
3662,"speed is amazing, touch screen is perfect, and resolution is very high quality.",Positive
3663,screen is nice and big and really like how the keys light up.,Positive
3664,"good keyboard, trackpad and screen.",Positive
3665,"i love the matte finish to the screen, and it is got great color. | i was worried that the resolution would be too low for a 17"" screen, but text is super sharp--i cannot tell the difference between this and a 4k screen.",Positive
3666,"great computer, the screen looks amazing for a product so cheap.",Positive
3667,just looking at your desktop background looks great with this screen.,Positive
3668,keeps looping back to the sign on screen.,Neutral
3669,"it has a long battery life, is extremely fast to start up and navigate and has a beautiful (and large) hd screen.",Positive
3670,"good purchase, i am happy with the computer, fast, good screen, light weight, only one small issue, key board is silver and letters and numbers are a very thin black color, with overhead lighting it is hard to view key letters.",Positive
3671,i only wish it had a touch screen.,Neutral
3672,"size, weight, display and speed are all very good. | did not rate for touch screen because this model does not have one.",Positive
3673,i enjoyed this little laptop it didnt start acting up until 4 months ago the screen did start to go out and the on and off button would not turn on. | the screen finally went out on me so its time for a new baby.,Positive
3674,"oh, also i have no idea how much of the srgb colorspace the monitor can display, and i cannot calibrate it, but everything feels very yellow and washed out compared to my previous monitor, which i think was miniled.",Positive
3675,the computers themselves work great but my daughter's monitor screen is splitting at the bottom by the hinge.,Positive
3676,i have zoom meetings on it and the screen quality is great. | watching a video the resolution is 1080hd.,Positive
3677,"the screen is pretty crisp (1080p is definitely good to have at this screen size), but could have been a little brighter.",Positive
3678,the screen resolution is beautiful.,Positive
3679,"was not hd- could only see the screen if you tilted it ""just so"".",Neutral
3680,the screen and keyboard are magnificent.,Positive
3681,i literally have to lean it on its screen back to even hear it at all.,Neutral
3682,"battery life, touch screen, easy to use!",Positive
3683,"but the screen was extremely pixelated when i was using outlook, and i was afraid it would get worse.",Negative
3684,"great laptop for the price, no it does not have touchscreen but it is still great for school or work.",Positive
3685,i have had this computer for about 2 weeks and the touch screen is not working.,Neutral
3686,"i like the way you can use the screen, is two ways.",Neutral
