,Storage Sentences,Storage Polarity
856,"part of what sold me on this is the nvme boot ssd. | the read speed is good, but the write speed is more like a high end sata ssd. | i did install a wd blue 500gb ssd into the expansion slot.",Positive
857,"i did add another 4gb stick of ram and a 250 gb ssd. | boots up very quickly and is a significant improvement over previous laptop that used standard hard drive. | the ssd install was also fairly easy for someone that is used to working with computer parts, but if you a first timer, would seek help or at least a youtube tutorial.",Positive
858,"nice, two m.2 ports, and hdd port.",Positive
859,"bought the first lenovo c330 in february 2020. we used it everyday for online classes, took it on long trips (love the hdmi port), and after 1.5 years of daily use, the system did not lag like i had anticipated.",Positive
860,would love a little more storage on the hard drive itself.,Positive
861,"great picture screen for photos, for experienced photographers, upgrade hard drive if needed.",Positive
862,"they are needed for external hard drives (especially for file backup where you do not want to use the apple cloud which is susceptible to nsa snooping), external dvd and cd burners, special printers that do not work with bluetooth, special mice for people like myself with handicaps that make trackpads difficult, drawing pads, etc.",Negative
863,"little lacking on the ram and hard drive but easily upgraded. | i added another 4gb of ram and a 500gb ssd hard drive, links below ($85.00).",Negative
864,this laptop at $310 with an nvme ssd is unreal.,Neutral
865,"it has a nice hd display, a good build quality and can be used for light gaming. | you can also upgrade the m.2 ssd or add a sata 2.5in ssd and leave the 128gbs ssd as a boot drive.",Positive
866,"it has a solid state drive and an empty ram slot and even an extra, empty sata hard drive slot. | the bracket for this second hard drive is taped inside the case, you have to remove the bottom panel to get access to the components. | if you put in an extra ram stick, plus a 7mm thick sata type hard drive, then you have a very cheap and decent multimedia laptop that can do tasks a bit faster than the stock configuration.",Negative
867,"as a workaround, ended up using the other usb 3.x port to connect via hdmi adapter.",Negative
868,i am getting ready to upgrade the ssd in the ram as well.,Positive
869,"what a difference an aluminum chassis, a 13.5"" 3:2 format high resolution (2256 x 1504) gorilla glass screen, a core i5 processor, 8 gigabytes of memory, 128 gb of storage, and a backlit keyboard makes-- not to mention the included emr pen.",Positive
870,installed a second ssd and ram in about 30min.,Neutral
871,great speed and storage space.,Positive
872,also has the alexa feature and 1080hd streaming which makes a big difference.,Neutral
873,"i was looking for something with an amd processor, 4-8 gigabytes of ram, an ssd, and a nice lightweight design. | the ssd is amazing and makes the desktop experience multitudes better, even with a low end processor.",Positive
874,"i was hesitant to buy this laptop at first, -1 because its been a while since i used a pc ( have a macbook that i have been using for years and 2- because the size of the hard drive concerns me.",Negative
875,i will be upgradung the ram soon and installing another hdd.,Neutral
876,i was sold with the 8gb ram and the ssd.,Neutral
877,"unfortunately it comes with two partitions on the hard drive, one for windows, the other for my data.",Negative
878,"our criteria was we wanted led backlit hd screen, backlit keyboard, aluminum shell/case, attractive, full qwerty keyboard with numeric keypad, good battery life, fingerprint reader, ample ports with hdmi, light weight, slim bezel, and fast. | there is nothing wrong with conventional hdd if you know how to take care of your machine. | in this single utility you can defrag, clean out the junk, clean the disk, check health of battery, hard drive, etc. | after just that, i ran the acer care utility to find the hard drive was 28% fragmented, and disk needed to be cleaned.",Negative
879,"i added a 1tb ssd without any trouble. | my first time upgrading a harddrive, kept the os ssd and just added the 1tb for storage. | needed the ssd caddy though, which i did not know before hand so i needed to wait nearly a week longer to be able to use it inside the computer.",Positive
880,bought this for my 16yo son for his birthday (he picked it out) and he has not quit playing it and telling me how much he loves it.,Positive
881,"upgrade the ram, add a second hard drive, and this thing is pretty great for the price.",Positive
882,they replaced the ssd and did a systems check and sent it back to me.,Neutral
883,i bought this laptop for my husband for his 65th birthday.,Neutral
884,"another interesting thing that i have found is that the speakers are not great: just ok. note: the 256gb version gets full fast, so if you are a media person, upgrade or get another storage option.",Positive
885,if you plan on downloading large software i recommend upgrading your hard drive.,Negative
886,"it is supposed be white, but it is gray and it was supposed to be 64 gb storage space but it is only 32 gb and 14 gb is already been used for files and data.",Neutral
887,"there are plenty of ports, including usb-a and usb-c, plus hdmi and ethernet.",Neutral
888,it was another one of my birthday presents that i have bought for myself!,Neutral
889,this is a great laptop especially when i added 4gb of ram and a samsung ssd 860 evo.,Positive
890,a lot of reviews say to switch out the storage and to get off s mode but i have not come into any problems with keeping it like it is yet.,Neutral
891,"i noticed that when i am running multiple monitors (3 in my case: one hdmi, the laptop, and a usb monitor) that it does not play games as well.",Neutral
892,"if you are willing too pay more for another ssd then you should, half a tb is not enough.",Positive
893,i surprised when see cheap laptop full hd laptop look like premium nvme fast,Positive
894,"i do not do a lot of saving/downloading to the hard drive so i did not require a larger amount of space. | i think that if you plan to download a lot of documents, photos, or music and can use an external hard drive this will be perfect for you.",Positive
895,may consider additional ssd..,Neutral
896,with the lower gb ssd i got a 64 gb flash drive for files and with the usb 3.0 the write speed is quite up to par.,Neutral
897,"has a small hard drive and only 4 gb of memory, installed another 4gb of ram and installed a 500gb ssd (all the hardware to mount and connect it are in the case) and redirected all my pictures, downloads and games to install there,,,,,, for about $85 more it is a really fast machine. | full hd screen looks great and the backlit keyboard is something i never had on a laptop, nice.",Positive
898,it will not run any modern games but you can upgrade the ddr4 ram and add a 2.5 inch ssd or replace the one in the laptop already.,Positive
899,i would add more memory to max and add an additional hard drive in the next month.,Positive
900,"despite being a slim lightweight laptop with a large and bright screen, it is very easy to replace the memory and hard drive, unlike many recent premium laptops that are glued shut with non-removable components. | the back cover can be easily removed to gain access to the memory and ssd. | it comes with a 128gb nvme x2 m.2 2280 wd sn520 ssd, that can be replaced with any 2280 nvme ssd. | be aware though that only 2 pcie lanes are connected, so any x4 ssd will run in x2 mode, limiting the bandwidth, but it is still much faster than sata based ssds. | the machine also has an empty slot for a 2.5"" drive, which is useful for those that need lots of cheap storage on board, but using that would reduce battery life.",Positive
901,"the main features i cared about were the ssd regardless of its relative low capacity, the 15.6 inch screen at 1080p, backlit keyboard, and ability to upgrade.",Positive
902,"photo storage, etc.",Neutral
903,"just abominable, at the absolute worst time in my life possible... things kept not working, i kept calling customer service, barely intelligible robotic people kept telling me i needed to reset the hard drive and wipe out everything i would put on it (again).",Negative
904,hard drive crashed after 7 months and it was going to cost more than the computer to fix.,Positive
905,"beware it is ueid boot with no option to change, so you are stuck with the ssd drive. | you can add a 2.5” sata hdd, but it is not bootable?",Neutral
906,"not super easy to take apart, i opened it up to put a 2.5"" ssd in and it didnt quite snap back together very well.",Positive
907,"with the price being what it is at least give us back the usb, hdmi, and more thunberbolts standard.",Positive
908,"my computer is very good, it has dual chanel for ram memory (expandible 32gb), and i can install other hard disk (hd o ssd), but your original ssd nvme is the speed low.",Positive
909,"it has minimal storage, but most things are on the cloud nowadays.",Positive
910,"make absolutely sure you budget for cloud storage, or an external hard drive if you go with this machine.",Positive
911,"even with what appears to be minimal specs in ram and hd size, thus far we have not been disappointed. | the unit boots up extremely fast due to the ssd and since everything we do is stored on the cloud, we actually have hd space to spare.",Negative
912,"could use a bit more storage, but that is possible to upgrade, if you need a laptop, and have $300 to 350$ us [$500] cdn.",Positive
913,"this unit is fast, keyboard is easy to use, screen is great, battery lasts all day, pretty light for carrying, includes hdmi out port, and it does everything i need it to do for 1/6 the price.",Positive
914,very good basic machine if you do not need a lot of storage space.,Positive
915,"huge screen, crazy hd!!",Negative
916,"added 4 gb of ddr4 ram and a second ssd 500 gb drive, i am very happy with this, it is my first laptop, love it!",Positive
917,easy to expand ram and ssd by unscrewing the bottom panel,Positive
918,"the laptop comes with a 128 gig ssd, but with the thumb drives and microsd cards that i have, i have no shortage of storage.",Neutral
919,the system so far is quick to respond to requests and has sufficient ram and storage space.,Positive
920,"it has a usb c, 2 standard usb, and 1 hdmi port which i find is perfect for my needs.",Positive
921,"a must is to upgrade to another stick of ram and another bigger hard drive, and you have a decent laptop.",Negative
922,"it has an hdmi plug socket so you can hook it up to tvs and things, and it is perfect for what i bought it for.",Positive
923,i purchased this computer for its hd output. | the wireless connection to my tv means no wires to mess with and the picture is fantastic in hd!!,Positive
924,they storage is also limited so make sure you have a sd card or usb backup.,Positive
925,"this is the first time i had a ssd drive like what is installed in this computer & it is small in capacity also at 128 gbs. | it is not a old-fashioned mechanical or newer solid state hard drive, but a very small newest type of hard drive that connects directly to the mainboard with no wires or cords. | 128gb solid state hd.....makes it speedy to power up.",Negative
926,"it also has a dedicated gpu (although not fast enough for gaming), 16gb of ram, and a 512gb ssd drive.",Negative
927,i do recommend to upgrade the ram and the ssd but i only did it cus i intended to game with the laptop.,Negative
928,"is the only thing is most blocking but with external ssd its solved or managed your storage, it is a great product",Positive
929,"dell inspiron has a beautiful 15+"" display & was exactly what i needed: spill proof keyboard, fast processor, great basic storage & functionality (i am not an it pro).",Positive
930,add 4-8gb more of ram and a 1tb hard drive (easy enough to do) and this laptop will give you just about all you need short of medium-hard gaming.,Positive
931,"great picture screen for photos, for experienced photographers, upgrade hard drive if needed.",Positive
932,i bought this product mainly for the ssd...i always disliked how an hdd slows down so badly over the years even if you do clean wipe the os system.,Negative
933,i love the slick design and the full hd 1080 screen resolution.,Positive
934,"gets the job done, the framing/hinges breaks after awhile from continued usage, opening and closing or back page storage with textbooks or other items.",Negative
935,"some of the shortcomings have the option to be upgraded after you buy it, thanks to an open ram slot, easily accessible m.2 drive and a space for a 2.5"" sata ssd or hdd.",Positive
936,"with 256g of storage, it cost the same as the new apple watch ultra.",Positive
937,"btw, it was more of a struggle than usual to get the case off to replace the ssd with a samsung 980 pro 2tb.",Positive
938,"this laptop was extremely easy to change from 16gb to 32gb, and to also add an additional ssd drive for storage.",Positive
939,it will not run any modern games but you can upgrade the ddr4 ram and add a 2.5 inch ssd or replace the one in the laptop already.,Positive
940,"great computer with good processor, memory ram and somewhat ok ssd drive",Positive
941,"works fast, has lots of usability, lots of storage space and is very light",Positive
942,i need 10 for school so i had to figure out how to downgrade which idk if that means i lose the free one year of cloud storage literally in the middle of doing this right now.,Positive
943,very disappointed since this was a birthday gift to myself that i waited years to get.,Negative
944,"compared to other computers i looked at in this price range, the 1080p screen, backlit keyboard, and 128gb solid state hard drive really make this a stand out.",Negative
945,"it is fast, comes with a m.2 drive and with the option of installing another 2.5"" drive sdd or hdd.",Positive
946,"so far it is a good laptop, i plan on keeping it plugged in most of the time so i keep the battery at 80% and everything besides just updating the drivers & adding a 2.5 ssd i have not tweaked anything in the settings yet.",Positive
947,i added a 500gb ssd as well with no problem and now my laptop is perfect.,Positive
948,nice touch for the money in that screen is full hd (1080) and keyboard is back lit.,Positive
949,"the 3200u paired with a ssd really makes for a snappy experience. | along with 1 m.2 ssd slot that comes prepopulated with a 128gb ssd and an empty 2.5"" bay for another ssd or hdd.",Positive
950,it has enough storage space for both her schooling and work requirements.,Neutral
951,"no difficulties working with obs and various video sources (combinations of ndi streams, hdmi capture, and usb).",Neutral
952,"i spent a little extra to double the ram and add an internal hdd but even before i did that, it handled everything i needed it to.",Negative
953,not able to download certain apps due to the small storage space on the laptop.,Negative
954,also i am having a tough time deciding on a second hard drive; no 2.5” hdd/sshds seem to be reliable enough to last more than 3 years.,Negative
955,and the agent also said you cannot add 500gb ssd which is not true!!!!!,Negative
956,my son wanted a gaming laptop for his birthday.,Neutral
957,expandable hard drive and crystal clear screen.,Negative
958,"i am imagining they reinstalled the hard drive (and whatever), did not check it, and put it immediately in the box back to me.",Negative
959,"the things that set this laptop apart from others in the price range are latest generation ryzen mobile processor, ips screen, nvme m.2 ssd, these are features found in much more expensive laptops.",Positive
960,"this laptop is a awesome purchase... upgrade it with 16gb and installed an 1tb hdd, very smooth limited bloatware and it comes with 1 month of office 365.. you would have to install your own antivirus program (does not come with one) but this laptop fast with the upgrade... just a bit disappointed with the battery life, despite changing the settings it will still be 4 hours not ""7"" as claimed.",Positive
961,the 2nd issue is that this laptop only supports nvme ssd drives. | i tried to install a m.2 2880 ssd drive and the computer did not even recognize it at all.,Neutral
962,has solid state 0.5t hard drive and windows 10 pro.,Negative
963,i love the slick design and the full hd 1080 screen resolution.,Positive
964,my husbands birthday gift.,Neutral
965,"acer advertises that you can put a hard drive in the laptop. | you can put a hard drive in the laptop. | however, the connector on the mother board will not hold the ribbon cable down to make a good connection, therefore, the hard drive will not get recognized by the system.",Negative
966,i did add a 16gb module and an sk hynix gold s31 ssd 1tb internal drive.,Neutral
967,"ram can easily be upgraded and adding a 2.5"" ssd allows for additional memory over the 128gb included on the computer.",Positive
968,installed a second ssd and ram in about 30min.,Neutral
969,3 usb ports and hdmi port!,Neutral
970,only thing i would say negative about this laptop is the storage space is low but you can easily buy external storage.,Positive
971,"i added another $20 stick of ram to up the total to 8gb, and an ssd i had laying around for more storage because the stock 128gb obviously will not be enough for most people.",Positive
972,they said the hard drive is encrypted and cant be recovered.,Negative
973,"it was easy to convert from the supplied w10-s to w-10 home operating system, the supplied cable and mount made it easy to add an additional ssd, and i also doubled the supplied ram while i had it opened up.",Positive
974,"the full hd (ips!! | last, upgradeability, something that is harder and harder to find these days, you can easily and cheaply upgrade the hard drive and ram to keep this device running great for at least three years (amazing for any price point)",Positive
975,"it has a nice hd display, a good build quality and can be used for light gaming. | you can also upgrade the m.2 ssd or add a sata 2.5in ssd and leave the 128gbs ssd as a boot drive.",Positive
976,"it is fast, the screen is true hd (1920 x 1080), very light for a 15 inch laptop, has a great trackpad, and good keyboard.",Positive
977,there is still a significant amount of hd space available (40+ gigs) and no unknown source apps installed.,Positive
978,"for the most part it is excellent, the only problem would be that you would need to upgrade the ssd to a bigger one but overall it is good!",Positive
979,"i added a 2tb samsung 980 pro nvme to it for game storage, which was rather simple.",Negative
980,"in addition, the 8 gb ram / 256gb ssd version is nigh useless for anything beyond websurfing.",Negative
981,i took the 1tb ssd disk out of my old laptop and put it in this one (i had to purchase a sata cable specific for this model) when i turned it on it booted fedora 34 detected all the different hardware and runs like a champ!,Positive
982,"acer aspire 5 slim laptop, 15.6 inches full hd ips display, amd ryzen 3 3200u, vega 3 graphics, 4gb ddr4, i have had this laptop for under 1 yr 1/2",Positive
983,i bought this on sale and upgraded memory to 16 gb and ssd nvme to 1 gb.,Neutral
984,additional ram slot and came with the parts to add in the additional hard drive ( i did an ssd for faster speeds.),Negative
985,"just received computer acer aspire 5 a515-46-r3ub | 15.6"" full hd ips display | amd ryzen 3 3350u quad-core mobile processor | 4gb ddr4 | 128gb nvme and the mouse pad does not work, unable to set it up, amazon is replacing the computer.",Negative
986,"amazing machine, nvidia gtx3070 (85w power envelope), intel cpu i7 11800h, great screen hd 144 hz and enough ports to add peripherals.",Positive
987,"the laptop also comes with an extra ssd slot with makes upgrading a breeze, no need to do any cloning if you do not know how to. | you only need to format the new ssd to run.",Positive
988,had high hopes since this had an hdmi out and netflix site indicated you could download to a laptop but all i got on the screen was the screensaver shot and when i used the device to browse none of the work windows showed up either just stayed on the screensaver shot.,Positive
989,"it has a long battery life, is extremely fast to start up and navigate and has a beautiful (and large) hd screen.",Positive
990,the first thing i did was upgrade the ssd and added a memory stick.,Positive
991,i am going to lose all my info on my hard drive.,Negative
992,need more storage? | it is easy to upgrade with ssd drive.,Positive
993,"128gb storage, but the system occupies 77gb.",Neutral
994,extra nice if it came with a hard drive windows even if cost was a bit higher,Positive
995,hard drive crashed after 7 months and it was going to cost more than the computer to fix.,Positive
996,i figured that i would buy it with an eye toward upgrading the ram and adding more storage.,Positive
997,memory tests fine as does the ssd.,Positive
998,"hdmi is great to use a monitor, free's up a usb c port for other devices!",Positive
999,"spend a few $$ and upgrade to a 500 or 1tb hard drive, added a little ram, and added a 2tb storage drive for pictures.",Negative
1000,"not a ton of storage on the thing. | replacing or upgrading the ssd drive is an option, but it is just easier to use a portable drive of your choice, had no problems with a 500gb samsung via the usb c port.",Neutral
1001,i brought this for my daughter as a birthday present in may.,Neutral
1002,"i bought this 2020 macbook air (8 gb ram, 256 gb ssd storage) to replace a 2014 macbook air (4gb ram, 256 gb ssd storage).",Neutral
1003,"the detailed reviews about the ease of upgrading the ram and adding another ssd was the tipping point and proved to be true. | i added a second 4gb stick and a 512mb 7mm ssd drive. | all in for me, including the ram and second ssd was under $300 with all discounts.",Positive
1004,did you know you can no longer auto save with microsoft work to you hard drive?,Negative
1005,"if you just need a laptop... this thing is priced well, boots fast, efficient, just enough programs to help with any tasks, perfect amount of storage (if you meed more, or more ram, easily upgradeable.",Positive
1006,"excellent gaming computer that has it is own program built in to manage your laptop which includes a cooler booster, monitor for computer situation at all times, and also let us you clean the disk and free memory with an easy click of the mouse key honestly if you just upgrade the ram/intel core/ssd's you got urself an amazing gaming computer as for regular use it is simply amazing and stunning starts in about 10 seconds literally. | for the cons it does get hot but as i mentioned before u can cooler boost for about 5 minutes and your good to go the ram and ssd's can be upgraded so yeah.",Positive
1007,going to add ssd (sata).,Neutral
1008,"i would suggest getting a bigger ssd and more ram, but for the price, i got a really good portable gaming rig.",Positive
1009,"it offers the intel 12th gen i7, 16 gb of ram, 1 tb ssd, windows 11 pro, includes office 365, and, in my opinion, made it in a nice blue color. | this laptop, if you compare it to apple's new m2 macbook air, is pretty comparable in price, but gets you 2x the ram, 758 gb more storage, upgrade capabilities, more ports, and more.",Positive
1010,"this laptop is fast because it uses a ssd instead of a hdd, but the downside is it comes with less storage. | as for gaming i have not tested it out but i do not think this laptop was made for gaming considering the small storage it comes with.",Negative
1011,"i purchased this laptop for my son for his birthday in october of 2021, it died in august of 2022. he is 10 and plays minecraft and similar games a few hours a day.",Negative
1012,"this is the first time i had a ssd drive like what is installed in this computer & it is small in capacity also at 128 gbs. | it is not a old-fashioned mechanical or newer solid state hard drive, but a very small newest type of hard drive that connects directly to the mainboard with no wires or cords. | 128gb solid state hd.....makes it speedy to power up.",Negative
1013,but it was a great price and i was able to add an extra 1tb storage and 32gb.,Positive
1014,you are able to add a secondary 2.5 inch ssd if you like.,Positive
1015,"i only knew i wanted a ssd, and a lighted keyboard for sure.",Positive
1016,added a larger hard drive and some ram it is more than i need:),Positive
1017,"besides the low ram and storage space which can easily be upgraded, this computer should meet all your needs.",Positive
1018,"can easily add in ram and another 2.5"" ssd while swapping out nvme if you so desired.",Positive
1019,"so far, the laptop runs great but for the con, i would that the 500 gb storage is quite little if you are gaming. | i would stick in an additional ssd or hdd.",Positive
1020,"having said that, ssd drive is worth the speed.",Positive
1021,"you might be better off going to best buy and having the geek squad get you up and running, because this thing took me weeks on end, and it still will not talk to my old hard drive for old files.",Positive
1022,"it has a ssd, which is only what i buy now. | boot time is faster and things run faster for me with a ssd.",Neutral
1023,"the 3200u paired with a ssd really makes for a snappy experience. | along with 1 m.2 ssd slot that comes prepopulated with a 128gb ssd and an empty 2.5"" bay for another ssd or hdd.",Positive
1024,i put a second ssd into i had lying around and a second stick of ram for a total of 8 gigs this display is easily the best part of this machine.,Positive
1025,it was perfect gpu and cpu are crazy fast so is the ssd and ram.,Positive
1026,"this laptop is fast because it uses a ssd instead of a hdd, but the downside is it comes with less storage. | as for gaming i have not tested it out but i do not think this laptop was made for gaming considering the small storage it comes with.",Negative
1027,upgraded hard drive to 500gb nvme pcie wd blue and added another 8gb ram.,Negative
1028,it is great has great storage and my sister who is great at tech said it is also great for gaming for those who game.,Positive
1029,i bought this for my boyfriend in a hurry for his birthday (the 22) i ordered it may 13 and it said it was going to arrive friday the 21st.,Neutral
1030,4. storage is murder if you want to install some if the best aaa games since it in only has 512gb out of the box plus the 16gb ram is enough for gaming but editing needs more though. | the best solution is upgrading to more storage and adding more ram once you feel you really need it.,Positive
1031,also has the alexa feature and 1080hd streaming which makes a big difference.,Neutral
1032,"full hd ips screen, backlit keyboard, aluminum cover. | however, it is an awesome machine when it is upgraded to 16gb ram and additional 512 gb ssd, for the total add-on of $100.",Positive
1033,additional ram slot and came with the parts to add in the additional hard drive ( i did an ssd for faster speeds.),Negative
1034,the hd camera is great for streaming,Positive
1035,"this ssd laptop is fast, light and has a bright, sharp screen.",Positive
1036,"great everything, i am upgrading the ram from 4gb to 16gb and the hard drive from 128gb to 500gb, aside from that it is perfect even if you add the upgrades into the price. | the only drawbacks as some people would say is there is no usb-c and the screen even though it is hd 1080p that the colors are not super accurate of course that is graphics and video people looking for precision color gamut accuracy but seriously most peoples eyes are not perfect either enough to see a difference, you look at this screen it is precision nice and crisp.",Positive
1037,very nice screen hd1080.,Positive
1038,"i thought wow what a steal for the price, a 1tb ssd, a 17 inch screen?",Positive
1039,"plus, it is a cool, quiet ssd. | storage is sub-par, (though clearly identified.)",Positive
1040,"i ordered a asus vivobook 15 thin and light laptop, 15.6"" fhd display.",Neutral
1041,very nice screen hd1080.,Positive
1042,just add some more storage if you need it and your good to go.,Positive
1043,"so i am dumb with this microsoft crop, wiping hard drive and making it a chromebook.",Negative
1044,"photo storage, etc.",Neutral
1045,very good laptop :) my boyfriend doesnt leave it even for a sec.... he always plays he games and use this laptop till it dies :) very clear hd display keys are smooth,Positive
1046,"i called the hard drive manufacture and acer. | when you search for hard drives, make sure you put the entire model and not just acer a151.",Negative
1047,"i spent a little extra to double the ram and add an internal hdd but even before i did that, it handled everything i needed it to.",Negative
1048,"it is a very fast laptop due to the ssd, 16gb of ram and i5 11gen.",Positive
1049,"the fhd display of this laptop is absolutely good. | it has all the important features like ssd, keyboard backlit, numberpad, slots for dual storage (m.2 ssd slot+ 2.5"" drive slot).",Positive
1050,i bought this product mainly for the ssd...i always disliked how an hdd slows down so badly over the years even if you do clean wipe the os system.,Negative
1051,"i was looking for something under 400 for years but never made a purchase because i have my own requirements: good speed, full hd (1080p), ips screen, backlit keyboard, and light weight.",Positive
1052,"it have very slim frame in screen, great material, full powerfull to do many task and enough storage to use windows. | however, if you find more storage; you probably have to buy an external hard disk or another ssd with more space.",Positive
1053,i have been researching a 2 in 1 chromebook for my 4 year old's birthday. | he has not gotten his hands on it yet as his birthday is in just a few more days.,Positive
1054,this was a gift for our son's birthday.,Neutral
1055,so i liked msi before now i got a laptop for my birthday used it lightly in an ac house on a cooling pad.,Positive
1056,i have a white full hd acer chromebook i got last year on amazon that has outstanding sound.,Positive
1057,"i did upgrade it with a 1tb ssd. | i also bought another ssd to fit into the extra drive slot, but i just could not get it to fit.",Positive
1058,"it boots fast as expected with an ssd, and runs everything that i need for college perfectly.",Positive
1059,"this actually comes with two 256gb ssds, not one 512gb, as the title would have you assume.",Neutral
1060,whole purpose of buying was so husband could watch hd sports while outside.,Positive
1061,bought this for my 16yo son for his birthday (he picked it out) and he has not quit playing it and telling me how much he loves it.,Positive
1062,hard drive is not accessible to replace.,Negative
1063,"good size & a good weight, i bought an external hard drive for this.",Positive
1064,i bought this for my boyfriend in a hurry for his birthday (the 22) i ordered it may 13 and it said it was going to arrive friday the 21st.,Neutral
1065,"the reason this is, is because the storage is soldered to the motherboard.",Neutral
1066,bought this for my 16yo son for his birthday (he picked it out) and he has not quit playing it and telling me how much he loves it.,Positive
1067,my hard drive on my desktop pc took a dump and i will need to reinstall the os but have a lot of stuff saved on the drive so i needed something to jump online at home to pay bills and stuff like that.,Negative
1068,i will be upgradung the ram soon and installing another hdd.,Neutral
1069,"512gb on this one is actually within reason and expected.. i guess i am just griping that i would like to see large quantity, fast storage, also become a standard when one claims to have a ""gaming"" laptop.",Positive
1070,"the ssd is super fast to boot and navigate windows, there is not a lot of bloat ware, anddddd you can upgrade the ram and install another hard drive!",Positive
1071,"the arm-based silicon chip is so amazing that i was able to forgive the laptop for its downsides, which are the 720p webcam, lack of sd card slot, and not being able to upgrade ram or ssd.",Positive
1072,"the included m.2 ssd is insanely fast, but you will also definitely want to pick up an additional ssd.",Positive
1073,"acer has videos on youtube that show you how to add an additional hard drive, so that was helpful. | i put in a 1tb ssd and another 8gb of ddr4 sodimm ram. | when i had the laptop open, it appeared as if you could take out the 128gb pcie nvme ssd that ships with the laptop and put in a larger one, so that is an idea. | it has an ethernet port, usb 3.1 ports, hdmi port, etc, so that is convenient compared to my macbook (which only has thunderbolt 3 ports and requires dongles or adapters for everything). | overall i am really loving this laptop, it was very affordable, easily upgradeable hard drive and memory, and it is working great.",Negative
1074,"the screen is nice, ssd is super fast and the laptop is very responsive. | upgrading memory and storage are very easy (if you need that).",Positive
1075,"update 12-15-2020 - after three weeks, i am still really impressed with the m1 macbook air/8 core cpu/8 core gpu/512 ssd/8gb ram. | --- my updated plea: make sure you get as much memory & storage as you can afford.",Positive
1076,"she only needs access to the internet, not internal storage, and this is perfect for that, so we are both extremely happy with the purchase.",Positive
1077,"if you are looking to do some light gaming (very light) you can easily upgrade the ram and storage (they include a kit to add an ssd to the system, which is awesome). | i do not need any storage on this machine, which is good because it really does not come with any.",Positive
1078,"i had an $850 budget to get a laptop and this was well within the budget even with the upgrades to the memory and a new hard drive installed. | i installed a 1 tb pro barracuda hard drive, system reads it as 958 gb. | you will need a new hard drive if you plan on playing games because the 128 gb nvme that comes with it is not enough.",Negative
1079,replaced an asus laptop that was about 5 years old or more which had 12gb memory and 500gb sata hard drive. | this computer is faster with much less memory but with ssd drive. | will just watch how much junk i save on the hd.,Positive
1080,"if you have a chance to get a similarly or even less expensive, similarly featured, hp chromebook x360 14-14"" fhd touch - core i3-8130u - 8gb - 64gb emmc, that is frequently on sale here or elsewhere, i would strongly recommend that chromebook over this one.",Negative
1081,my model has an sk hynix gold p31 ssd (512gb) & i am plenty happy with that performance.,Positive
1082,consider more than base storage if you are thinking of using for music production,Negative
1083,immediate problems with hard drive and operating system.,Negative
1084,i did upgrade my ram memory with 2 x 16 for a total of 32 ram and added a 1tb samsung ssd.,Neutral
1085,a year and a half ago on prime day i picked up the acer aspire e 15. wiped the storage and installed linux.,Negative
1086,i installed a acer 480 ssd to increase it is capacity and 8 gb ddr4 stick.,Neutral
1087,8gb ram and a ssd hard drive makes loading fairly snappy.,Positive
1088,"can handle up to 32gb ram, comes with m.2 ssd and can add a second 2.5"" hdd or ssd. | full 1080 hd display. | very fast and with an upgrade on the m.2 ssd to a samung m.2 ssd even faster!!!",Positive
1089,"acer aspire 5 slim laptop, 15.6 inches full hd ips display, amd ryzen 3 3200u, vega 3 graphics, 4gb ddr4, i have had this laptop for under 1 yr 1/2",Positive
1090,"i also added a 2tb hdd for storing media; the pre-installed 128gb sdd is extremely fast but did not provide enough space for photos, videos, or large apps.",Positive
1091,"so thin, light, with enough ports (the expandable ethernet port is adorbs), crisp hd screen, and a backlit keyboard!",Positive
1092,"very light and easy to handle, get as much storage as you can afford.",Positive
1093,"it is very fast with a sharp hd screen. | the hd screen is sharp, clear and an absolute bargain in this price range! | the storage is easy and inexpensive to upgrade so that was not something i focused on when choosing.",Positive
1094,"the hdmi port is broken, cannot hold a connection to my monitor, screen keeps blacking out.",Negative
1095,"the 8gb ram/256 gb ssd combo in this laptop is fast and responsive. | this laptop is a fantastic entry-level device but hard core gamers and video creators should upgrade to the pro models for the larger/more vibrant screen, richer audio, cooling fans, additional usb-c ports, sd card slot, dual monitor capability, and more ram/ssd options. | i would suggest most users get the 512gb or larger internal ssd so you will not need an external ssd for video/music storage. | i currently use external ssd drives to store my large files so the small 256gb ssd size in the base model was not an issue.",Positive
1096,go with the 512mb ssd the 256mb it is too small a least for me.,Negative
1097,"the best thing is that the laptop is upgradable, the 2x ram, 2x ssd, wi-fi and battery are easily accessible without voiding warranty, yes lenovo allows those upgrades so do not worry. | for a thousand bucks you get an amd ryzen, rtx series, ssd, dual channel ram, ips fast monitor, mux switch, windows 11, 3 months xbl ultimate sheesh cannot beat that.",Positive
1098,bought this one and connected to my belkin hub for the hdmis.,Neutral
1099,multi-screen options are extensive with the thunderbolt 4 port not to mention built in hdmi.,Neutral
1100,there is still a significant amount of hd space available (40+ gigs) and no unknown source apps installed.,Positive
1101,also the solid state hard drive should help the reliability; it sure boots fast because of it.,Positive
1102,"it has enough ports for me to plug in all my necessities the only thing i wish was different was the nvme ssd, i should have gotten a bigger ssd since all the modern games are now 40-60gbs each that is more of a personal choice for me though.",Positive
