,Review,Rating,Display Sentences,Display Polarity,Display Descriptors
5007,"the laptop is fine but i am deducting a star because the keyboard is not backlit. i own three very similar hp latptops purchased through costco over the past two years. the costco laptops were intel powered i3 and i5 machines with the same 250 nits 14"" fhd screens, ssds and backlit keyboards. this unit is very similar however it is amd powered and the keyboard is not backlit. i tried my best to ensure that it was however i could not confirm on the web. so let me be the first to confirm it is not.",4/5,"the costco laptops were intel powered i3 and i5 machines with the same 250 nits 14"" fhd screens, ssds and backlit keyboards",0.0,['']
5010,update: amazon made this right by offering to take this back past the return time. my friend did find a back up he made and was able to restore. that being said hp warranty was worthless. i bought this as a gift..it has had several issues..most related to disconnecting to internet although it is connected by ethernet...yesterday it crashed..we got it so far as to a pin screen. you are unable to click any links they give you to move forward..two hours on outsourced support from hp wherein they determine it is a password issue..mind you the computer recognizes the user but it frozen in a screen asking you to set up a pin...support is clueless and will not give you any links to make warranty claim...sent me a link to buy a support contract.....while this is under warranty..total outsourcing bs by hp why i myself use a mac not any windows product...a birthday gift that became my problem. argh,1/5,we got it so far as to a pin screen | mind you the computer recognizes the user but it frozen in a screen asking you to set up a pin,0.1,"['', '']"
5012,"i bought this laptop for my husband for his 65th birthday. his laptop was 11 years old and was on it is last leg. he was afraid to buy a new laptop because he thought things had become too techy in the past 11 years but this one is perfect! the screen is crystal clear and the keys are large enough for his big bulky fingers. he plays word games and does puzzles, explores websites, he emails,,spends time on facebook, checks out his sports, neighborhood stuff, etc… and if he wants to explore more, he can. it is super fast and stays connected to our wifi with ease.",5/5,he was afraid to buy a new laptop because he thought things had become too techy in the past 11 years but this one is perfect! the screen is crystal clear and the keys are large enough for his big bulky fingers,0.08,['enough crystal too buy afraid techy perfect clear large']
5013,"for what i need, this is perfect. i have zoom meetings on it and the screen quality is great. watching a video the resolution is 1080hd. the camera quality is 720hd. far and beyond better than my old laptop that died after many years of use. since it does not have a built-in cd/dvd player, it is very light weight. i just purchased an external drive which is quite inexpensive. glad i bought this.",5/5,i have zoom meetings on it and the screen quality is great | watching a video the resolution is 1080hd,0.8,"['great', '']"
5015,"the hp laptop 15-dy5024nr is capable of web surfing and checking email and maybe a little microsoft word. it is full of the usual hp bloat ware most of which can be uninstalled. this is not a gaming laptop. i installed the online game runescape and it was able run ok but no man’s sky ran for a few seconds and shut down, probably due to a memory problem. with only 8 gb of ram and a 256 gb ssd, it is very limited. it is small, light and mostly plastic. there are no user serviceable panels to remove to upgrade ram etc. there is no user manual that i am aware of that explains how to do anything to this laptop. i believe you can remove the entire back to gain access to the ram and ssd. i may do this at a later date and will post pictures if i do. according to online memory sellers, the ram is upgradable to a max of 64 gb with 2 ddr4 pc4-25600 3200mhz sodimm non-ecc unbuffered 260pin 1.2v cl22 sticks for a cost of around $200. to upgrade to 32 gb it will cost over $80. the ssd can be upgraded to 500 gb ($55) or 1 tb ($95). this laptop does not have a cd/dvd, display port or a usb port for charging the laptop. it does have a full size hdmi port, a usb c 3.0 data port and 2 usb a 3.0 data ports. it also has a head phone/microphone port and a full size sd card reader and of course a port for the charging cable. all ports tested and worked as expected. the keyboard is chicklet style but works well and the touch pad works well also. the speakers are loud enough. i connected a wireless mouse with no problem. i used the usb c port to connect to my galaxy s20+ 5g cell phone and all worked as expected. it has a camera for skype or other video call software. the screen is bright and looks good to me. the wi-fi works great. this laptop works well for web surfing and email but if you want to do more you will need to upgrade.",4/5,"this laptop does not have a cd/dvd, display port or a usb port for charging the laptop | the screen is bright and looks good to me",0.7,"['', 'to bright good']"
5019,"super lightweight. the matte screen is ideal for viewing in bright light. in spite of the haters, this device is quick enough for complex powerpoint with embedded video. the microsd slot is a real plus. i have added 128 gbytes and can store everything i need. full size hdmi port works great for presentations; too many tiny computers require an adapter. it is true i have only had it for a day but this is a dandy solution for travel and i am a mac guy. i already had a bluetooth mouse and i recommend such for efficiency; i do not like touchpads.",5/5,the matte screen is ideal for viewing in bright light,0.67,['for ideal']
5020,"laptop is ok but i cannot get it to work with my tripp lite u442-dock7d-b docking station. ethernet, mouse, and keyboard work fine through the docking station but the laptop will not recognize my hdmi or dataport connected monitors. the docking station works fine for multiple displays with my hp elite book. very disappointing for a newer technology laptop.",3/5,the docking station works fine for multiple displays with my hp elite book,0.21,['multiple']
5021,"just bought this for my mom! she loves it! she is an awesome childbirth educator and has created a self paced online all-in-one prenatal course for pregnant and new moms. she will be using the lenovo to: make more online courses, for posting videos on her you tube channel - humsa prenatals, for social media, promotion and marketing of her courses, and for her website humsa prenatals dot com. she says that the screen is clear and wide, loves the key board, she was able to connect it to an external lg monitor with a hdmi cable. she just wishes there were more ports. she is using one port for a logitech unifying receiver, that leaves only one port for her usb drive. she would have to buy a multi port hub. she loves the sleek appearance. the grey silver color is pleasing to the eye. the keys are visible. the base got heated up hence she has put it up on plastic lids so that it is elevated. that helped. the webcam can be hidden by just moving a slider, what a relief! all in all, a good buy. she hopes it will last her for years to come.",5/5,"she says that the screen is clear and wide, loves the key board, she was able to connect it to an external lg monitor with a hdmi cable",0.1,['connect and clear able']
5022,"in theory, this $149.00 chrome based laptop should have done the trick for me. i bought it for traveling to watch downloaded content on the flight and do some work in my destination. it is a great price and not a huge loss should it get stolen. all good, until i turned it on and could barely see the screen. it is advertised as hd, but it reminded me of my intel 8088 from about 30 years ago. bottom line, it is fast and boots quickly but the screen graphics were so bad i returned it. this might be a great little computer if you need one for a young child and you donʻt care if they drop it or leave it on the bus.",3/5,"all good, until i turned it on and could barely see the screen | bottom line, it is fast and boots quickly but the screen graphics were so bad i returned it",0.12,"['', 'so fast bad']"
5027,"very light weight, good. no hdmi port, bad. volume wise very low on full volume so if u like watching on it u need a headset or something if u want louder than what it offers, bad. display brightness low, bad. speed wise its moderate surfing web. no dark lights for keyboard, bad. for a samsung i believe they could have done better. this is not worth the price for $100 above, i can say this could be at least $70 value with all its lacking features. it doesnt support all store apps, bad. would i keep it? for my email wise needs yes and surfing needs but if u want better than what i mentioned above go get something else.",1/5,"display brightness low, bad",-0.35,['display low bad']
5031,does what is expected at this price level. checklist. #1 no crystal clear screen #2 no backlit keyboard. #3 no hdmi port. ....so you mean it is not as good and capable as chromebooks costing $300 to $1k? of course not! if you need what those offer then buy one of those.,5/5,#1 no crystal clear screen #2 no backlit keyboard,0.1,['']
5041,"i have had countless laptops and desktops, some that are even more expensive than this one. i have never been more content with a computer before. i do not even know where to begin. the best part is probably how fast it is. i bought it early one and have had it for about a year and a half. i do everything on it from studying, to watching movies, to downloading games. it seems just as fast and smooth as it did before. i even was able to partition the hard drive to get windows and you would be surprised at its ability to run games at medium graphics settings as well. battery life is also stellar. i do not know what the advertised length is, but just to give you a clue i leave for lecture every morning with 100% battery, use it anywhere between 6-10 hours throughout the day, and always return home with a lot of battery life to spare. no more lugging around chargers in your backpack. display is awesome.",5/5,display is awesome,1.0,['awesome']
5042,"if you are a photographer looking at this laptop to edit pics - i would advise you to stay away from this mac! i run lightroom for photo editing and this laptop struggles to run light room. when switching between pictures it takes from 8 to 15 seconds for the next picture to come up - it handles the editing part fine, it just cannot handle switching photos without lagging. i also have a problem with it not showing my sd cards and external hard drive. i bought this for the larger screen and what i thought would be a faster laptop but i find myself going back to my 5 year old 13 inch mac. i have found some tips for this problem online but none seem to work for me.",1/5,i bought this for the larger screen and what i thought would be a faster laptop but i find myself going back to my 5 year old 13 inch mac,0.03,['']
5045,"first time lenovo owner, is fast, good for everyday office and social media use. i would like it more if it came have with a usb-c, and a connector for adding a 2.5"" hard drive. but you can buy one online for about $11 and add your hard drive from your old laptop for more storage to complete a better. nice style and light weight, is fast enough, screen not bright for outside usage, i guess is because is a touch screen?. key pad is very good but not back light",4/5,"nice style and light weight, is fast enough, screen not bright for outside usage, i guess is because is a touch screen?",0.14,['enough fast']
5053,"it is what i expected, great screen and fast enough! sound could be somewhat better, but it is a laptop! will add a hard drive and memory latter. would buy again!",5/5,"it is what i expected, great screen and fast enough! sound could be somewhat better, but it is a laptop! will add a hard drive and memory latter",0.2,['somewhat better']
5054,"not sure what to expect from a budget laptop--but if it has an intel celeron processor with a sandisk sdd, just move on--you can buy a refurbished computer with a stronger processor and a stable sdd. let us just say i had to reinstall windows s, which is better than a chromebook, several times due to crashes/freezing from both the cheap win10 s and hardware bits. there are, however, some more pleasant characteristics to point out: (1) you are able to and a m.2 sdd--if installed, even a cheap standard chip, you will see processing performance noticably increase which is a nice feature--so a must if you plan on purchasing this; (2) durability--for the cost, it is pretty durable more so than other laptops out there except the sticky numb keyboard--it has a terrible ""finger to key"" response rate--so upgrade that to the backlit if possible; (3) the screen and graphics are good -- you just need a better processor /hard drive to go with it; (4) delivery was the same day, so no fuss over that. overall, unless you are going to spend a bit more on options, it is a noteworthy effort by asus.",3/5,"2 sdd--if installed, even a cheap standard chip, you will see processing performance noticably increase which is a nice feature--so a must if you plan on purchasing this; (2) durability--for the cost, it is pretty durable more so than other laptops out there except the sticky numb keyboard--it has a terrible ""finger to key"" response rate--so upgrade that to the backlit if possible; (3) the screen and graphics are good -- you just need a better processor /hard drive to go with it; (4) delivery was the same day, so no fuss over that",0.09,['pretty durable good']
5057,"battery is great, but hard drive is small and not sufficient for using photoshop cc which need minimum 10g and preferably 20g free, adobe will not let you move application or even scratch file to external or flash drive. could have used a backlit keyboard too. live and learn. i did use it to develop website and was useful to see how colors would look on less high resolution computers",3/5,i did use it to develop website and was useful to see how colors would look on less high resolution computers,0.1,['useful']
5063,"this is my second asus this year. and it is only march. my first one i bought earlier in the year and it was expensive compared to what it can do. the biggest issue i have with it is that it will give me the blue screen of death constantly, and i am a writer, so it is always messing up what i am writing. then my dog dropped it once off my bed and bam! the screen completely shattered. so it is no longer a laptop, as i have permanantly hooked up to my tv in my living room. so i got this little netbooky thing for writing and kept the other for gaming (steam games only, as i do not think it can handle more). and i have had it a couple days and now this one is also giving me the blue screen of death. i cannot be without a computer as a writer. so, now, i am going to have to wipe this one and return it, and buy another brand, because i cannot have it just shutting down on me like that. getting the blue screen of death repeatedly usually means your motherboard or hard drive is breaking. and both of these computers are brand freaking new! ughhhhh. if it was not for this issue, i would give it five stars. and i was editing a document when it happened, so i was not running anything crazy, nor have i downloaded anything but firefox. so it is not on my end why this is happening. must be an asus thing.",2/5,"the biggest issue i have with it is that it will give me the blue screen of death constantly, and i am a writer, so it is always messing up what i am writing | then my dog dropped it once off my bed and bam! the screen completely shattered | and i have had it a couple days and now this one is also giving me the blue screen of death | getting the blue screen of death repeatedly usually means your motherboard or hard drive is breaking",-0.06,"['', '', '', '']"
5066,my old laptop finally had enough of me. this one has been a great replacement and is even better. i have had acer computers for years and they have never let me down. my last ones was 11 before the fan finally gave out. this laptop lets me do all my crafting and run the software without any issues. it also runs photoshop without freezing. the 8gb memory is plenty for me and the 256 gb hard drive. i am new to the processor in this but i am impressed. the laptop starts up and runs everything fast. the screen looks great and i even approve of the speakers which is rare. the laptop does have a slim design and fits in my purse. i really love that the keyboard is backlit. this makes working at night easier with kids around. i am happy with this so far and will update this review in the future if needed.,5/5,the screen looks great and i even approve of the speakers which is rare,0.55,['great rare']
5067,"i am not thrilled with this laptop, but i do not hate it either. the keypad really bothers me as i use this for work and gaming, it is too small and awkward to use. the ""0"" is a small square, the ""enter"" button is just in the way, and i cannot stand it. also, not knowing much about computers, i was surprised after getting it that i could not even load two games and my itunes on here because of the lack of storage space. the negatives being said, the resolution on this computer is very good. it also comes with a setup for an external hard drive that you can buy through acer if you need more space - which you will. the sound quality is pretty good for a small computer. the positives aside, i think it is worth it to spend the extra $150.00 to get somehting like the hp pavillion laptop 15 (my other computer) for gaming and work as i can use that one with ease and the storage space is enough for my games and music.",3/5,"the negatives being said, the resolution on this computer is very good",0.91,['very good']
5074,"i have the smaller chromebook and have been satisfied with it as i use it daily (now in fact), as it is light and sits beside me at all times. the larger one filled my need to be able to view some files without having to manipulate them on the screen. fast, efficient and avoiding the ""windows"" nightmare i used to have. seems their ""auto updates"" wiped out 2 hard drives in past, but no such problem after going to chrome.",5/5,the larger one filled my need to be able to view some files without having to manipulate them on the screen,0.3,['view able']
5080,"i was upgrading from a nearly decade old laptop which was not working very well anymore. i need a lot of hard drive storage, though, and most fast systems do not offer that. in addition to the 1tb of solid state storage which this laptop offers, it also has a (relatively) easy internal hard drive connector to add an additional drive. so, for less than another $75, i was able to add another 2tb of traditional (rotating, slower) hard drive space. my primary usage is business, rather than gaming, so for me this is wonderful. super fast for web browsing, microsoft office software (separate purchase), and all other tasks, plus tons of storage now for saving movies to watch on the very bright, beautiful 17"" screen. could not be happier with the purchase.",5/5,"super fast for web browsing, microsoft office software (separate purchase), and all other tasks, plus tons of storage now for saving movies to watch on the very bright, beautiful 17"" screen",0.43,['']
5085,"i bought this for my wife. once i got the laptop i ordered a 500gb hard drive and 8gb of memory to add to the laptop. acer included the hard drive cable to install a second hard drive, a very nice touch since the laptop only came with a 250gb drive. installing them myself saved me some money. she loves the performance of this machine, the 144 hz display and is extremely happy with it.",5/5,"she loves the performance of this machine, the 144 hz display and is extremely happy with it",0.8,['extremely happy']
5092,i bought one to use for my laser and it is just what i wanted! does the job well and battery life is pretty good for a long burn. it is super compact and light to take anywhere for those quick spur of the moment graphic ideas and get those ideas on the screen. it is all solid state and runs pretty cool. no mechanical hard drive that would eventually fail. boot up is also quick not allot of un-necessary software adds to slow it down. the screen comes up clean ready for you. speakers are pretty decent with the sound coming from underneath the computer. i did not buy it for games so nothing to say about that.,5/5,it is super compact and light to take anywhere for those quick spur of the moment graphic ideas and get those ideas on the screen | the screen comes up clean ready for you,0.27,"['super compact', '']"
5101,"usually when you get a laptop for this price you expect the laptop to be a little on the slower side especially since most laptops today have 16 gb of memory. this laptop comes with 8 gb of memory soldered in and the laptop will accept another 8 gb of memory which is on order. this is surprisingly fast for only 8 gigs of memory. i had no issues with downloads, apps watching movies or downloading about 250 gb of data from my one drive. the laptop boots up in about 20 seconds. really does not need anything else for my use. might not be enough for gaming but should be kind of decent. my one big complaint about this laptop is the touch panel and keyboard is off center, they did this to put in a number pad which is nice feature. the problem is that on the touch pad while i am trying to click on the item, i keep on right clicking on the item. also, when i put my hands on the keyboard, i sometimes am off by one position and have to reset my hand. i am sure i will overcome the keyboard but the touchpad i am having a hard time with. so, besides the 8gb of memory ordered i ordered a 1 tb ssd drive. i hate one drive i am old schooled i love having items on my computer and being fast. one drive is very clunky but is very usefull for not loosing data when the hard drive goes or for this instance when i got a new computer. it was painless to transfer everything over. for wifi connectivity the router is upstairs and i am in the room directly below and getting speeds of 400 mbps which is really fast. sitting next to the router i have hit average speed of 639 download and peak of just over 700 using speedtest. my macbook is not even doing that. the laptop is really light and feels just a touch flimsy there is almost no flex in the base part and screen does not flex opening and closing. if you grab both ends of the top of the screen you can get it to flex. not a deal breaker at this price point and i really love the laptop. i have had a dell and also an hp laptop at this price point in the past and was alway disappointed and by upgrading was happy. this one many years later which should be costing several hundred dollars more due to inflation but got at the same price as both of them ($500) is quite the bargain. i did not get to test other laptops at this price point but i know this is quite a deal. you will not be disappointed and even though i ordered more memory and a bigger ssd the laptop is pretty good just the way it is. i will upgrade to see if i see any more improvements in speed with the ram. it never hurts to have more. bonus this has windows 11 pro.",5/5,the laptop is really light and feels just a touch flimsy there is almost no flex in the base part and screen does not flex opening and closing | if you grab both ends of the top of the screen you can get it to flex,0.03,"['touch really light flimsy', '']"
5113,"i was looking to upgrade from my current dual core intel i7 windows laptop and tablet. the 2020 macbook air m1 screen is sharp, the m1 processor performance is similar to intel i7 quad core for most uses . this laptop is fan-less and gets very warm/hot only when constantly exporting very large 5gb+ files - otherwise it runs cool to cold. i edit photos on this laptop and my editing software opens much faster and the edits occur very quickly. the 8gb ram/256 gb ssd combo in this laptop is fast and responsive. the mac os memory management allows 8gb to be more than enough for my projects. the m1 cpu performance and battery life for the macbook air m1 easily exceed those of my dual core i7 windows laptop and tablet. my photo editing software runs faster and is more responsive than on my windows devices. also, the macbook air m1 performance seems the same whether on battery or ac power unlike my windows devices. this laptop is a fantastic entry-level device but hard core gamers and video creators should upgrade to the pro models for the larger/more vibrant screen, richer audio, cooling fans, additional usb-c ports, sd card slot, dual monitor capability, and more ram/ssd options. i purchased this used base model used at a substantial savings over the list price which made it a fantastic value. i would suggest most users get the 512gb or larger internal ssd so you will not need an external ssd for video/music storage. i currently use external ssd drives to store my large files so the small 256gb ssd size in the base model was not an issue. the only possible drawbacks for the macbook air are there are only 2 usb-c data/charging ports so you may need to purchase a dock if you need multiple connection options, (or use older usb accessories), there is no sd card slot, and software apps are still being updated for the m1 cpu. i run microsoft office 365 on my macbook air. i notice that office 365 takes a second or two longer to load but once loaded office 365 runs as fast as it does on windows. i do not use this laptop for gaming, video editing, or to connect multiple monitors so i cannot comment on those uses. i was not expecting this level of performance from an entry-level device. do not get caught up in the hype that this base model can replace the macbook pro models for heavy work loads or professional use - it does not have the heat distribution (fans) to dissipate the heat to prevent thermal throttling under heavy computing or gaming. for most users, just use and enjoy your 2020 macbook air m1!!",5/5,"the 2020 macbook air m1 screen is sharp, the m1 processor performance is similar to intel i7 quad core for most uses | this laptop is a fantastic entry-level device but hard core gamers and video creators should upgrade to the pro models for the larger/more vibrant screen, richer audio, cooling fans, additional usb-c ports, sd card slot, dual monitor capability, and more ram/ssd options",0.16,"['to sharp similar', '']"
5115,"my laptop lasted less than 4 months before it died. i talked to an amazon rep who was responsive and put me in touch with an apple rep, who was curt. he suggested bringing it to a local shop licensed by apple to diagnose and repair, but he said they did not have an appointment for almost a week. at the shop, they were much more responsive but warned that a small crack in the bottom of the screen that happened when i close it one day likely caused the problem, would not be covered by the warranty and would cost $700 to fix. (fingers crossed it is something else, but he said he was 95 percent sure this would be the case.) two issues with my 2020 apple macbook pro with apple m1 chip (13-inch, 8gb ram, 256gb ssd storage): 1) debris can fall into the seam between the keyboard and screen unseen and 2) i kept having to adjust the brightness; even though i set the screen to be bright, it kept returning to dim. my other complaint is that the apple rep was curt. the tech at the shop said he sees a lot of screen issues and highly recommended by the warranty-plus plan, which costs over $200, for two years, i think, and then $100/year.",1/5,"at the shop, they were much more responsive but warned that a small crack in the bottom of the screen that happened when i close it one day likely caused the problem, would not be covered by the warranty and would cost $700 to fix | ) two issues with my 2020 apple macbook pro with apple m1 chip (13-inch, 8gb ram, 256gb ssd storage): 1) debris can fall into the seam between the keyboard and screen unseen and 2) i kept having to adjust the brightness; even though i set the screen to be bright, it kept returning to dim | the tech at the shop said he sees a lot of screen issues and highly recommended by the warranty-plus plan, which costs over $200, for two years, i think, and then $100/year",0.2,"['more responsive', 'bright', '']"
5119,"the performance of this machine (cpu, memory, ssd, and gpu speed) is outstanding. the battery lasts over 10x longer than my previous laptop, a lenovo thinkpad t490. the display is bright (500 nits) and beautiful. the laptop is ultra-portable, weighing less than 3 lbs. either the cooling fans on this laptop are so quiet that they are inaudible, or else they have never come on! macos big sur is intuitive and feature-rich, and the fact that the os is based on unix makes software development a delight. the only criticism that i have with this machine is that it only has 2 thunderbolt 3 usb-c ports; an external usb-c hub/adapter/dongle is required if one needs hdmi, usb-a, ethernet, sdhc, displayport, or vga connectivity. the price / performance of the m1 macbook pro is hard to beat!",5/5,"the display is bright (500 nits) and beautiful | the only criticism that i have with this machine is that it only has 2 thunderbolt 3 usb-c ports; an external usb-c hub/adapter/dongle is required if one needs hdmi, usb-a, ethernet, sdhc, displayport, or vga connectivity",0.31,"['beautiful bright', 'sdhc']"
5123,"i was a bit concerned about the fact that apple has moved away from intel and is now producing their own m1 processor but i have to say it is incredibly fast. my company provides me with my computer of choice for work and in 2020 i received a top of the line macbook pro with an intel 8 core i9 processor and 64gb of memory and 4tb ssd that retailed for close to $5,000 and i have to say this new macbook pro with the 10 core m1, 16 core gpu, 1tb ssd and only 16gb of memory at almost half that price seems much faster. the display is just stunning. the graphics quality is among the best i have seen and video performance is flawless. it is everything a macbook pro should be. high performance in a sleek aluminum case. a couple of things to note if you are not familiar with this computer and thinking of buying one. it only comes with 3 usb-c / thunderbolt 3 interfaces. so you are going to need adapters if you plan on using any wired peripheral devices like keyboard, mouse, external drives etc.. that have standard usb interfaces. and at a minimum you should be backing your system up to an external drive. so, i would recommend buying a usb-c to usb hub as i am not big on adapters. there is several here on amazon in the $20-30 range. also, like most other manufacturers, apple has dropped the dvd/cd. it is not even an option. if burning dvds and cds is still a thing for you, again you can connect an external device with a hub or adapter. i would also recommend buying a cooling tray, especially if you are going to leave this computer on a desk powered up perpetually or for long periods of time so you can protect the cpu and more importantly the gpu from heat. lastly, a few words on macos montery that shipped with this computer. the most recent os i was using was sierra on my mbp 2013 and the learning curve was not difficult at all. my only complaint is monterey turns on a lot of stuff i do not need or even want. for example, as soon as i signed in with my apple id to sync my music from icloud, i started getting texts, facetime and even phone calls for my entire family on my computer. we use the same apple id for all our devices for a number of reasons and while it was not too difficult to disable, i would rather apple leave that up to the user. i will post an update more geared toward the performance and reliability of this system as time goes by but for now, i have to say i am very pleased and would highly recommend this new macbook pro. one final comment on the purchase process. i actually ordered one directly from apple. i live about 60 miles from an apple store and wanted it shipped to me. i was given a projected ship date about 3 weeks after placing my order. after waiting almost the full 3 weeks, my order was still processing and had not moved toward the preparing to ship status. i then realized apple has a store here on amazon, they had exactly what i wanted in stock. so after canceling my order with apple, i bought my computer here on amazon and it arrived in 2 days.",5/5,the display is just stunning,0.5,['just stunning']
5126,"i got the base 256gb 8gb of ram model and this thing does everything i need it to and more. i consider myself fairly tech savvy, so when i heard all the controversy surrounding this model and its slower ssd, i was a little hesitant. after realizing what i wanted to do with the computer, this become a non-factor. i mostly do school (computer science) a little bit of rendering for my 3d printer and some very light gaming. the ssd has never been an issue in my day to day. if you are editing photos or access large files that will need to be read or written to often, maybe go to the 512gb model to get the faster ssd. if you are not working in cad or video/photo editing all the time you will not care i promise. the rest of this machine has astounded me. 18 hours of battery life is not just marketing, the speed of the m2 is snappy and can handle much more than i thought it would. the new screen is gorgeous. trackpad is the best on the market bar none. the keyboard is the best keyboard i have ever felt on a laptop and is an absolute joy to type on. magsafe is back and amazing as before. probably my favorite thing about this laptop, coming from a windows gaming laptop is the lack of a fan. you will lose a little performance, but not having that noise is absolutely astounding. cannot recommend this thing enough. great job apple.",5/5,the new screen is gorgeous,0.42,['gorgeous']
5129,"this is a well built, very impressive machine. web browsing, navigation programs, stock trading, school, light video applications. no fan, very low heat. very light. the back panel appears to be glass filled polycarbonate. the high resolution, matte screen is very sturdy, not at all flimsy. outstanding price, although i noticed it went up today. these only stay in stock for a couple of days, you have to check the asus store every day. excellent keyboard, keypad, there were no cons found. also noticed was how well win10 has become with adjusting text size at higher resolutions. there are a lot of different settings to use, depending upon the application. this laptop will withstand abuse, perfect for school. spec is 12 hour battery, light use shows 8 hours. this is a very low power, but very useful, machine. update: no programs running, 12 hours; navigation program running, including usb gps, 6.5 hours, on line full screen surf cam, 4.5 hours. click on the battery icon on the lower right and the popup screen will tell you how much time is left based on the current program load. update: note that it is easy and free to exit restrictive s mode and enter win10 home without having to download anything. after entering win10 home, there will be approx 30gb left on the ssd.",5/5,"the high resolution, matte screen is very sturdy, not at all flimsy | also noticed was how well win10 has become with adjusting text size at higher resolutions | 5 hours, on line full screen surf cam, 4 | click on the battery icon on the lower right and the popup screen will tell you how much time is left based on the current program load",0.18,"['not very sturdy flimsy', '', '', '']"
5133,"for roughly the same price i paid for a gaming laptop with a gtx1050, it is a major upgrade for me. it looks very professional and not too over the top with gamer aesthetics. the screen is great on my unit, especially with the thin bezels thought it does have a noticeable chin with the asus logo. i got the lower tier with the 500 gb ssd so that i later on upgrade the space with a terabyte. overall, not a bad buy. though i will note, there is already soldered ram inside and only one slot of space for another stick of ram so keep that in mind when your upgrading your ram. another thing is that it does not have a webcam, you may not want to use this for zoom calls unless you will want to invest in a webcam yourself.",5/5,"the screen is great on my unit, especially with the thin bezels thought it does have a noticeable chin with the asus logo",0.13,['on great']
5139,"i have been a long-time asus fan. i have got a self-built desktop that uses numerous asus components, and have used their laptops in the past (my family business also bought a couple vivobooks). the designs are usually top notch & well built. this one has a solid lcd housing without too-much flex. the battery life is reasonable for this system; the ""silent"" mode keeps things quiet & cool for non-gaming and non-video/audio production tasks. ""performance"" mode (predictably) runs the battery down quickly but this mode is best used when connected to a power outlet. the fans are a little loud under heavy loads, but that is also to be expected in such a slim chassis. the speakers are competent but not stellar. the display has a great refresh rate & good viewing angles. i think the i7-12650h model was the right choice as it still gives you all 6 performance cores compared to the 12700h, you are losing 4 e-cores but as a mostly stationary/occasionally portable gaming system it is not really a loss. the tb4 & multiple usb ports (that do not block each other by being too close) are all usb 3 & up, no usb 2 here. my model has an sk hynix gold p31 ssd (512gb) & i am plenty happy with that performance. i will but putting in a second nvme drive later since the slot on the board is open. keyboard is good, the touchpad has an excellent feel & spacious.",4/5,the display has a great refresh rate & good viewing angles,0.75,['good great refresh']
5142,"as my first gaming laptop i could not be happier. i bought this on sale for just under $600. 8gb ram, i added a 4gb stick i had in a damaged laptop and now have 12gb ram (which has worked just fine and i have noticed the increase in speed). 500gb ssd that i just upgraded with another 512gb ssd for $43. i have played halo infinite and it looks great. looks as good as it did when using the xbox series s. this laptop upgrades easily. i put the ram in and then the ssd in under 5 minutes. seems solid, not flimsy. have not noticed screen brightness issues. have used for job interviews using microsoft teams and the camera and speakers and mic work great. overall very happy. you do not need to spend thousands to get a good gaming rig and work/education rig.",5/5,have not noticed screen brightness issues,0.0,['']
5144,"this review is for the asus vivobook 14 f415 laptop computer. it has a 14” fhd display, intel core i3-1115g4 processor, 4gb ddr4, 128gb pcie ssd, and a fingerprint reader. you get the laptop itself and a charger in here, not much more. this laptop only has 4 gb of ram and uses a tiger lake mobile cpu. it does come with built in uhd graphics so it will run some games for you however do not expect it to run anything demanding. if you want to play minecraft, roblox, or runescape - this will do it with no real issues.",5/5,"it has a 14” fhd display, intel core i3-1115g4 processor, 4gb ddr4, 128gb pcie ssd, and a fingerprint reader",0.0,['']
5146,"the screen is sharp and good looking, solid and fast with a big battery. makes for a great travel computer at a exceptional good price. installed a 500gb ssd drive... you must initialize and format it before you can use it but it works well and along with the additional sd micro card of 256gb i have plenty of storage.",5/5,"the screen is sharp and good looking, solid and fast with a big battery",0.15,['and sharp']
5148,"this laptop is good both in its size and weight. i would say that that everything is fine except the fact you could not add additional ram (4gb soldered to board) you can however add a nvme ssd to it which is a plus if you want to dual boot or have more space, also i could say the tn panel is fine for this price range not a colorful ips display but it suffices. just do not expect to be running to many tabs or almost any game on here i would suggest to keep it light so booting it will not be a problem for the celeron cpu inside. i use it right now for college, and probably will use it after for media consumption. oh and the battery life is great!",5/5,"i would say that that everything is fine except the fact you could not add additional ram (4gb soldered to board) you can however add a nvme ssd to it which is a plus if you want to dual boot or have more space, also i could say the tn panel is fine for this price range not a colorful ips display but it suffices",0.3,['for except fine fine colorful']
5167,"bought this computer for development work. the main features i cared about were the ssd regardless of its relative low capacity, the 15.6 inch screen at 1080p, backlit keyboard, and ability to upgrade.",4/5,"6 inch screen at 1080p, backlit keyboard, and ability to upgrade",0.0,['']
5170,"great laptop for the price! sturdy build, great screen image and size. i did add a 16gb module and an sk hynix gold s31 ssd 1tb internal drive. love the keyboard back lighting and have no complaints.",5/5,"great laptop for the price! sturdy build, great screen image and size",0.9,['']
5171,"great laptop for the price, i do not think you can find a laptop this great at this price point. appearance looks great, great build quality, keyboard does not at all feel cheap at all and the keyboard backlight is a great touch. very lightweight. touch pad is large and responsive. i have not tried the fingerprint scanner yet. decently fast boot up times given it has an ssd. battery life is actually pretty great, too. i am happy with the ports, it even has a usb c port. screen gets very bright.",4/5,screen gets very bright,0.91,['very bright']
