,Review,Rating,Hardware Sentences,Hardware Polarity,Hardware Descriptors
4076,"i bought this for my husband to use as a small laptop. he does not wish to use this as a tablet. unfortunately the screen will rotate sideways while he is using and it is a struggle to get the screen back to the correct way. i do not recommend this product if you wish to use as a laptop only. i would return, but unfortunately we are outside of our return time. :(",1/5,i bought this for my husband to use as a small laptop,-0.25,['']
4077,"the product i ordered is listed on the website as cp311-2h-c679. i received instead the product cp311-3h-k3wl (marked as such on the box and the back of the pc itself). this model k2wl uses a different chipset (mediatek instead of the intel celeron 4020). this impacts negatively the performance of the unit significantly. moreover, it has fewer usb ports than the c679 product.",1/5,"moreover, it has fewer usb ports than the c679 product",0.0,['']
4078,this review is for the acer chromebook spin 311 4gb/30gb. it looks pretty. it is fine for light use like internet browsing or bill paying or shopping. but at this price point i consider it a fail with only one usb and no micro sd card slot. considering that the price should be around $80. it has bluetooth so would be great to load music on it and play that through bluetooth speakers. to bad you cannot.,3/5,but at this price point i consider it a fail with only one usb and no micro sd card slot,-0.25,['']
4079,"i am heartbroken and furious right now. shortly after receiving this acer chromebook, i inserted a usb drive into the usb port/hub to view my daughters baby photos with her. first of all the usb port is extremely stiff and it takes a bit of pressure to insert a usb disk into it, much more difficult than i am used to. after inserting the flash drive, the chromebook gave a notification like ""woah, be careful"" or something like that. i thought that this was strange. after closing out and ejecting drive, very similar to windows but never with these issues, i reinserted the usb drive again to show my daughter more of her baby pictures and to our shock, they were all completely gone. every file and image was removed as well as our tax returns with social security numbers. we are so sad right now as we try to fix this. we have not had any luck so far. my husband just purchased this acer chromebook for me less than 2 weeks ago. we always kept our photos and important files on a usb drive and we never ran into problems like this with microsoft windows xp, 7, 8 and 10. we would simply close out the window, safely eject the usb drive and reinsert it back into the hub later. in this case, this system never presented me with a startup tutorial or a how to guide like microsoft always did so i was never able to backup any files because i did not know how.",1/5,"shortly after receiving this acer chromebook, i inserted a usb drive into the usb port/hub to view my daughters baby photos with her | first of all the usb port is extremely stiff and it takes a bit of pressure to insert a usb disk into it, much more difficult than i am used to | after closing out and ejecting drive, very similar to windows but never with these issues, i reinserted the usb drive again to show my daughter more of her baby pictures and to our shock, they were all completely gone | my husband just purchased this acer chromebook for me less than 2 weeks ago | we always kept our photos and important files on a usb drive and we never ran into problems like this with microsoft windows xp, 7, 8 and 10 | we would simply close out the window, safely eject the usb drive and reinsert it back into the hub later",0.1,"['', 'more extremely stiff difficult', '', '', '', '']"
4080,i ordered this as a christmas gift for my husband. the first one i received had a badly damaged screen.,5/5,i ordered this as a christmas gift for my husband,0.0,['']
4081,"this being our 4th chromebook, this is by far the best! we both love it! my husband was tired of holding a",5/5,"this being our 4th chromebook, this is by far the best! we both love it! my husband was tired of holding a",0.33,['of tired']
4082,"i am not completely ignorant of technology but i am definitely below basic. i usually have my husband or one of my kids set everything up for me. not this time. i did it myself! honestly, i cant even really boast about it because it was so easy it really does not qualify as any kind of accomplishment!",5/5,i usually have my husband or one of my kids set everything up for me,-0.25,['']
4083,"this was my first venture into the world of chrome os. i never tried it before because we did not have good enough internet to attempt it. i now have very high speed reliable internet and my experience with chrome os has been generally favorable. this acer chromebook was a good choice. it is fast, has excellent graphics and ample usb ports including two high speed ucb-c ports. i can run a full size monitor with an adapter. and i was able to connect to my work ethernet with an adapter as well. the 360 works perfectly and it behaves like a tablet when fully folded over. it is light, thin, and has excellent battery life. it goes all day on a full charge with room to spare. highly recommended.",5/5,"it is fast, has excellent graphics and ample usb ports including two high speed ucb-c ports",0.45,['fast']
4084,"my husband had to attend a training out of state. so, i got him this as a birthday/ enjoy your training gift.",5/5,my husband had to attend a training out of state,0.0,['']
4085,"this computer is fine for videos and social media. i have not been able to print anything from the computer, though. i contacted support and they informed me it is not compatible with all printers but they could not tell me which printers are compatible. i have three different brands of printers that are able to print through wifi or usb but it will not work with any of them. huge waste of money!! i have to use my old computer any time i want to print. would not recommend or buy another acer.",2/5,i have three different brands of printers that are able to print through wifi or usb but it will not work with any of them,0.25,['print able']
4086,"i bought two of these for my son. both needed to be rmaed for repairs. the first one the camera went bad. they repaired it and then my son dropped it. i hesitantly got him a replacement. this one the power/usbc went bad less than a year in to owning it. a few months later it went bad again, but then was a month after the 1 year manufacture warranty ended. my son loved his chromebook and is so upset that it is broken again, but i am not going to pay to get it fixed. it is not worth it.",1/5,the first one the camera went bad | this one the power/usbc went bad less than a year in to owning it,-0.33,"['bad', 'bad']"
4087,"this is a great laptop. the only 2 things i dislike is how the ""desktop/home screen"" is not actually the ""home screen"". you have to go to a seperate screen to access it. the 2nd thing is that i wish there were more than just 2 usb ports.",4/5,the 2nd thing is that i wish there were more than just 2 usb ports,0.25,['']
4088,"when i found chrome os to be ill-suited to my needs, i tried to install an alternative os or boot from a usb stick. after much research, i learned that acer, together with google, have prevented the mainboard from loading any os other than chomeos, either from the internal ssd drive or from a usb stick. what is more, in 9 years, this device will be a brick. even though it might be perfectly functional hardware-wise, google will just turn it off.",1/5,"when i found chrome os to be ill-suited to my needs, i tried to install an alternative os or boot from a usb stick | after much research, i learned that acer, together with google, have prevented the mainboard from loading any os other than chomeos, either from the internal ssd drive or from a usb stick",0.03,"['ill suited', '']"
4089,whole purpose of buying was so husband could watch hd sports while outside. chrome does not support direct tv. waste of $250,2/5,whole purpose of buying was so husband could watch hd sports while outside,0.1,['']
4090,"updated to 5 stars after a month of use. given the price point, this is an excellent laptop for the price and i have enjoyed using it. chromeos has made a lot of improvements and i am using not only chrome, but android apps and linux applications. good power, good battery, usb-c ports and power, micro-sd port, great touch screen, etc. my only dislikes are the lack of a lighted keyboard and wasted screen real-estate of the unusually wide bevels. that said, i am making this laptop a hand-me-down and purchasing something with a better screen.",5/5,"good power, good battery, usb-c ports and power, micro-sd port, great touch screen, etc",0.73,['']
4091,whole purpose of buying was so husband could watch hd sports while outside. chrome does not support direct tv. waste of $250,2/5,whole purpose of buying was so husband could watch hd sports while outside,0.1,['']
4092,"this has worked perfect for our 3rd grader doing online schooling though out the summer. it works great for google classroom, youtube, netflix, and general internet browsing. i really have no complaints about it, we have been using it for over a month now. it charges up with any usb-c pd charger.",5/5,it charges up with any usb-c pd charger,0.0,['']
4093,mainly for podcasting and cataloging my collection. gaming when i am not home. wish ihad more usb slots. still excellent for what i paid.,4/5,wish ihad more usb slots,0.5,['']
4094,"acer has been a big competing brand on par with dell, asus, hp, etc... in the recent year, they have ventured in gaming laptop and actually becomes one of the leading budget gaming laptop maker. though i have not been playing game for a while, i decided to pick this up after reading rave reviews about it online and i must admit that it is a very good gaming laptop and comes at a very affordable price, just shy of one grand. the red accent lighting on this laptop make it looks very intimidating but also very stealthy (black on read lettering). i like that all the ports (hdmi, usb, type c, rj45, etc...) are placed on the sides, and only the power adaptor port is in the back, which makes lot more sense. the 15.6"" screen is decent for some games but not ideal, however, having a smaller screen makes it more versatile and lighter to bring around. the screen has awesome graphic, super bright, colorful and sharp images. this laptop runs on the 11th gen of core i7 cpu, plus its geforce rtx 3050 ti makes it a beast of a gaming laptop to play word of warcrafts. i have not tested it on those first person shooter game (not a fan) so i cannot vouch for those games, but i would definitely buy this again or recommend it to any of my friends (in my wow guild). awesome gaming laptop at a very affordable price!!!",5/5,"i like that all the ports (hdmi, usb, type c, rj45, etc",0.0,['']
4095,"i love this laptop, i push my laptop pretty hard, i use blender, daz3d and a few other software's for 3d modeling and rendering. this laptop can handle it pretty well. with blender cycles i could do optix gpu rendering. in daz studio i was able to get a decent render using nivdia iray with pretty good real time feed back. for games i was able to play planetside 2 at a pretty good resolution at a good frame rate probably not like 120 fps on ulta high but it didnt dip below 30. with two m.2 drives on the bottom and a full ssd slot as well (cable is included so if you buy second hand watch out) i was able to get good storage. ram is upgradeable to 32 gbs which in the end is a pretty strong work horse. upgrading it was a bit scary as its not under the keyboard you have to take the bottom off and use a thin of plastic guitar pick or ifixit to open it up. go onto youtube to watch a break down, its not to hard to upgrade. batter life is not great but you could tailor it by having it turn off lights and lower screen brightness. built in bluetooth and full ethernet port 2 usb 3 ports and one usb c. which brings me to my con and that is very little vr support. i played vr games on a even older graphic card than this, and yet this rtx 3050 has no display port or a fast enough usb c to support an adapter. i cant say about the quest but i have a rift s and it will not work on this laptop. if you are looking for a mid workstation laptop this might fill the bill, if you are looking to get this for an artist going into school this one would be a good deal with the dedicated gpu this will extend the life of this computer to be able to handle most 3d and 2d applications.",4/5,"built in bluetooth and full ethernet port 2 usb 3 ports and one usb c | i played vr games on a even older graphic card than this, and yet this rtx 3050 has no display port or a fast enough usb c to support an adapter",0.14,"['', '']"
4096,"bought this on a deal. it has been a nice entry level gaming laptop for my husband. i like that this can be upgraded with the extra ram slot and an extra ssd slot and 2.5 bay. something to keep in mind, this does not accept anything made by crucial. i do not know why, but i had a crucial nvme m2 internal ssd (4x4 gaming ssd) and a crucial 2.5 ssd and both caused the laptop to stay on a black screen upon boot up. after a lot of research, there were many forums from others saying they also ran into this problem and crucial storage is not compatible with the bios. would i have bought this at full price at around $1000. no. for the deal i got it at, yes. if you can get this during a deal and looking for a great starter gaming laptop, this is a good choice to go with.",5/5,it has been a nice entry level gaming laptop for my husband,0.6,['']
4097,"me and my husband decided to get this laptop as he needed a more powerful pc for his old macbook used for web development and programming and i wanted to have something that we could use to game with on the go. none of us have bought a new laptop in many many years, let alone a gaming laptop vs a business oriented laptop or budget/lightweight laptop. this seemed like a great compromise between new tech/hardware, easily upgradable in terms of ram, and something that was not super super flashy or expensive. we have never had a pc with some of this hardware on it but we both were familiar with it in any case. we both spent the last two months with it to get an idea of the feel for this laptop in different use cases and so on.",4/5,me and my husband decided to get this laptop as he needed a more powerful pc for his old macbook used for web development and programming and i wanted to have something that we could use to game with on the go,0.12,['']
4098,"had all the features i wanted (3 x usb & ethernet), decent sound and ssd. my first gaming computer, have to get used to the keyboard layout, since it is slightly different from a normal keyboard (some keys smaller than normal).",5/5,"had all the features i wanted (3 x usb & ethernet), decent sound and ssd",0.28,['']
4099,works good bought this for my son but still lags on gaming but not just in online gaming but offline games too i realize lagging online is latency due to wifi signal & usage but that is not the case as i mentioned told my son to test but he never mentioned anything till now so i am having issues with expensive returns after return window closes & my trust with amazon is decreasing my husband will have to contact support if anything is wrong cuz they have given me a headache recently.,4/5,works good bought this for my son but still lags on gaming but not just in online gaming but offline games too i realize lagging online is latency due to wifi signal & usage but that is not the case as i mentioned told my son to test but he never mentioned anything till now so i am having issues with expensive returns after return window closes & my trust with amazon is decreasing my husband will have to contact support if anything is wrong cuz they have given me a headache recently,-0.09,['wrong']
4100,"this is my newest laptop since 2017, but the laptop i had was from 2016. far faster than my old one (of course) and runs every program to its max. for gaming a 3050 ti is limited to mostly 1080p gaming unless you play some of the lighter games where you can eek out 144op, but you can easily get 120fps on most games with some tweaks with around 70 to 90 fps on larger aaa titles. one of the first things you have to do with any acer laptop is go into control panel and change the power settings, they come standard with usb and hdd/ssd auto power off which pretty much puts your laptop to sleep whether you change sleep settings or not. also, press the (n) button by the num pad, click on the gear icon, and click to make the keyboard backlight stay on. i read some reviews online that said the keyboard backlight would turn off automatically, luckily my last laptop was a acer predator and they have the same settings basically. fans are almost non existent when just browsing and you can control them (finally) when doing some intense gaming (or using programs like cad or the like). also, the power cord is a dual step process, the first click means nothing, you have to push in till you hear a second click. i was looking for a 17"" inch laptop with more than 2 usb a ports, those ports not on the right side (mouse interference), could game at atleast 1080p/above 60 fps, a better processor, and had a ethernet port. sounds like alot but most laptops are 15"" inch with 2 usb a ports and no ethernet ports now. i am satisfied with this purchase.",5/5,"one of the first things you have to do with any acer laptop is go into control panel and change the power settings, they come standard with usb and hdd/ssd auto power off which pretty much puts your laptop to sleep whether you change sleep settings or not | i was looking for a 17"" inch laptop with more than 2 usb a ports, those ports not on the right side (mouse interference), could game at atleast 1080p/above 60 fps, a better processor, and had a ethernet port | sounds like alot but most laptops are 15"" inch with 2 usb a ports and no ethernet ports now",0.23,"['standard', '', '']"
4101,"the usb - c hub is not connected to the video card so you cannot drive a vr headset from this port. the online information leads you to believe that this will work, acer says it does not.",2/5,the usb - c hub is not connected to the video card so you cannot drive a vr headset from this port,0.0,['']
4102,my husband and i got this for his big christmas present. he loves it and has been on it since before christmas everyday i asked him how does he like it and he says it runs great for the games he plays. not sure what games but they cost money lol,5/5,my husband and i got this for his big christmas present,0.0,['']
4103,i have had the computer for a little over 2 months. i am a mom so i do not get to use it as often as i would like. however it runs my games smoothly even with mods added. loads content incredibly fast compared to my 4 year old computer. i believe we will be purchasing another one shortly for my husband as his computer is nearing the end of its life. i would recommend this computer for sure.,5/5,i believe we will be purchasing another one shortly for my husband as his computer is nearing the end of its life,0.0,['']
4104,"i would say that there are a lot of problems that i am not sure whether to attribute to the laptop itself or to windows 11 being terrible. basic functionality like, ""if you close your lid, you will need to restart your computer every time you open it again or it will not play videos,"" or ""the search button does not work at all,"" or ""plug and play usb functionality stops working and you need to unplug and replug things constantly.""",2/5,"basic functionality like, ""if you close your lid, you will need to restart your computer every time you open it again or it will not play videos,"" or ""the search button does not work at all,"" or ""plug and play usb functionality stops working and you need to unplug and replug things constantly",0.0,['']
4105,"the laptop is great except the item description is wrong. it incorrectly states that the usb-c port can be used as a display port. it cannot be. the item model an517-54-79l1 does not have a usb-c port with display capabilities. if you are interested in having a laptop with two separate monitors, this is not the laptop for you. acer does have laptops where the description is true, but this is not one of them. i am returning because of this.",2/5,it incorrectly states that the usb-c port can be used as a display port | the item model an517-54-79l1 does not have a usb-c port with display capabilities,0.0,"['', '']"
4106,this laptop says it is for gaming but you cannot even run dual monitors. it has one. one! hdmi out port and the usb-c port is not lighting so you cannot run a monitor on it. even after buying a usb 3.0 doc for it with an additional hdmi port on it you still cannot run a second monitor.,1/5,one! hdmi out port and the usb-c port is not lighting so you cannot run a monitor on it | even after buying a usb 3,0.0,"['', '']"
4107,"the description for this laptop is incorrect. in the list of available ports it is state that there is one ""usb 3.2 gen 2 type-c (displayport)"" which would mean that the usb-c port supports video out through an adapter or hub, but that is not the case. the usb-c on this laptop is only a standard usb 3.2 gen 2 port that does not support the displayport alt function.",3/5,"in the list of available ports it is state that there is one ""usb 3 | 2 gen 2 type-c (displayport)"" which would mean that the usb-c port supports video out through an adapter or hub, but that is not the case | the usb-c on this laptop is only a standard usb 3",0.02,"['', '', '']"
4108,great laptop. description lead me to believe the usb 3.2 gen 2 type-c (displayport) was actually a display port. it is not therefore i am returning.,5/5,description lead me to believe the usb 3,0.0,['']
4109,"so i got this to replace an aging 6 year old laptop. i am not going into all the specs and that the ram is soldered on and the upgrade ability of this device as its in the description and its easy to search info about it. so my experience with this slim laptop is pretty good. the pros of this pc, aka things i like. the screen looks good, it has 16gb of ram, 512mb hdd, dedicated video card to handle some video encoding or light gaming (when your kids grab it), the keyboard is back lit, hdmi out, 2 usb 3.0, usb c, rather good battery life if you balance the power options, and it is light but not light that it feels cheap. the cons,aka thing i do not care for. the power adapter for this acer swift is very small and delicate, the ram is soldered on so if the ram gives you issues its not as easy as popping in a new stick, it comes with more bloat ware apps installed than my last oem laptop and lack of any additional inputs, besides the 2 usb, 1 usb c hdmi, and a headset port. overall i like the laptop, but soldering on the ram sucks, and give me another usb at least 3 should be a minimum to call this a ""creator"" laptop. it come with a 30 day of norton and most of the acer boatyard can be uninstalled.",4/5,"the screen looks good, it has 16gb of ram, 512mb hdd, dedicated video card to handle some video encoding or light gaming (when your kids grab it), the keyboard is back lit, hdmi out, 2 usb 3 | 0, usb c, rather good battery life if you balance the power options, and it is light but not light that it feels cheap | the power adapter for this acer swift is very small and delicate, the ram is soldered on so if the ram gives you issues its not as easy as popping in a new stick, it comes with more bloat ware apps installed than my last oem laptop and lack of any additional inputs, besides the 2 usb, 1 usb c hdmi, and a headset port | overall i like the laptop, but soldering on the ram sucks, and give me another usb at least 3 should be a minimum to call this a ""creator"" laptop",0.14,"['back good lit', 'but light cheap', 'not its very small easy', '']"
4110,"this acer swift x has the specs -- amd ryzen 7 5800u, nvidia rtx 3050ti graphics card, 16gb ram, 512gb ssd, wi-fi 6, and it is thin, lightweight and pretty sleek looking. it can play games or crush productivity work, has a really crisp full hd display (though it only gets up to 300 nits brightness), and has a decent port selection - two usb-a, usb-c, hdmi, headphone, & power.",5/5,"it can play games or crush productivity work, has a really crisp full hd display (though it only gets up to 300 nits brightness), and has a decent port selection - two usb-a, usb-c, hdmi, headphone, & power",0.19,['']
4111,this laptop seemed fine for a while but then the left-side usb port stopped working. i spent many frustrating hours trying to install an entrust data card until realizing it was the port. i found acer's support website difficult to navigate. finally got through and returned the unit. i clearly explained to the chat agent the issue. and i clearly wrote down the issue on slip of paper and included with the unit. unit comes back from some facility in texas - not fixed! same exact problem.,2/5,this laptop seemed fine for a while but then the left-side usb port stopped working,0.42,['']
4112,"muy buena compra, no pesa mucho, es minimalista, muy rapida, elegante la batería dura mucho. lo único que no me parece es que solo tiene 2 puertos usb, y no tiene puerto ethernet.",5/5,"lo único que no me parece es que solo tiene 2 puertos usb, y no tiene puerto ethernet",0.0,['']
4113,"it is small, lightning fast and powerful. it gets insanely hot when running anything gpu intensive but a laptop fan will help it cool down. it runs smaller games like terraria, stardew valley and starbound with ease. it could definitely run new titles with lowered settings but i have not tried it yet. temps are in the normal range even when it heats up. i recommend getting a 65w usb-c charger instead of using the charger it comes with. the one it comes with is a little flimsy and i feel like it will break with extended use. it does not offer that many ports so i got a j5create usb-c multi adapter which helps a lot. and it does not come with that much bloatware as i expected which is nice.",5/5,i recommend getting a 65w usb-c charger instead of using the charger it comes with | it does not offer that many ports so i got a j5create usb-c multi adapter which helps a lot,0.5,"['', '']"
4114,"i will put this first. i am unsure if the ram or solid state drive is set or if you can upgrade them. i did not try to open or upgrade the item. these are the two things you should research before purchasing this. although with the current specification, i am sure you do not need to do that. this acer laptop overall is an average size laptop and the specification are not bad for what you get. this laptop is relatively thin and not too heavy. it has a decent processor (ryzen 7). the ram is 16 gb which is well beyond the suggested nowadays. it will definitely work for most daily usage as well as design and gaming. that being said, it is not the best in terms of battery life. it really only last about three to four hours at most on a full charge. the fan is a bit loud on heavy usage. it is a standard ac charger which can make it a bit annoying to replace in the future if needed. the power brick is okay but does get hot while charging. you will need it plugged in to really game on this device. upon boot up of the acer laptop, the laptop boots up fairly quick. the setup is pretty straight forward and does not require any driver installation. the bloatware is not too terrible. the laptop also has only a 14 inch screen with the max resolution at 1920 x 1080. the screen has an okay brightness but not the best quality. it still keep the traditional two usb port as well so you do not have to buy an adapter for this laptop while also having the type c (non thunderbolt) port. the laptop can be angled back for better viewing but it cannot be pushed back all the way. the laptop surface where the wrist rest is where i do not like the material. it looks nice with the bright silver but with long term use it will fade over time. the keys are okay, but not the best. i am not a fan of typing on them as it just feels a bit on the cheaper end. the external casing of this surface is very easy to scratch (seems to be an issue with all this material) so i would recommend that you get a laptop case for it. the trackpad runs pretty well, it is sensitive and feels smooth to move across. it also does not look like it will wear down easily which is good. there is a camera that will record at at least 720p. you could put a web cam cover on it. the dual microphone makes for a very clear voice and i have not had any issues with any sound issues. it usually does not pick up too much surrounding noise and focuses more on voice. on laptop, there is a 3.5 port to plug in headphones/microphone. it does have dual band wifi built in and no issues with speed/connection. the laptop itself can last about five to six hours or so on a full charge. depending on how much you have open and how much you utilize the laptop capability, you could actually have less than that. best thing to do is just balance the resource as best you can. the overall charge time depends but it can take up to three to charge the laptop to 100% from what i can tell. it is not too long and the charger does get hot so handle with care. it has a decent boot up being less than fifteen seconds to boot up but the bloatware has to go so i would recommend you uninstall that if possible. the speaker system is pretty loud but they do have a bit of a feedback noise that is a bit annoying but that is okay. the 3060 ti runs great! it is a very powerful card that allows you to game very well on this computer although the screen is only 14 inches. the fan also is a bit loud on high usage (gaming). the processor is an ryzen 7 which is more than enough power for what i need it to do on a daily. in terms of video games, it can play many games at very high quality although you do need to have it plugged in. the processing speed is really fast and it works really well for what i need. there is an hdmi port so you are able to connect this to an external screen. i am unsure if there is a dock that is meant for this laptop. overall this laptop is a a very powerful laptop. you get a smaller screen but the gaming on it is not bad. the acer laptop can run a bit hot and the battery life is not the best. the specification is not bad at 16 gb ram and 512 gb ssd drive. the space is decent for what i need it for but for gaming it will fill up fast. it is good for all around use and can easily be made into a work, gaming, or basic computer with a single monitor connection.",5/5,"it still keep the traditional two usb port as well so you do not have to buy an adapter for this laptop while also having the type c (non thunderbolt) port | the trackpad runs pretty well, it is sensitive and feels smooth to move across | there is a camera that will record at at least 720p | you could put a web cam cover on it",0.09,"['', 'sensitive smooth', '', '']"
4115,i love this laptop. 3.06 lbs and it can run triple-a games (with lower settings). you do not even need to carry around the charger. it supports usb-c power delivery up to 100w (i tested it with a watt meter) so you can have one charger for all of your devices saving even more weight.,5/5,it supports usb-c power delivery up to 100w (i tested it with a watt meter) so you can have one charger for all of your devices saving even more weight,0.5,['']
4116,"the wifi module died within the day of delivery. when it was still detected, it would not reliably connect to the internet in both windows and from a linux live usb. the overall build quality is quite poor for a $1000+ laptop. the charging plug is laughably fragile and will only connect at certain angles and with a constant push inwards.",2/5,"when it was still detected, it would not reliably connect to the internet in both windows and from a linux live usb",0.14,['']
4117,"great price (especially recently discount). it is quick and easy to set up, lightweight, only 3.06 lbs. fingerprint scanner is fast. this laptop only has two usb ports, may need to get a usb dock for additional usb ports. overall i would highly recommend this laptop.",5/5,"this laptop only has two usb ports, may need to get a usb dock for additional usb ports",0.0,['']
4118,"this was an open-box purchase. the end of the micro-usb cable broke off in the first week. then the power plug itself failed after three weeks. have had to purchase replacements. otherwise, the laptop seems to be working fine (fingers-crossed).",3/5,the end of the micro-usb cable broke off in the first week,0.25,['']
4119,i got this macbook and it has so many issues with it. i cannot use it at all. even after being on apple technical support for hours. $1000 down the drain. husband gave it to me as an anniversary gift a month after getting it. now cannot return it.,1/5,husband gave it to me as an anniversary gift a month after getting it,0.0,['']
4120,for the money this is a great buy. do not expect too much. i made the mistake of upgrading to win11 and lost about 5gb of built-in hard disk space (so now i am down to 25gb). that is not a prob for me since i never keep anything critical on my built-in hd anyway - nor should you :) btw i always use an external keyboard + mouse (consider a usb hub that will cost you all of $10 i do appreciate the 2 built-in usb ports.,5/5,that is not a prob for me since i never keep anything critical on my built-in hd anyway - nor should you :) btw i always use an external keyboard + mouse (consider a usb hub that will cost you all of $10 i do appreciate the 2 built-in usb ports,0.17,['']
4121,"i am very happy with the laptop. since all of the wireless mouse, that i have gotten, were not a success, it was great to find that, all i need use is a finger. plus, it does have usb 2.0 (socket) that allows me to my corded mouse, and my printer.",4/5,"plus, it does have usb 2",0.0,['']
4122,"for starters this was a warehouse deals. always know that they are hit or miss. this laptop seemed great at first. booted up. went through the setup process. so good. did the updates. no issues. then i noticed internet speeds slow. weird. forced 5ghz. speeds up. then wifi died. weird. turn off laptop. power button to turn on no response. tried again next day, nothing. 3rd day powers on but wifi still not working so i say ok time to send this back after i do a factory reset. factory reset not working glitch in windows 11. downloaded a usb win11 imagine to do a fresh install but it would not find the storage. had to load the driver manually what a pain.",1/5,downloaded a usb win11 imagine to do a fresh install but it would not find the storage,0.3,['']
4123,bought this as a prime day deal gift for my husbands birthday. the laptop would not power on or charge. i went through the trouble shooting instructions provided when i went to do a return (replacement was not an option offered). only option for return is ups pickup or pay for the return myself. i was not sent a tracking number or a label so i could not take it to the ups store or call ups to reschedule when we were not home for the 1 pick up attempt. i had to cancel then resubmit the return to hopefully return this $500 paperweight.,1/5,bought this as a prime day deal gift for my husbands birthday,0.0,['']
4124,"my job is senior business intelligence developer and analyst, and i am working remotely. to say this laptop is good for students but not for business use is just false. i am able to do absolutely everything without lag and without issues. in my spare time, i also do music using soundtrap. i plug a usb keyboard and microphone/guitar interface into this laptop and i am able to create multi-track songs. my caps lock does have an indicator light that works, and i have zero complaints or issues. maybe some people are reviewing an earlier model? i purchased mine in february of 2022, and the os is windows 11 home. actually, i bought 2; one for me and one for a family member who does graphics with gimp. the laptops are great and we have no complaints.",5/5,i plug a usb keyboard and microphone/guitar interface into this laptop and i am able to create multi-track songs,0.5,['create able']
4125,"this product met my expectations. i use it to run software for my laser engraver. i bought an external docking device that allows me to have more usb ports, and an ethernet port as well as a few more.",5/5,"i bought an external docking device that allows me to have more usb ports, and an ethernet port as well as a few more",0.2,['']
4126,"i thought it was a good deal for the amount of horse power this computer has, so i bought two of them. within the first few weeks both laptops’ network cards failed, and they are unable to connect to wifi. so we have had to use usb wifi dongles. would not recommend this product.",1/5,so we have had to use usb wifi dongles,0.0,['']
4127,"i use this hp laptop for personal use as well as for my prayer group duties. i maintain membership lists as well as other related lists. i create ads for our events and send them via email to our rectory for insertion in the church's bulletin. our other hp laptop has been in use for these purposes since 2016. since my husband has been using the other laptop more frequently, (writing novels), i decided to get one for myself. this way i have access whenever i want it. i fully expect this laptop to serve me as well as the older one did.",5/5,"since my husband has been using the other laptop more frequently, (writing novels), i decided to get one for myself",0.16,['']
4128,"light weight. fast, especially on startup. no problem with the black on grey keyboard lettering. no touchscreen, whatever. i knew i was not going to like the track pad for the mouse, so dropped $20 on trackball, nbd. what i did not expect was that one month after purchase machine would completely lose the wifi card. like gone. one day woke up, no wifi, no driver, no hardware, no icon. nothing. cannot find it. os troubleshoot says connect ethernet cable. there is no ethernet port on machine. did not think i would need one, features went on and on about how blazing fast the wifi was. what wifi? no wifi here. randomly had a cheap usb wifi dongle in a drawer, amazing luck. connect to internet. run windows update, wifi back! hooray! two days later, where is the wifi? what wifi? no wifi here. does not look like there ever was. back to the dongle. run windows update, nothing. uh oh. update drivers, nothing. update bios, nothing. uninstall / reinstall drivers, nothing. hp diagnostic program is a joke. will not run unless i am connected to the internet. what? how is that supposed to help troubleshoot connection issues? device manager has no hardware/drivers. not even hidden ones. hours of research on the internet. tried a bunch of command prompt stuff people said worked for them. nothing. countless restarts. long story short error 45 accross the board, no hardware detected. i am giving up. 1 month into my 2 year protection program, but not worth time or energy to send back. dropped $35 on a better wifi dongle, going to roll with that for time being. now both usb a ports are in use (mouse and wifi). not happy! if anything else goes wrong, will change review to one star. tldr; serious problem with wifi hardware!!! use extreme caution when purchasing!!!",3/5,"randomly had a cheap usb wifi dongle in a drawer, amazing luck | now both usb a ports are in use (mouse and wifi)",0.17,"['', '']"
4129,nice lightweight laptop with good speed and easy to use but big issue here is i lost my wifi connectivity after using it for only 2 months and had to purchase a tp a link to plug in to the usb port in order to get wifi connectivity back - occasionally the connectivity will come back only to disappear again randomly so i have to keep the tp link plugged in all the time…. this is a huge problem for me as i needed this to work remotely when travelled and have to use wifi- this needs to be addressed,4/5,nice lightweight laptop with good speed and easy to use but big issue here is i lost my wifi connectivity after using it for only 2 months and had to purchase a tp a link to plug in to the usb port in order to get wifi connectivity back - occasionally the connectivity will come back only to disappear again randomly so i have to keep the tp link plugged in all the time…,0.12,['']
4130,"i bought this laptop for my husband for his 65th birthday. his laptop was 11 years old and was on it is last leg. he was afraid to buy a new laptop because he thought things had become too techy in the past 11 years but this one is perfect! the screen is crystal clear and the keys are large enough for his big bulky fingers. he plays word games and does puzzles, explores websites, he emails,,spends time on facebook, checks out his sports, neighborhood stuff, etc… and if he wants to explore more, he can. it is super fast and stays connected to our wifi with ease.",5/5,"i bought this laptop for my husband for his 65th birthday | he plays word games and does puzzles, explores websites, he emails,,spends time on facebook, checks out his sports, neighborhood stuff, etc… and if he wants to explore more, he can",0.35,"['', '']"
